Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,8,D. Prescott QB - DAL,27.06,T. Henderson RB - NE,8.1,J. Taylor RB - IND,6.6,E. Egbuka WR - TB,3.2,J. Williams WR - DET,0.0,G. Kittle TE - SF,7.8,D. Swift RB - CHI,0.9,K. Fairbairn K - HOU,12.3,Seahawks DEF,4.0,Texans DEF,15.0,T. McMillan WR - CAR,9.5,J. Jefferson WR - MIN,4.8,S. Diggs WR - NE,2.0,R. Harvey RB - DEN,0.0,J. Dart QB - NYG,0.0,,,69.96,Kessi,109.16
Kessi,3,D. Maye QB - NE,15.96,Q. Judkins RB - CLE,16.7,C. Brown RB - CIN,13.0,A. St. Brown WR - DET,20.9,T. Higgins WR - CIN,3.1,B. Bowers TE - LV,5.5,D. Henry RB - BAL,20.8,B. Aubrey K - DAL,7.2,Bills DEF,6.0,P. Mahomes QB - KC,17.08,J. Bates K - DET,13.6,D. Kincaid TE - BUF,0.0,J. Mixon RB - HOU,0.0,C. Sutton WR - DEN,0.0,J. Dobbins RB - DEN,0.0,J. Waddle WR - MIA,0.0,109.16,Benni,69.96
Simi,1,J. Hurts QB - PHI,30.86,J. Gibbs RB - DET,44.4,B. Hall RB - NYJ,9.9,Z. Flowers WR - BAL,6.9,R. Rice WR - KC,16.1,H. Henry TE - NE,17.5,Z. Charbonnet RB - SEA,9.5,W. Reichard K - MIN,11.1,Packers DEF,18.0,M. Stafford QB - LAR,22.92,Rams DEF,18.0,M. Pittman WR - IND,8.7,R. White RB - TB,4.2,B. Irving RB - TB,0.0,B. Thomas WR - JAX,0.0,,,164.26,Tommy,91.46
Tommy,6,J. Goff QB - DET,17.16,S. Barkley RB - PHI,5.4,A. Jones RB - MIN,5.7,A. Brown WR - PHI,17.0,G. Pickens WR - DAL,20.6,T. McBride TE - ARI,7.9,D. Montgomery RB - DET,3.7,C. Boswell K - PIT,4.0,Steelers DEF,10.0,D. Metcalf WR - PIT,9.4,R. Odunze WR - CHI,5.3,T. Warren TE - IND,4.5,K. Allen WR - LAC,0.0,J. Herbert QB - LAC,0.0,D. Achane RB - MIA,0.0,,,91.46,Simi,164.26
Ritz,2,B. Purdy QB - SF,7.32,J. Warren RB - PIT,12.8,B. Robinson RB - ATL,12.7,D. Smith WR - PHI,8.9,J. Smith-Njigba WR - SEA,29.1,T. Kelce TE - KC,4.4,K. Williams RB - LAR,4.8,A. Borregales K - NE,18.8,Browns DEF,16.0,A. Kamara RB - NO,1.5,R. Pearsall WR - SF,0.8,L. McConkey WR - LAC,0.0,K. Vidal RB - LAC,0.0,J. Burrow QB - CIN,0.0,C. Dicker K - LAC,0.0,Buccaneers DEF,0.0,114.82,Promille Böörds,95.74
Promille Böörds,4,B. Mayfield QB - TB,3.54,T. Etienne RB - JAX,17.6,R. Dowdle RB - CAR,7.4,P. Washington WR - JAX,13.1,D. Adams WR - LAR,18.2,M. Andrews TE - BAL,1.1,C. McCaffrey RB - SF,20.2,T. Loop K - BAL,11.6,Lions DEF,3.0,J. Flacco QB - CIN,9.62,J. Ferguson TE - DAL,6.1,T. Spears RB - TEN,2.5,J. Reed WR - GB,0.0,J. Jacobs RB - GB,0.0,J. Chase WR - CIN,0.0,G. Wilson WR - NYJ,0.0,95.74,Ritz,114.82
Erik,7,L. Jackson QB - BAL,7.22,K. Walker RB - SEA,10.1,W. Marks RB - HOU,6.9,C. Lamb WR - DAL,7.5,N. Collins WR - HOU,5.5,K. Pitts TE - ATL,2.5,E. Wilson RB - GB,24.5,C. McLaughlin K - TB,1.0,Patriots DEF,10.0,Jaguars DEF,7.0,S. Tucker RB - TB,4.6,R. Stevenson RB - NE,1.0,C. Rodriguez RB - WAS,0.0,T. Benson RB - ARI,0.0,O. Gadsden TE - LAC,0.0,D. London WR - ATL,0.0,75.22,Marv,92.82
Marv,5,J. Allen QB - BUF,8.12,J. Cook RB - BUF,18.9,A. Jeanty RB - LV,16.8,P. Nacua WR - LAR,9.7,J. Jeudy WR - CLE,1.9,D. Goedert TE - PHI,2.0,J. Williams RB - DAL,10.1,J. Myers K - SEA,14.3,Ravens DEF,11.0,Colts DEF,8.0,C. Olave WR - NO,7.0,X. Worthy WR - KC,5.9,S. LaPorta TE - DET,0.0,M. Harrison WR - ARI,0.0,O. Hampton RB - LAC,0.0,H. Haskins RB - LAC,0.0,92.82,Erik,75.22
