Season	Week	Team	Elo	IsPlayoff
2016	6	Benni	1555.82	0
2016	6	Erik	1552.38	0
2016	6	Juschka	1408.93	0
2016	6	Kessi	1556.66	0
2016	6	Marv	1497.70	0
2016	6	Ritz	1530.10	0
2016	6	Simi	1465.95	0
2016	6	Tommy	1432.46	0
2016	7	Benni	1559.11	0
2016	7	Erik	1544.11	0
2016	7	Juschka	1417.20	0
2016	7	Kessi	1540.49	0
2016	7	Marv	1519.56	0
2016	7	Ritz	1508.24	0
2016	7	Simi	1482.12	0
2016	7	Tommy	1429.16	0
2016	8	Benni	1576.59	0
2016	8	Erik	1552.85	0
2016	8	Juschka	1432.71	0
2016	8	Kessi	1524.98	0
2016	8	Marv	1502.08	0
2016	8	Ritz	1521.65	0
2016	8	Simi	1473.39	0
2016	8	Tommy	1415.75	0
2016	9	Benni	1562.16	0
2016	9	Erik	1566.19	0
2016	9	Juschka	1419.36	0
2016	9	Kessi	1504.79	0
2016	9	Marv	1511.43	0
2016	9	Ritz	1541.84	0
2016	9	Simi	1464.04	0
2016	9	Tommy	1430.18	0
2016	10	Benni	1545.19	0
2016	10	Erik	1543.13	0
2016	10	Juschka	1405.52	0
2016	10	Kessi	1521.76	0
2016	10	Marv	1533.18	0
2016	10	Ritz	1520.10	0
2016	10	Simi	1477.89	0
2016	10	Tommy	1453.24	0
2016	11	Benni	1554.40	0
2016	11	Erik	1561.81	0
2016	11	Juschka	1392.55	0
2016	11	Kessi	1515.78	0
2016	11	Marv	1546.14	0
2016	11	Ritz	1501.42	0
2016	11	Simi	1468.68	0
2016	11	Tommy	1459.21	0
2016	12	Benni	1533.79	0
2016	12	Erik	1546.95	0
2016	12	Juschka	1416.34	0
2016	12	Kessi	1533.09	0
2016	12	Marv	1561.01	0
2016	12	Ritz	1522.03	0
2016	12	Simi	1451.37	0
2016	12	Tommy	1435.42	0
2016	13	Benni	1528.16	0
2016	13	Erik	1552.58	0
2016	13	Juschka	1441.86	0
2016	13	Kessi	1528.49	0
2016	13	Marv	1565.60	0
2016	13	Ritz	1496.51	0
2016	13	Simi	1446.14	0
2016	13	Tommy	1440.65	0
2016	14	Benni	1535.74	0
2016	14	Erik	1531.19	0
2016	14	Juschka	1434.28	0
2016	14	Kessi	1549.87	0
2016	14	Marv	1578.71	0
2016	14	Ritz	1508.47	0
2016	14	Simi	1434.18	0
2016	14	Tommy	1427.55	0
2016	15	Benni	1507.57	1
2016	15	Erik	1515.18	1
2016	15	Juschka	1444.50	1
2016	15	Kessi	1555.83	1
2016	15	Marv	1572.75	1
2016	15	Ritz	1524.48	1
2016	15	Simi	1462.36	1
2016	15	Tommy	1417.33	1
2016	16	Benni	1523.98	1
2016	16	Erik	1510.58	1
2016	16	Juschka	1467.63	1
2016	16	Kessi	1546.13	1
2016	16	Marv	1577.35	1
2016	16	Ritz	1534.18	1
2016	16	Simi	1439.23	1
2016	16	Tommy	1400.92	1
2017	1	Benni	1506.44	0
2017	1	Erik	1501.31	0
2017	1	Juschka	1481.43	0
2017	1	Kessi	1541.69	0
2017	1	Marv	1569.56	0
2017	1	Ritz	1519.92	0
