Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,1,P. Mahomes QB - KC,26.92,J. Mixon RB - HOU,15.1,S. Barkley RB - PHI,13.5,B. Cooks WR - NO,4.6,M. Williams WR,14.6,T. Kelce TE - KC,9.8,D. Pierce RB - HOU,11.7,H. Butker K - KC,6.0,Cowboys DEF,22.0,E. Benjamin RB,19.3,D. Foreman RB,14.5,T. Pollard RB - TEN,10.9,I. Pacheco RB - KC,4.3,C. Kupp WR - SEA,0.0,J. Conner RB - ARI,0.0,G. Davis WR - BUF,0.0,124.22,Kessi,94.84
Kessi,5,J. Burrow QB - CIN,39.24,B. Robinson RB - SF,8.6,J. Taylor RB - IND,8.5,A. St. Brown WR - DET,0.4,M. Pittman WR - IND,3.8,G. Everett TE,6.3,A. Jones RB - MIN,19.6,B. McManus K - GB,4.4,Broncos DEF,4.0,A. Lazard WR - NYJ,5.5,K. Allen WR - LAC,1.1,D. London WR - ATL,0.9,K. Drake RB,0.5,D. Waller TE - MIA,0.0,D. Smith WR - PHI,0.0,,,94.84,Benni,124.22
Simi,4,K. Murray QB - ARI,17.16,D. Henry RB - BAL,13.8,K. Walker RB - SEA,28.7,T. Higgins WR - CIN,9.3,T. Lockett WR - TEN,4.5,M. Andrews TE - BAL,0.4,C. Edwards-Helaire RB - KC,9.2,D. Carlson K - LV,10.0,Raiders DEF,10.0,C. Sutton WR - DEN,2.3,A. Dillon RB - PHI,1.5,S. Diggs WR - NE,0.0,D. Goedert TE - PHI,0.0,D. Swift RB - CHI,0.0,E. Mitchell RB - KC,0.0,Bills DEF,0.0,103.06,Ritz,108.5
Ritz,3,L. Jackson QB - BAL,10.7,E. Elliott RB,17.7,A. Kamara RB - NO,10.5,B. Aiyuk WR - SF,8.2,D. Adams WR - LAR,9.5,Z. Ertz TE - WAS,4.1,A. Ekeler RB - WAS,24.7,J. Tucker K,14.1,Packers DEF,9.0,J. Smith-Schuster WR - KC,18.4,A. Rodgers QB - PIT,15.76,A. Gibson RB - NE,13.7,Ravens DEF,10.0,A. Cooper WR,7.4,M. Thomas WR,0.0,,,108.5,Simi,103.06
Tommy,8,D. Prescott QB - DAL,12.28,T. Etienne RB - JAX,17.9,T. Allgeier RB - ATL,11.0,T. Hill WR - MIA,7.2,D. Samuel WR - WAS,4.4,K. Pitts TE - ATL,0.9,D. Metcalf WR - PIT,1.2,B. Maher K,6.0,Dolphins DEF,12.0,C. Olave WR - NO,10.6,A. Thielen WR - MIN,0.0,D. Cook RB,0.0,M. Sanders RB - DAL,0.0,J. Dobbins RB - DEN,0.0,J. Hurts QB - PHI,0.0,J. Robinson RB,0.0,72.88,Marv,92.52
Marv,6,J. Herbert QB - LAC,17.12,R. Mostert RB - LV,16.9,L. Fournette RB,2.6,D. Hopkins WR - BAL,10.3,J. Waddle WR - MIA,8.8,D. Njoku TE - CLE,7.1,B. Hall RB - NYJ,13.2,W. Lutz K - DEN,11.5,Patriots DEF,5.0,T. McLaurin WR - WAS,13.3,C. Kirk WR - HOU,10.1,K. Hunt RB - KC,6.8,D. Harris RB,1.0,J. Jefferson WR - MIN,0.0,Eagles DEF,0.0,,,92.52,Tommy,72.88
Erik,7,T. Brady QB,11.7,C. McCaffrey RB - SF,6.2,N. Chubb RB - HOU,16.7,C. Godwin WR - TB,4.5,C. Lamb WR - DAL,6.6,G. Kittle TE - SF,15.8,R. Stevenson RB - NE,15.8,E. McPherson K - CIN,5.0,Buccaneers DEF,1.0,D. Moore WR - CHI,12.6,J. Williams RB,6.3,A. Brown WR - PHI,0.0,D. Henderson RB,0.0,D. Singletary RB - NYG,0.0,C. Akers RB - MIN,0.0,,,83.3,Juschka,116.2
Juschka,2,G. Smith QB - LV,13.1,J. Jacobs RB - GB,33.5,N. Harris RB - LAC,8.0,J. Chase WR - CIN,25.0,M. Evans WR - TB,9.6,H. Hurst TE,4.8,D. Montgomery RB - DET,12.2,R. Succop K,3.0,Jets DEF,7.0,J. Wilson RB - MIA,5.4,W. Robinson WR - NYG,5.0,D. Johnson WR,4.5,M. Boone RB,2.3,C. Patterson RB,0.0,J. Allen QB - BUF,0.0,R. Doubs WR - GB,0.0,116.2,Erik,83.3
