Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,8,P. Mahomes QB - KC,19.62,J. Mixon RB - HOU,12.8,S. Barkley RB - PHI,15.5,C. Kupp WR - SEA,9.7,M. Williams WR,1.7,T. Kelce TE - KC,11.2,E. Benjamin RB,6.5,M. Gay K - WAS,6.0,49ers DEF,2.0,G. Davis WR - BUF,13.4,T. Pollard RB - TEN,5.2,R. White RB - TB,2.3,B. Cooks WR - NO,0.0,J. Conner RB - ARI,0.0,D. Pierce RB - HOU,0.0,,,85.02,Erik,97.52
Erik,2,T. Brady QB,13.72,R. Stevenson RB - NE,21.1,N. Chubb RB - HOU,7.0,A. Brown WR - PHI,12.7,C. Lamb WR - DAL,7.7,G. Kittle TE - SF,8.3,C. McCaffrey RB - SF,15.8,E. McPherson K - CIN,8.2,Buccaneers DEF,3.0,D. Henderson RB,11.2,D. Singletary RB - NYG,10.7,C. Godwin WR - TB,9.5,D. Moore WR - CHI,0.7,C. Samuel WR - BUF,0.6,J. Williams RB,0.0,C. Akers RB - MIN,0.0,97.52,Benni,85.02
Kessi,5,J. Burrow QB - CIN,32.5,B. Robinson RB - SF,12.0,A. Jones RB - MIN,4.4,M. Pittman WR - IND,13.4,D. Smith WR - PHI,10.4,T. Higbee TE - LAR,0.7,M. Gordon RB,0.8,B. McManus K - GB,13.9,Broncos DEF,5.0,A. Lazard WR - NYJ,13.6,D. London WR - ATL,4.0,K. Allen WR - LAC,0.0,D. Waller TE - MIA,0.0,J. Taylor RB - IND,0.0,A. St. Brown WR - DET,0.0,,,93.1,Juschka,86.56
Juschka,7,J. Allen QB - BUF,26.36,D. Montgomery RB - DET,8.0,J. Wilson RB - MIA,0.5,J. Chase WR - CIN,25.2,M. Evans WR - TB,4.2,H. Hurst TE,2.1,H. Brown WR - KC,6.8,R. Succop K,14.4,Jaguars DEF,-1.0,G. Smith QB - LV,12.68,N. Harris RB - LAC,10.9,D. Johnson WR,3.6,R. Doubs WR - GB,2.1,M. Boone RB,0.4,C. Patterson RB,0.0,J. Jacobs RB - GB,0.0,86.56,Kessi,93.1
Simi,3,K. Murray QB - ARI,14.88,K. Walker RB - SEA,17.0,C. Edwards-Helaire RB - KC,3.3,S. Diggs WR - NE,20.8,C. Sutton WR - DEN,1.4,M. Andrews TE - BAL,16.6,A. Dillon RB - PHI,5.2,T. Bass K - BUF,6.9,Rams DEF,11.0,Bills DEF,8.0,T. Higgins WR - CIN,4.7,D. Goedert TE - PHI,2.2,T. Lockett WR - TEN,1.7,D. Henry RB - BAL,0.0,D. Carlson K - LV,0.0,D. Swift RB - CHI,0.0,97.08,Tommy,88.8
Tommy,6,J. Hurts QB - PHI,16.9,D. Cook RB,14.3,M. Sanders RB - DAL,13.2,T. Hill WR - MIA,17.7,D. Samuel WR - WAS,9.0,K. Pitts TE - ATL,7.9,D. Metcalf WR - PIT,3.4,G. Gano K - NYG,6.4,Browns DEF,0.0,A. Thielen WR - MIN,11.6,T. Etienne RB - JAX,10.8,J. Robinson RB,5.5,J. Dobbins RB - DEN,1.5,C. Olave WR - NO,0.0,,,,,88.8,Simi,97.08
Ritz,1,L. Jackson QB - BAL,16.1,A. Ekeler RB - WAS,14.3,A. Kamara RB - NO,12.4,B. Aiyuk WR - SF,20.3,A. Cooper WR,10.4,Z. Ertz TE - WAS,7.0,E. Elliott RB,14.6,J. Tucker K,8.4,Packers DEF,2.0,Ravens DEF,6.0,A. Gibson RB - NE,5.3,T. Allgeier RB - ATL,5.1,T. Hill TE - NO,4.54,D. Adams WR - LAR,0.0,M. Thomas WR,0.0,,,105.5,Marv,94.22
Marv,4,J. Herbert QB - LAC,8.42,R. Mostert RB - LV,4.8,L. Fournette RB,16.1,J. Jefferson WR - MIN,10.7,J. Waddle WR - MIA,10.9,G. Everett TE,2.9,B. Hall RB - NYJ,18.1,W. Lutz K - DEN,15.3,Eagles DEF,7.0,C. Kirk WR - HOU,6.8,T. McLaurin WR - WAS,5.2,C. Edmonds RB - WAS,3.1,K. Hunt RB - KC,1.2,D. Hopkins WR - BAL,0.0,D. Harris RB,0.0,,,94.22,Ritz,105.5
