Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
1	1	1	Erik	Christian McCaffrey	RB	CAR
1	2	2	Benni	Dalvin Cook	RB	MIN
1	3	3	Kessi	Derrick Henry	RB	TEN
1	4	4	Tommy	Alvin Kamara	RB	NO
1	5	5	Marv	Jonathan Taylor	RB	IND
1	6	6	Ritz	Saquon Barkley	RB	NYG
1	7	7	Simi	Nick Chubb	RB	CLE
1	8	8	Juschka	Aaron Jones	RB	GB
2	9	1	Juschka	Stefon Diggs	WR	BUF
2	10	2	Simi	Calvin Ridley	WR	ATL
2	11	3	Ritz	Tyreek Hill	WR	MIA
2	12	4	Marv	Travis Kelce	TE	KC
2	13	5	Tommy	DeAndre Hopkins	WR	ARI
2	14	6	Kessi	Cam Akers	RB	LA
2	15	7	Benni	Ezekiel Elliott	RB	DAL
2	16	8	Erik	Antonio Gibson	RB	WAS
3	17	1	Erik	Najee Harris	RB	PIT
3	18	2	Benni	Davante Adams	WR	LV
3	19	3	Kessi	DK Metcalf	WR	SEA
3	20	4	Tommy	George Kittle	TE	SF
3	21	5	Marv	A.J. Brown	WR	PHI
3	22	6	Ritz	Miles Sanders	RB	PHI
3	23	7	Simi	Patrick Mahomes	QB	KC
3	24	8	Juschka	Lamar Jackson	QB	BAL
4	25	1	Juschka	Austin Ekeler	RB	LAC
4	26	2	Simi	J.K. Dobbins	RB	BAL
4	27	3	Ritz	Josh Jacobs	RB	LV
4	28	4	Marv	Joe Mixon	RB	CIN
4	29	5	Tommy	Mike Evans	WR	TB
4	30	6	Kessi	Darren Waller	TE	LV
4	31	7	Benni	Justin Jefferson	WR	MIN
4	32	8	Erik	Keenan Allen	WR	LAC
5	33	1	Erik	Michael Thomas	WR	NO
5	34	2	Benni	Allen Robinson	WR	LA
5	35	3	Kessi	Terry McLaurin	WR	WAS
5	36	4	Tommy	Julio Jones	WR	TEN
5	37	5	Marv	Josh Allen	QB	BUF
5	38	6	Ritz	Dâ€™Andre Swift	RB	DET
5	39	7	Simi	CeeDee Lamb	WR	DAL
5	40	8	Juschka	Chris Carson	RB	SEA
6	41	1	Juschka	Curtis Samuel	WR	WAS
6	42	2	Simi	Mark Andrews	TE	BAL
6	43	3	Ritz	Amari Cooper	WR	CLE
6	44	4	Marv	Clyde Edwards-Helaire	RB	KC
6	45	5	Tommy	David Montgomery	RB	CHI
