Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
1	1	1	Tommy	Saquon Barkley	RB	PHI
1	2	2	Juschka	Ja'Marr Chase	WR	CIN
1	3	3	Ritz	Bijan Robinson	RB	ATL
1	4	4	Simi	Jahmyr Gibbs	RB	DET
1	5	5	Benni	Justin Jefferson	WR	MIN
1	6	6	Erik	CeeDee Lamb	WR	DAL
1	7	7	Kessi	Derrick Henry	RB	BAL
1	8	8	Marv	Puka Nacua	WR	LAR
2	9	1	Marv	Ashton Jeanty	RB	LV
2	10	2	Kessi	Amon-Ra St. Brown	WR	DET
2	11	3	Erik	Nico Collins	WR	HOU
2	12	4	Benni	Malik Nabers	WR	NYG
2	13	5	Simi	Brian Thomas	WR	JAX
2	14	6	Ritz	Kyren Williams	RB	LAR
2	15	7	Juschka	Josh Jacobs	RB	GB
2	16	8	Tommy	A.J. Brown	WR	PHI
3	17	1	Tommy	De'Von Achane	RB	MIA
3	18	2	Juschka	Christian McCaffrey	RB	SF
3	19	3	Ritz	Ladd McConkey	WR	LAC
3	20	4	Simi	Bucky Irving	RB	TB
3	21	5	Benni	Jonathan Taylor	RB	IND
3	22	6	Erik	Drake London	WR	ATL
3	23	7	Kessi	Brock Bowers	TE	LV
3	24	8	Marv	Josh Allen	QB	BUF
4	25	1	Marv	James Cook	RB	BUF
4	26	2	Kessi	Chase Brown	RB	CIN
4	27	3	Erik	Lamar Jackson	QB	BAL
4	28	4	Benni	George Kittle	TE	SF
4	29	5	Simi	Tyreek Hill	WR	MIA
4	30	6	Ritz	Jaxon Smith-Njigba	WR	SEA
4	31	7	Juschka	Mike Evans	WR	TB
4	32	8	Tommy	Trey McBride	TE	ARI
5	33	1	Tommy	Terry McLaurin	WR	WAS
5	34	2	Juschka	Davante Adams	WR	LAR
5	35	3	Ritz	Alvin Kamara	RB	NO
5	36	4	Simi	Breece Hall	RB	NYJ
5	37	5	Benni	Jayden Daniels	QB	WAS
5	38	6	Erik	Kenneth Walker	RB	SEA
5	39	7	Kessi	Joe Mixon	RB	HOU
5	40	8	Marv	Marvin Harrison	WR	ARI
6	41	1	Marv	Omarion Hampton	RB	LAC
6	42	2	Kessi	Tee Higgins	WR	CIN
6	43	3	Erik	Chuba Hubbard	RB	CAR
6	44	4	Benni	James Conner	RB	ARI
6	45	5	Simi	Jalen Hurts	QB	PHI
6	46	6	Ritz	Joe Burrow	QB	CIN
6	47	7	Juschka	D'Andre Swift	RB	CHI
6	48	8	Tommy	DK Metcalf	WR	PIT
7	49	1	Tommy	David Montgomery	RB	DET
7	50	2	Juschka	Garrett Wilson	WR	NYJ
7	51	3	Ritz	DJ Moore	WR	CHI
7	52	4	Simi	Rashee Rice	WR	KC
7	53	5	Benni	RJ Harvey	RB	DEN
7	54	6	Erik	TreVeyon Henderson	RB	NE
7	55	7	Kessi	Courtland Sutton	WR	DEN
7	56	8	Marv	Xavier Worthy	WR	KC
8	57	1	Marv	Sam LaPorta	TE	DET
8	58	2	Kessi	Patrick Mahomes	QB	KC
8	59	3	Erik	Kaleb Johnson	RB	PIT
8	60	4	Benni	Travis Hunter	WR	JAX
8	61	5	Simi	Zay Flowers	WR	BAL
8	62	6	Ritz	Isiah Pacheco	RB	KC
8	63	7	Juschka	Calvin Ridley	WR	TEN
