Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
1	1	1	Tommy	Todd Gurley	RB	LA
1	2	2	Kessi	Le'Veon Bell	RB	PIT
1	3	3	Benni	David Johnson	RB	ARI
1	4	4	Erik	Ezekiel Elliott	RB	DAL
1	5	5	Ritz	Alvin Kamara	RB	NO
1	6	6	Simi	Antonio Brown	WR	PIT
1	7	7	Juschka	Saquon Barkley	RB	NYG
1	8	8	Marv	DeAndre Hopkins	WR	HOU
2	9	1	Marv	Leonard Fournette	RB	JAX
2	10	2	Juschka	Melvin Gordon	RB	LAC
2	11	3	Simi	Dalvin Cook	RB	MIN
2	12	4	Ritz	Kareem Hunt	RB	
2	13	5	Marv	Julio Jones	WR	ATL
2	14	6	Benni	Odell Beckham	WR	NYG
2	15	7	Kessi	LeSean McCoy	RB	BUF
2	16	8	Tommy	Devonta Freeman	RB	ATL
3	17	1	Tommy	Michael Thomas	WR	NO
3	18	2	Kessi	Rob Gronkowski	TE	NE
3	19	3	Benni	Christian McCaffrey	RB	CAR
3	20	4	Marv	Keenan Allen	WR	LAC
3	21	5	Ritz	Mike Evans	WR	TB
3	22	6	Simi	A.J. Green	WR	CIN
3	23	7	Juschka	Tyreek Hill	WR	KC
3	24	8	Marv	Jerick McKinnon	RB	SF
4	25	1	Erik	Travis Kelce	TE	KC
4	26	2	Juschka	Doug Baldwin	WR	SEA
4	27	3	Simi	Kenyan Drake	RB	MIA
4	28	4	Ritz	Davante Adams	WR	GB
4	29	5	Erik	Jordan Howard	RB	CHI
4	30	6	Benni	Adam Thielen	WR	MIN
4	31	7	Kessi	Rashaad Penny	RB	SEA
4	32	8	Tommy	JuJu Smith-Schuster	WR	PIT
5	33	1	Tommy	Alex Collins	RB	BAL
5	34	2	Kessi	T.Y. Hilton	WR	IND
5	35	3	Benni	Aaron Rodgers	QB	GB
5	36	4	Erik	Russell Wilson	QB	SEA
5	37	5	Ritz	Joe Mixon	RB	CIN
5	38	6	Simi	Cam Newton	QB	CAR
5	39	7	Juschka	Larry Fitzgerald	WR	ARI
5	40	8	Marv	Allen Robinson	WR	CHI
6	41	1	Marv	Derrick Henry	RB	TEN
6	42	2	Juschka	Stefon Diggs	WR	MIN
