Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
1	1	1	Kessi	Ezekiel Elliott	RB	DAL
1	2	2	Simi	Saquon Barkley	RB	NYG
1	3	3	Tommy	Alvin Kamara	RB	NO
1	4	4	Marv	Christian McCaffrey	RB	CAR
1	5	5	Erik	David Johnson	RB	ARI
1	6	6	Juschka	DeAndre Hopkins	WR	HOU
1	7	7	Ritz	Le'Veon Bell	RB	NYJ
1	8	8	Benni	Davante Adams	WR	GB
2	9	1	Benni	James Conner	RB	PIT
2	10	2	Ritz	Melvin Gordon	RB	LAC
2	11	3	Juschka	Todd Gurley	RB	LA
2	12	4	Erik	Odell Beckham	WR	CLE
2	13	5	Marv	Travis Kelce	TE	KC
2	14	6	Tommy	Michael Thomas	WR	NO
2	15	7	Simi	Tyreek Hill	WR	KC
2	16	8	Kessi	Joe Mixon	RB	CIN
3	17	1	Kessi	Antonio Brown	WR	
3	18	2	Simi	JuJu Smith-Schuster	WR	PIT
3	19	3	Tommy	Julio Jones	WR	ATL
3	20	4	Marv	Mike Evans	WR	TB
3	21	5	Erik	Keenan Allen	WR	LAC
3	22	6	Juschka	Damien Williams	RB	KC
3	23	7	Ritz	Nick Chubb	RB	CLE
3	24	8	Benni	Dalvin Cook	RB	MIN
4	25	1	Benni	T.Y. Hilton	WR	IND
4	26	2	Ritz	Amari Cooper	WR	DAL
4	27	3	Juschka	Leonard Fournette	RB	JAX
4	28	4	Erik	Aaron Jones	RB	GB
4	29	5	Marv	Marlon Mack	RB	IND
4	30	6	Tommy	Patrick Mahomes	QB	KC
4	31	7	Simi	Adam Thielen	WR	MIN
4	32	8	Kessi	Andrew Luck	QB	
5	33	1	Kessi	Zach Ertz	TE	PHI
5	34	2	Simi	Derrick Henry	RB	TEN
5	35	3	Tommy	Devonta Freeman	RB	ATL
5	36	4	Marv	Sony Michel	RB	NE
5	37	5	Erik	Josh Jacobs	RB	LV
5	38	6	Juschka	Stefon Diggs	WR	MIN
5	39	7	Ritz	George Kittle	TE	SF
5	40	8	Benni	Kerryon Johnson	RB	DET
6	41	1	Benni	Robert Woods	WR	LA
6	42	2	Ritz	Phillip Lindsay	RB	DEN
6	43	3	Juschka	Evan Engram	TE	NYG
6	44	4	Erik	Brandin Cooks	WR	LA
6	45	5	Marv	Tyler Lockett	WR	SEA
6	46	6	Tommy	Julian Edelman	WR	NE
6	47	7	Simi	David Montgomery	RB	CHI
6	48	8	Kessi	Kenny Golladay	WR	DET
7	49	1	Kessi	Cooper Kupp	WR	LA
7	50	2	Simi	A.J. Green	WR	CIN
7	51	3	Tommy	Chris Carson	RB	SEA
7	52	4	Marv	Deshaun Watson	QB	HOU
7	53	5	Erik	Mark Ingram	RB	BAL
7	54	6	Juschka	Jarvis Landry	WR	CLE
