Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
7	55	7	Ritz	Tyler Boyd	WR	CIN
7	56	8	Benni	Chris Godwin	WR	TB
8	57	1	Benni	Aaron Rodgers	QB	GB
8	58	2	Ritz	Kenyan Drake	RB	ARI
8	59	3	Juschka	James White	RB	NE
8	60	4	Erik	O.J. Howard	TE	TB
8	61	5	Marv	Miles Sanders	RB	PHI
8	62	6	Tommy	Sammy Watkins	WR	KC
8	63	7	Simi	Lamar Miller	RB	HOU
8	64	8	Kessi	Tarik Cohen	RB	CHI
9	65	1	Kessi	Alshon Jeffery	WR	PHI
9	66	2	Simi	Cam Newton	QB	CAR
9	67	3	Tommy	Allen Robinson	WR	CHI
9	68	4	Marv	D.J. Moore	WR	CAR
9	69	5	Erik	Calvin Ridley	WR	ATL
9	70	6	Juschka	Larry Fitzgerald	WR	ARI
9	71	7	Ritz	Mike Williams	WR	LAC
9	72	8	Benni	Derrius Guice	RB	WAS
10	73	1	Benni	Hunter Henry	TE	LAC
10	74	2	Ritz	Tevin Coleman	RB	SF
10	75	3	Juschka	Austin Ekeler	RB	LAC
10	76	4	Erik	Rashaad Penny	RB	SEA
10	77	5	Marv	LeSean McCoy	RB	KC
10	78	6	Tommy	Darrell Henderson	RB	LA
10	79	7	Simi	Jordan Howard	RB	PHI
10	80	8	Kessi	Peyton Barber	RB	TB
11	81	1	Kessi	Sterling Shepard	WR	NYG
11	82	2	Simi	Jared Cook	TE	NO
11	83	3	Tommy	David Njoku	TE	CLE
11	84	4	Marv	Christian Kirk	WR	ARI
11	85	5	Erik	Baker Mayfield	QB	CLE
11	86	6	Juschka	Mohamed Sanu	WR	NE
11	87	7	Ritz	Marvin Jones	WR	DET
11	88	8	Benni	Dante Pettis	WR	SF
12	89	1	Benni	Chicago Bears	DST	CHI
12	90	2	Ritz	Matt Ryan	QB	ATL
12	91	3	Juschka	Adrian Peterson	RB	WAS
12	92	4	Erik	Latavius Murray	RB	NO
12	93	5	Marv	Los Angeles Rams	DST	LA
12	94	6	Tommy	Kareem Hunt	RB	CLE
12	95	7	Simi	Baltimore Ravens	DST	BAL
12	96	8	Kessi	Robby Anderson	WR	NYJ
13	97	1	Kessi	Houston Texans	DST	HOU
13	98	2	Simi	D.K. Metcalf	WR	SEA
13	99	3	Tommy	Will Fuller	WR	HOU
13	100	4	Marv	Noah Fant	TE	DEN
13	101	5	Erik	Jacksonville Jaguars	DST	JAX
13	102	6	Juschka	Drew Brees	QB	NO
13	103	7	Ritz	Courtland Sutton	WR	DEN
13	104	8	Benni	N'Keal Harry	WR	NE
14	105	1	Benni	Jordan Reed	TE	WAS
14	106	2	Ritz	Minnesota Vikings	DST	MIN
14	107	3	Juschka	Los Angeles Chargers	DST	LAC
14	108	4	Erik	Greg Zuerlein	K	LA
14	109	5	Marv	Wil Lutz	K	NO
14	110	6	Tommy	Aldrick Rosas	K	NYG
14	111	7	Simi	Eric Ebron	TE	IND
14	112	8	Kessi	Ronald Jones	RB	TB
15	113	1	Kessi	Stephen Gostkowski	K	NE
15	114	2	Simi	Justin Tucker	K	BAL
15	115	3	Tommy	Dede Westbrook	WR	JAX
15	116	4	Marv	Corey Davis	WR	TEN
15	117	5	Erik	Geronimo Allison	WR	GB
15	118	6	Juschka	Harrison Butker	K	KC
15	119	7	Ritz	Russell Wilson	QB	SEA
15	120	8	Benni	Kyler Murray	QB	ARI
