Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
1	1	1	Erik	Christian McCaffrey	RB	SF
1	2	2	Ritz	Tyreek Hill	WR	MIA
1	3	3	Simi	CeeDee Lamb	WR	DAL
1	4	4	Juschka	Justin Jefferson	WR	MIN
1	5	5	Benni	Bijan Robinson	RB	ATL
1	6	6	Tommy	Amon-Ra St. Brown	WR	DET
1	7	7	Kessi	Ja'Marr Chase	WR	CIN
1	8	8	Marv	Breece Hall	RB	NYJ
2	9	1	Marv	A.J. Brown	WR	PHI
2	10	2	Kessi	Jonathan Taylor	RB	IND
2	11	3	Tommy	Saquon Barkley	RB	PHI
2	12	4	Benni	Jahmyr Gibbs	RB	DET
2	13	5	Juschka	Garrett Wilson	WR	NYJ
2	14	6	Simi	Derrick Henry	RB	BAL
2	15	7	Ritz	Kyren Williams	RB	LAR
2	16	8	Erik	Puka Nacua	WR	LAR
3	17	1	Erik	Marvin Harrison	WR	ARI
3	18	2	Ritz	Isiah Pacheco	RB	KC
3	19	3	Simi	Deebo Samuel	WR	WAS
3	20	4	Juschka	Travis Etienne	RB	JAX
3	21	5	Benni	Brandon Aiyuk	WR	SF
3	22	6	Tommy	Nico Collins	WR	HOU
3	23	7	Kessi	Chris Olave	WR	NO
3	24	8	Marv	Josh Allen	QB	BUF
4	25	1	Marv	Davante Adams	WR	LAR
4	26	2	Kessi	Patrick Mahomes	QB	KC
4	27	3	Tommy	Travis Kelce	TE	KC
4	28	4	Benni	Sam LaPorta	TE	DET
4	29	5	Juschka	De'Von Achane	RB	MIA
4	30	6	Simi	Mike Evans	WR	TB
4	31	7	Ritz	DK Metcalf	WR	PIT
4	32	8	Erik	Joe Mixon	RB	HOU
5	33	1	Erik	Amari Cooper	WR	
5	34	2	Ritz	Kenneth Walker	RB	SEA
5	35	3	Simi	Josh Jacobs	RB	GB
5	36	4	Juschka	Drake London	WR	ATL
5	37	5	Benni	Jalen Hurts	QB	PHI
5	38	6	Tommy	Lamar Jackson	QB	BAL
5	39	7	Kessi	Cooper Kupp	WR	SEA
5	40	8	Marv	James Cook	RB	BUF
