Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
1	1	1	Kessi	Jonathan Taylor	RB	IND
1	2	2	Simi	Derrick Henry	RB	BAL
1	3	3	Ritz	Austin Ekeler	RB	WAS
1	4	4	Tommy	Dalvin Cook	RB	
1	5	5	Erik	Christian McCaffrey	RB	SF
1	6	6	Juschka	Najee Harris	RB	LAC
1	7	7	Marv	Joe Mixon	RB	HOU
1	8	8	Benni	Travis Kelce	TE	KC
2	9	1	Benni	Cooper Kupp	WR	SEA
2	10	2	Marv	Justin Jefferson	WR	MIN
2	11	3	Juschka	Ja'Marr Chase	WR	CIN
2	12	4	Erik	Nick Chubb	RB	HOU
2	13	5	Tommy	Deebo Samuel	WR	WAS
2	14	6	Ritz	Alvin Kamara	RB	NO
2	15	7	Simi	D'Andre Swift	RB	CHI
2	16	8	Kessi	Aaron Jones	RB	MIN
3	17	1	Kessi	Javonte Williams	RB	DAL
3	18	2	Simi	Stefon Diggs	WR	NE
3	19	3	Ritz	Davante Adams	WR	LAR
3	20	4	Tommy	Tyreek Hill	WR	MIA
3	21	5	Erik	CeeDee Lamb	WR	DAL
3	22	6	Juschka	Mike Evans	WR	TB
3	23	7	Marv	A.J. Brown	WR	PHI
3	24	8	Benni	Saquon Barkley	RB	PHI
4	25	1	Benni	James Conner	RB	ARI
4	26	2	Marv	Leonard Fournette	RB	
4	27	3	Juschka	Josh Allen	QB	BUF
4	28	4	Erik	Cam Akers	RB	MIN
4	29	5	Tommy	Kyle Pitts	TE	ATL
4	30	6	Ritz	Ezekiel Elliott	RB	
4	31	7	Simi	Mark Andrews	TE	BAL
4	32	8	Kessi	Michael Pittman	WR	IND
5	33	1	Kessi	Keenan Allen	WR	LAC
5	34	2	Simi	Tee Higgins	WR	CIN
5	35	3	Ritz	Antonio Gibson	RB	NE
5	36	4	Tommy	J.K. Dobbins	RB	DEN
5	37	5	Erik	DJ Moore	WR	CHI
5	38	6	Juschka	David Montgomery	RB	DET
5	39	7	Marv	Terry McLaurin	WR	WAS
5	40	8	Benni	Mike Williams	WR	
6	41	1	Benni	Patrick Mahomes	QB	KC
6	42	2	Marv	Justin Herbert	QB	LAC
6	43	3	Juschka	Diontae Johnson	WR	
6	44	4	Erik	George Kittle	TE	SF
6	45	5	Tommy	DK Metcalf	WR	PIT
6	46	6	Ritz	Amari Cooper	WR	
6	47	7	Simi	Elijah Mitchell	RB	KC
6	48	8	Kessi	Darren Waller	TE	MIA
7	49	1	Kessi	Joe Burrow	QB	CIN
7	50	2	Simi	Courtland Sutton	WR	DEN
7	51	3	Ritz	Lamar Jackson	QB	BAL
7	52	4	Tommy	Travis Etienne	RB	JAX
7	53	5	Erik	Allen Robinson	WR	
7	54	6	Juschka	Josh Jacobs	RB	GB
7	55	7	Marv	Breece Hall	RB	NYJ
7	56	8	Benni	Brandin Cooks	WR	NO
8	57	1	Benni	Jaylen Waddle	WR	MIA
8	58	2	Marv	Damien Harris	RB	
8	59	3	Juschka	Hollywood Brown	WR	KC
8	60	4	Erik	Jerry Jeudy	WR	CLE
8	61	5	Tommy	Miles Sanders	RB	DAL
8	62	6	Ritz	Brandon Aiyuk	WR	SF
8	63	7	Simi	Kyler Murray	QB	ARI
8	64	8	Kessi	Amon-Ra St. Brown	WR	DET
9	65	1	Kessi	DeVonta Smith	WR	PHI
9	66	2	Simi	A.J. Dillon	RB	PHI
9	67	3	Ritz	Michael Thomas	WR	
9	68	4	Tommy	Jalen Hurts	QB	PHI
9	69	5	Erik	Rashod Bateman	WR	BAL
9	70	6	Juschka	Tim Patrick	WR	JAX
9	71	7	Marv	DeAndre Hopkins	WR	BAL
9	72	8	Benni	Rashaad Penny	RB	
10	73	1	Benni	Gabe Davis	WR	BUF
10	74	2	Marv	T.J. Hockenson	TE	MIN
10	75	3	Juschka	Cordarrelle Patterson	RB	
10	76	4	Erik	Darnell Mooney	WR	ATL
10	77	5	Tommy	Adam Thielen	WR	MIN
10	78	6	Ritz	Dawson Knox	TE	BUF
10	79	7	Simi	Tyler Lockett	WR	TEN
10	80	8	Kessi	Allen Lazard	WR	NYJ
11	81	1	Kessi	Melvin Gordon	RB	
11	82	2	Simi	Clyde Edwards-Helaire	RB	KC
11	83	3	Ritz	Kenneth Walker	RB	SEA
11	84	4	Tommy	Chase Claypool	WR	
11	85	5	Erik	Chris Godwin	WR	TB
11	86	6	Juschka	Mecole Hardman	WR	
11	87	7	Marv	Dak Prescott	QB	DAL
11	88	8	Benni	Kareem Hunt	RB	KC
12	89	1	Benni	Elijah Moore	WR	BUF
12	90	2	Marv	Chase Edmonds	RB	WAS
12	91	3	Juschka	Carolina Panthers	DEF	CAR
12	92	4	Erik	Devin Singletary	RB	NYG
12	93	5	Tommy	Chris Olave	WR	NO
12	94	6	Ritz	Dalton Schultz	TE	HOU
12	95	7	Simi	JuJu Smith-Schuster	WR	KC
12	96	8	Kessi	Drake London	WR	ATL
13	97	1	Kessi	Aaron Rodgers	QB	PIT
13	98	2	Simi	Buffalo Bills	DEF	BUF
13	99	3	Ritz	Justin Tucker	K	
13	100	4	Tommy	Robert Woods	WR	
13	101	5	Erik	Rhamondre Stevenson	RB	NE
13	102	6	Juschka	Marquez Valdes-Scantling	WR	SF
13	103	7	Marv	Hunter Renfrow	WR	CAR
13	104	8	Benni	James Robinson	RB	
14	105	1	Benni	New England Patriots	DEF	NE
14	106	2	Marv	New Orleans Saints	DEF	NO
14	107	3	Juschka	Mason Crosby	K	
14	108	4	Erik	Tampa Bay Buccaneers	DEF	TB
14	109	5	Tommy	Raheem Mostert	RB	LV
14	110	6	Ritz	Kansas City Chiefs	DEF	KC
14	111	7	Simi	Tyler Bass	K	BUF
14	112	8	Kessi	Trey Lance	QB	LAC
15	113	1	Kessi	Ronald Jones	RB	
15	114	2	Simi	Dallas Goedert	TE	PHI
15	115	3	Ritz	Austin MacGinnis	K	
15	116	4	Tommy	San Francisco 49ers	DEF	SF
15	117	5	Erik	Russell Wilson	QB	NYG
15	118	6	Juschka	Dustin Hopkins	K	
15	119	7	Marv	Wil Lutz	K	DEN
15	120	8	Benni	Tom Brady	QB	
