Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
1	1	1	Erik	Christian McCaffrey	RB	SF
1	2	2	Simi	Austin Ekeler	RB	WAS
1	3	3	Juschka	Nick Chubb	RB	HOU
1	4	4	Benni	Travis Kelce	TE	KC
1	5	5	Marv	Justin Jefferson	WR	MIN
1	6	6	Ritz	Derrick Henry	RB	BAL
1	7	7	Kessi	Bijan Robinson	RB	ATL
1	8	8	Tommy	Ja'Marr Chase	WR	CIN
2	9	1	Tommy	Saquon Barkley	RB	PHI
2	10	2	Kessi	Jonathan Taylor	RB	IND
2	11	3	Ritz	Josh Jacobs	RB	GB
2	12	4	Marv	Tony Pollard	RB	TEN
2	13	5	Benni	Tyreek Hill	WR	MIA
2	14	6	Juschka	Breece Hall	RB	NYJ
2	15	7	Simi	Najee Harris	RB	LAC
2	16	8	Erik	Cooper Kupp	WR	SEA
3	17	1	Erik	CeeDee Lamb	WR	DAL
3	18	2	Simi	A.J. Brown	WR	PHI
3	19	3	Juschka	Stefon Diggs	WR	NE
3	20	4	Benni	Davante Adams	WR	LAR
3	21	5	Marv	Mark Andrews	TE	BAL
3	22	6	Ritz	DK Metcalf	WR	PIT
3	23	7	Kessi	Garrett Wilson	WR	NYJ
3	24	8	Tommy	Travis Etienne	RB	JAX
4	25	1	Tommy	Amon-Ra St. Brown	WR	DET
4	26	2	Kessi	Jaylen Waddle	WR	MIA
4	27	3	Ritz	Patrick Mahomes	QB	KC
4	28	4	Marv	Rhamondre Stevenson	RB	NE
4	29	5	Benni	Kenneth Walker	RB	SEA
4	30	6	Juschka	Chris Olave	WR	NO
4	31	7	Simi	Aaron Jones	RB	MIN
4	32	8	Erik	Joe Mixon	RB	HOU
5	33	1	Erik	J.K. Dobbins	RB	DEN
5	34	2	Simi	Amari Cooper	WR	
5	35	3	Juschka	Jahmyr Gibbs	RB	DET
5	36	4	Benni	Dameon Pierce	RB	HOU
5	37	5	Marv	Deebo Samuel	WR	WAS
5	38	6	Ritz	Tee Higgins	WR	CIN
5	39	7	Kessi	Jalen Hurts	QB	PHI
5	40	8	Tommy	Josh Allen	QB	BUF
6	41	1	Tommy	Miles Sanders	RB	DAL
6	42	2	Kessi	George Kittle	TE	SF
6	43	3	Ritz	Dalvin Cook	RB	
6	44	4	Marv	Justin Fields	QB	NYJ
6	45	5	Benni	Cam Akers	RB	MIN
6	46	6	Juschka	DeVonta Smith	WR	PHI
6	47	7	Simi	Alexander Mattison	RB	MIA
6	48	8	Erik	Calvin Ridley	WR	TEN
7	49	1	Erik	Jerry Jeudy	WR	CLE
7	50	2	Simi	DJ Moore	WR	CHI
7	51	3	Juschka	Joe Burrow	QB	CIN
7	52	4	Benni	Lamar Jackson	QB	BAL
7	53	5	Marv	Isiah Pacheco	RB	KC
7	54	6	Ritz	Christian Watson	WR	GB
7	55	7	Kessi	Terry McLaurin	WR	WAS
7	56	8	Tommy	Keenan Allen	WR	LAC
8	57	1	Tommy	D'Andre Swift	RB	CHI
8	58	2	Kessi	James Conner	RB	ARI
8	59	3	Ritz	Mike Evans	WR	TB
8	60	4	Marv	George Pickens	WR	DAL
8	61	5	Benni	Mike Williams	WR	
8	62	6	Juschka	Drake London	WR	ATL
8	63	7	Simi	T.J. Hockenson	TE	MIN
8	64	8	Erik	Brandon Aiyuk	WR	SF
9	65	1	Erik	Rachaad White	RB	TB
9	66	2	Simi	David Montgomery	RB	DET
9	67	3	Juschka	Kyle Pitts	TE	ATL
9	68	4	Benni	Alvin Kamara	RB	NO
9	69	5	Marv	Javonte Williams	RB	DAL
9	70	6	Ritz	James Cook	RB	BUF
9	71	7	Kessi	Samaje Perine	RB	CIN
9	72	8	Tommy	Dallas Goedert	TE	PHI
10	73	1	Tommy	Diontae Johnson	WR	
10	74	2	Kessi	DeAndre Hopkins	WR	BAL
10	75	3	Ritz	A.J. Dillon	RB	PHI
10	76	4	Marv	Kadarius Toney	WR	
10	77	5	Benni	Chris Godwin	WR	TB
10	78	6	Juschka	Brian Robinson	RB	SF
10	79	7	Simi	Christian Kirk	WR	HOU
10	80	8	Erik	Darren Waller	TE	MIA
11	81	1	Erik	Tyler Lockett	WR	TEN
11	82	2	Simi	Michael Pittman	WR	IND
11	83	3	Juschka	Khalil Herbert	RB	NYJ
11	84	4	Benni	Treylon Burks	WR	TEN
11	85	5	Marv	Jamaal Williams	RB	
11	86	6	Ritz	San Francisco 49ers	DEF	SF
11	87	7	Kessi	Jeff Wilson	RB	MIA
11	88	8	Tommy	Dallas Cowboys	DEF	DAL
12	89	1	Tommy	De'Von Achane	RB	MIA
12	90	2	Kessi	Brandin Cooks	WR	NO
12	91	3	Ritz	David Njoku	TE	CLE
12	92	4	Marv	Buffalo Bills	DEF	BUF
12	93	5	Benni	Jordan Addison	WR	MIN
12	94	6	Juschka	Philadelphia Eagles	DEF	PHI
12	95	7	Simi	New England Patriots	DEF	NE
