Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
1	1	1	Erik	Christian McCaffrey	RB	CAR
1	2	2	Simi	Saquon Barkley	RB	NYG
1	3	3	Tommy	Michael Thomas	WR	NO
1	4	4	Kessi	Ezekiel Elliott	RB	DAL
1	5	5	Juschka	Alvin Kamara	RB	NO
1	6	6	Marv	Dalvin Cook	RB	MIN
1	7	7	Benni	Derrick Henry	RB	TEN
1	8	8	Ritz	DeAndre Hopkins	WR	ARI
2	9	1	Ritz	Aaron Jones	RB	GB
2	10	2	Benni	Nick Chubb	RB	CLE
2	11	3	Marv	Travis Kelce	TE	KC
2	12	4	Juschka	Josh Jacobs	RB	LV
2	13	5	Kessi	Davante Adams	WR	GB
2	14	6	Tommy	Tyreek Hill	WR	KC
2	15	7	Simi	Joe Mixon	RB	CIN
2	16	8	Erik	Miles Sanders	RB	PHI
3	17	1	Erik	Chris Godwin	WR	TB
3	18	2	Simi	Julio Jones	WR	ATL
3	19	3	Tommy	Austin Ekeler	RB	LAC
3	20	4	Kessi	George Kittle	TE	SF
3	21	5	Juschka	Patrick Mahomes	QB	KC
3	22	6	Marv	Kenny Golladay	WR	DET
3	23	7	Benni	Lamar Jackson	QB	BAL
3	24	8	Ritz	Kenyan Drake	RB	ARI
4	25	1	Ritz	Mike Evans	WR	TB
4	26	2	Benni	Mark Andrews	TE	BAL
4	27	3	Marv	Chris Carson	RB	SEA
4	28	4	Juschka	Adam Thielen	WR	MIN
4	29	5	Kessi	Todd Gurley	RB	ATL
4	30	6	Tommy	Amari Cooper	WR	DAL
4	31	7	Simi	JuJu Smith-Schuster	WR	PIT
4	32	8	Erik	Allen Robinson	WR	CHI
5	33	1	Erik	Clyde Edwards-Helaire	RB	KC
5	34	2	Simi	Leonard Fournette	RB	TB
5	35	3	Tommy	James Conner	RB	PIT
5	36	4	Kessi	D.J. Moore	WR	CAR
5	37	5	Juschka	Odell Beckham Jr.	WR	CLE
5	38	6	Marv	Melvin Gordon	RB	DEN
5	39	7	Benni	A.J. Brown	WR	TEN
5	40	8	Ritz	Zach Ertz	TE	PHI
6	41	1	Ritz	Keenan Allen	WR	LAC
6	42	2	Benni	David Johnson	RB	HOU
6	43	3	Marv	DK Metcalf	WR	SEA
6	44	4	Juschka	Cooper Kupp	WR	LA
6	45	5	Kessi	Jonathan Taylor	RB	IND
6	46	6	Tommy	Courtland Sutton	WR	DEN
6	47	7	Simi	Tyler Lockett	WR	SEA
6	48	8	Erik	Calvin Ridley	WR	ATL
7	49	1	Erik	David Montgomery	RB	CHI
7	50	2	Simi	Raheem Mostert	RB	SF
7	51	3	Tommy	Le'Veon Bell	RB	KC
7	52	4	Kessi	Mark Ingram	RB	BAL
7	53	5	Juschka	Devin Singletary	RB	BUF
7	54	6	Marv	Terry McLaurin	WR	WAS
7	55	7	Benni	Robert Woods	WR	LA
7	56	8	Ritz	Stefon Diggs	WR	BUF
8	57	1	Ritz	Tevin Coleman	RB	SF
8	58	2	Benni	DeVante Parker	WR	MIA
8	59	3	Marv	Dak Prescott	QB	DAL
8	60	4	Juschka	D.J. Chark	WR	JAX
8	61	5	Kessi	Deshaun Watson	QB	HOU
8	62	6	Tommy	Dâ€™Andre Swift	RB	DET
8	63	7	Simi	Russell Wilson	QB	SEA
8	64	8	Erik	Cam Akers	RB	LA
9	65	1	Erik	Kyler Murray	QB	ARI
9	66	2	Simi	T.Y. Hilton	WR	IND
9	67	3	Tommy	Marquise Brown	WR	BAL
9	68	4	Kessi	A.J. Green	WR	CIN
9	69	5	Juschka	J.K. Dobbins	RB	BAL
9	70	6	Marv	Brandin Cooks	WR	HOU
9	71	7	Benni	Michael Gallup	WR	DAL
9	72	8	Ritz	Julian Edelman	WR	NE
10	73	1	Ritz	Kareem Hunt	RB	CLE
10	74	2	Benni	Ronald Jones	RB	TB
10	75	3	Marv	Jordan Howard	RB	
10	76	4	Juschka	Darren Waller	TE	LV
10	77	5	Kessi	Jarvis Landry	WR	CLE
10	78	6	Tommy	Rob Gronkowski	TE	TB
10	79	7	Simi	Kerryon Johnson	RB	DET
10	80	8	Erik	Derrius Guice	RB	
11	81	1	Erik	Tyler Higbee	TE	LA
11	82	2	Simi	Evan Engram	TE	NYG
11	83	3	Tommy	CeeDee Lamb	WR	DAL
11	84	4	Kessi	N'Keal Harry	WR	NE
11	85	5	Juschka	San Francisco 49ers	DST	SF
11	86	6	Marv	Baltimore Ravens	DST	BAL
11	87	7	Benni	Darius Slayton	WR	NYG
11	88	8	Ritz	Matt Ryan	QB	ATL
12	89	1	Ritz	Sony Michel	RB	NE
12	90	2	Benni	Tyler Boyd	WR	CIN
12	91	3	Marv	Wil Lutz	K	NO
12	92	4	Juschka	Zack Moss	RB	BUF
12	93	5	Kessi	Phillip Lindsay	RB	DEN
12	94	6	Tommy	Matthew Stafford	QB	DET
12	95	7	Simi	Pittsburgh Steelers	DST	PIT
12	96	8	Erik	Keâ€™Shawn Vaughn	RB	TB
13	97	1	Erik	Diontae Johnson	WR	PIT
13	98	2	Simi	Henry Ruggs III	WR	LV
13	99	3	Tommy	T.J. Hockenson	TE	DET
13	100	4	Kessi	Jerry Jeudy	WR	DEN
13	101	5	Juschka	Jalen Reagor	WR	PHI
13	102	6	Marv	Marlon Mack	RB	IND
13	103	7	Benni	Damien Williams	RB	
13	104	8	Ritz	Harrison Butker	K	KC
14	105	1	Ritz	New England Patriots	DST	NE
14	106	2	Benni	Justin Tucker	K	BAL
14	107	3	Marv	Anthony Miller	WR	CHI
14	108	4	Juschka	Sam Ficken	K	
14	109	5	Kessi	Buffalo Bills	DST	BUF
14	110	6	Tommy	Brandon Aiyuk	WR	SF
14	111	7	Simi	Matt Prater	K	DET
14	112	8	Erik	Greg Zuerlein	K	DAL
15	113	1	Erik	Philadelphia Eagles	DST	PHI
15	114	2	Simi	Joe Burrow	QB	CIN
