Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
1	1	1	Juschka	Marshawn Lynch	RB	SEA
1	2	2	Marv	Eddie Lacy	RB	GB
1	3	3	Benni	Odell Beckham	WR	NYG
1	4	4	Tommy	Adrian Peterson	RB	MIN
1	5	5	Kessi	Le'Veon Bell	RB	PIT
1	6	6	Simi	Russell Wilson	QB	SEA
1	7	7	Ritz	Rob Gronkowski	TE	NE
1	8	8	Erik	Jamaal Charles	RB	KC
2	9	1	Erik	Antonio Brown	WR	PIT
2	10	2	Ritz	Arian Foster	RB	HOU
2	11	3	Simi	Matt Forte	RB	CHI
2	12	4	Kessi	Jeremy Hill	RB	CIN
2	13	5	Tommy	Dez Bryant	WR	DAL
2	14	6	Benni	LeSean McCoy	RB	BUF
2	15	7	Marv	Calvin Johnson	WR	DET
2	16	8	Juschka	Demaryius Thomas	WR	DEN
3	17	1	Juschka	Jordy Nelson	WR	GB
3	18	2	Marv	Aaron Rodgers	QB	GB
3	19	3	Benni	C.J. Anderson	RB	DEN
3	20	4	Tommy	Andrew Luck	QB	IND
3	21	5	Kessi	Julio Jones	WR	ATL
3	22	6	Simi	A.J. Green	WR	CIN
3	23	7	Ritz	Randall Cobb	WR	GB
3	24	8	Erik	DeMarco Murray	RB	PHI
4	25	1	Erik	T.Y. Hilton	WR	IND
4	26	2	Ritz	Justin Forsett	RB	BAL
4	27	3	Simi	Amari Cooper	WR	LV
4	28	4	Kessi	Ben Roethlisberger	QB	PIT
4	29	5	Tommy	Alshon Jeffery	WR	CHI
4	30	6	Benni	DeAndre Hopkins	WR	HOU
4	31	7	Marv	Alfred Morris	RB	WAS
4	32	8	Juschka	Mark Ingram	RB	NO
5	33	1	Juschka	Drew Brees	QB	NO
5	34	2	Marv	Jimmy Graham	TE	SEA
5	35	3	Benni	Peyton Manning	QB	DEN
5	36	4	Tommy	LeGarrette Blount	RB	NE
5	37	5	Kessi	Greg Olsen	TE	CAR
5	38	6	Simi	Lamar Miller	RB	MIA
5	39	7	Ritz	Melvin Gordon	RB	LAC
5	40	8	Erik	Tony Romo	QB	DAL
6	41	1	Erik	Travis Kelce	TE	KC
6	42	2	Ritz	Ryan Tannehill	QB	MIA
6	43	3	Simi	Dorial Green-Beckham	WR	TEN
6	44	4	Kessi	Emmanuel Sanders	WR	DEN
6	45	5	Tommy	Julius Thomas	TE	JAC
6	46	6	Benni	Antonio Gates	TE	LAC
6	47	7	Marv	Brandin Cooks	WR	NO
6	48	8	Juschka	Jordan Matthews	WR	PHI
7	49	1	Juschka	Coby Fleener	TE	IND
7	50	2	Marv	Frank Gore	RB	IND
7	51	3	Benni	DeSean Jackson	WR	WAS
7	52	4	Tommy	Sammy Watkins	WR	BUF
7	53	5	Kessi	Darren McFadden	RB	DAL
7	54	6	Simi	Martellus Bennett	TE	CHI
7	55	7	Ritz	Nelson Agholor	WR	PHI
7	56	8	Erik	Rashad Jennings	RB	NYG
8	57	1	Erik	Stephen Gostkowski	K	NE
8	58	2	Ritz	Houston Texans	DST	HOU
8	59	3	Simi	Seattle Seahawks	DST	SEA
8	60	4	Kessi	Andre Ellington	RB	ARI
8	61	5	Tommy	Buffalo Bills	DST	BUF
8	62	6	Benni	Joique Bell	RB	DET
8	63	7	Marv	Jarvis Landry	WR	MIA
8	64	8	Juschka	Green Bay Packers	DST	GB
9	65	1	Juschka	Kelvin Benjamin	WR	CAR
9	66	2	Marv	C.J. Spiller	RB	NO
9	67	3	Benni	Dwayne Allen	TE	IND
9	68	4	Tommy	Julian Edelman	WR	NE
9	69	5	Kessi	Brandon LaFell	WR	NE
9	70	6	Simi	Adam Vinatieri	K	IND
9	71	7	Ritz	Jeremy Maclin	WR	KC
9	72	8	Erik	Philadelphia Eagles	DST	PHI
10	73	1	Erik	Mike Evans	WR	TB
10	74	2	Ritz	Jonathan Stewart	RB	CAR
10	75	3	Simi	Matt Ryan	QB	ATL
10	76	4	Kessi	Miami Dolphins	DST	MIA
10	77	5	Tommy	Carlos Hyde	RB	SF
10	78	6	Benni	Los Angeles Rams	DST	LAR
10	79	7	Marv	Arizona Cardinals	DST	ARI
10	80	8	Juschka	Torrey Smith	WR	SF
11	81	1	Juschka	Chris Ivory	RB	NYJ
11	82	2	Marv	Cam Newton	QB	CAR
11	83	3	Benni	Isaiah Crowell	RB	CLE
11	84	4	Tommy	Pierre Garcon	WR	WAS
11	85	5	Kessi	Tom Brady	QB	NE
11	86	6	Simi	Latavius Murray	RB	LV
11	87	7	Ritz	Andre Johnson	WR	IND
11	88	8	Erik	Philip Rivers	QB	LAC
