Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Benni,4,J. Allen QB - BUF ,15.48,D. Henry RB - TEN ,36.50,A. Gibson RB - WAS ,31.60,R. Woods WR - LA ,8.80,A. Brown WR - TEN ,15.80,D. Goedert TE - PHI ,13.50,N. Chubb RB - CLE ,23.60,R. Blankenship K - IND ,2.00,Saints DEF ,14.00,A. Brown WR - TB ,1.10,D. Johnson RB - HOU ,0.00,A. Ekeler RB - LAC ,12.90,D. Johnson WR - PIT ,4.60,J. Dobbins RB - BAL ,0.00,Dolphins DEF ,14.00,L. Jackson QB - BAL ,0.00,M. Andrews TE - BAL ,0.00,161.28,Juschka,99.18
Erik,6,K. Murray QB - ARI ,7.90,B. Hill RB - ATL ,5.50,D. Montgomery RB - CHI ,20.30,M. Thomas WR - NO ,5.10,C. Ridley WR - ATL ,11.00,H. Henry TE - LAC ,6.70,M. Sanders RB - PHI ,4.20,M. Crosby K - GB ,5.00,Giants DEF ,9.00,A. Robinson WR - CHI ,19.40,T. Boyd WR - CIN ,1.50,C. McCaffrey RB - CAR ,0.00,C. Godwin WR - TB ,9.70,J. Tucker K - BAL ,2.00,Seahawks DEF ,9.00,J. Conner RB - PIT ,0.00,-,-,74.70,Tommy,94.26
Ritz,5,A. Rodgers QB - GB ,25.64,K. Hunt RB - CLE ,6.20,A. Jones RB - GB ,9.00,K. Allen WR - LAC ,12.00,D. Hopkins WR - ARI ,5.50,R. Gronkowski TE - TB ,10.60,K. Drake RB - ARI ,21.30,H. Butker K - KC ,9.00,Colts DEF ,-3.00,M. Ryan QB - ATL ,13.90,M. Evans WR - TB ,17.00,S. Diggs WR - BUF ,3.90,N. Hines RB - IND ,9.50,D. Henderson RB - LA,1.90,Buccaneers DEF ,4.00,-,-,-,-,96.24,Kessi,82.92
Marv,1,J. Herbert QB - LAC ,16.44,D. Cook RB - MIN ,6.20,C. Carson RB - SEA ,11.90,T. McLaurin WR - WAS ,9.20,D. Metcalf WR - SEA ,17.70,T. Kelce TE - KC ,8.20,J. Robinson RB - JAX ,21.90,W. Lutz K - NO ,7.00,Ravens DEF ,8.00,M. Gordon RB - DEN ,3.10,K. Golladay WR - DET ,0.00,J. Smith TE - TEN ,0.00,C. Edmonds RB - ARI ,4.30,M. Gaskin RB - MIA ,0.00,D. Samuel WR - SF ,13.30,-,-,-,-,106.54,Simi,96.80
Simi,7,R. Wilson QB - SEA ,14.40,G. Bernard RB - CIN ,4.90,W. Gallman RB - NYG ,15.10,T. Lockett WR - SEA ,2.30,W. Fuller WR - HOU ,29.10,D. Schultz TE - DAL ,2.40,F. Gore RB - NYJ,8.60,D. Carlson K - LV ,6.00,Steelers DEF ,14.00,J. Jones WR - ATL ,0.00,R. Mostert RB - SF,8.30,J. Mixon RB - CIN,0.00,J. Smith-Schuster WR - PIT ,9.70,C. Kirk WR - ARI ,1.90,D. Swift RB - DET ,0.00,-,-,-,-,96.80,Marv,106.54
Tommy,8,C. Newton QB - NE ,3.96,R. Jones RB - TB ,16.30,C. Edwards-Helaire RB - KC ,3.90,T. Hill WR - KC ,44.90,C. Claypool WR - PIT ,5.20,T. Hockenson TE - DET ,8.90,C. Lamb WR - DAL ,2.10,T. Bass K - BUF ,9.00,Browns DEF ,0.00,B. Roethlisberger QB - PIT ,12.54,A. Cooper WR - DAL ,17.20,R. Anderson WR - CAR ,15.40,D. Harris RB - NE,4.70,T. Higgins WR - CIN ,10.40,B. Aiyuk WR - SF ,0.00,-,-,-,-,94.26,Erik,74.70
Juschka,2,P. Mahomes QB - KC ,31.28,A. Kamara RB - NO ,5.20,J. Jacobs RB - LV ,2.40,C. Kupp WR - LA ,4.10,J. Jefferson WR - MIN ,19.00,D. Waller TE - LV ,2.30,M. Davis RB - CAR ,7.90,J. Sanders K - MIA ,12.00,Rams DEF ,15.00,S. Watkins WR - KC ,3.80,J. White RB - NE ,13.70,D. Chark WR - JAX ,0.00,M. Pittman WR - IND ,2.80,J. Reagor WR - PHI ,1.10,Y. Koo K - ATL ,21.00,A. Thielen WR - MIN ,0.00,-,-,99.18,Benni,161.28
Kessi,3,D. Watson QB - HOU ,33.12,T. Gurley RB - ATL ,0.00,P. Lindsay RB - DEN,2.00,D. Adams WR - GB ,12.10,D. Moore WR - CAR ,6.10,R. Tonyan TE - GB ,12.70,E. Elliott RB - DAL ,1.90,S. Gostkowski K - TEN ,9.00,Bills DEF ,6.00,M. Ingram RB - BAL ,0.00,J. McKissic RB - WAS ,2.70,C. Samuel WR - CAR ,7.70,A. Lazard WR - GB ,8.30,J. Jeudy WR - DEN ,0.00,J. Taylor RB - IND ,0.00,-,-,-,-,82.92,Ritz,96.24
