Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Benni,5,L. Jackson QB - BAL ,13.50,D. Johnson RB - HOU ,10.30,A. Gibson RB - WAS ,5.10,R. Woods WR - LA ,13.10,A. Brown WR - TEN ,14.20,M. Andrews TE - BAL ,11.60,D. Henry RB - TEN ,18.30,J. Tucker K - BAL ,9.00,Cardinals DEF ,7.00,D. Parker WR - MIA ,11.00,M. Gallup WR - DAL ,7.30,J. Allen QB - BUF ,16.32,N. Chubb RB - CLE ,0.00,D. Johnson WR - PIT ,-0.20,J. Kelley RB - LAC ,3.80,-,-,102.10,Marv,126.54
Erik,2,K. Murray QB - ARI ,26.30,D. Montgomery RB - CHI ,11.90,C. Edwards-Helaire RB - KC ,8.00,A. Robinson WR - CHI ,9.00,C. Ridley WR - ATL ,13.60,H. Henry TE - LAC ,8.30,M. Sanders RB - PHI ,21.90,R. Blankenship K - IND ,11.00,Rams DEF ,12.00,D. Freeman RB ,14.70,T. Boyd WR - CIN ,4.20,C. McCaffrey RB - CAR ,0.00,C. Godwin WR - TB ,0.00,J. Smith TE - TEN ,16.00,C. Edmonds RB - ARI ,15.20,-,-,122.00,Tommy,75.02
Ritz,6,M. Ryan QB - ATL ,6.94,K. Drake RB - ARI ,12.20,K. Hunt RB - CLE ,15.30,D. Hopkins WR - ARI ,19.10,M. Evans WR - TB ,10.10,Z. Ertz TE - PHI ,0.60,K. Allen WR - LAC ,8.90,H. Butker K - KC ,6.00,Buccaneers DEF ,6.00,J. Edelman WR - NE IR ,0.00,A. Rodgers QB - GB ,0.00,S. Diggs WR - BUF ,10.60,A. Jones RB - GB ,0.00,D. Henderson RB - LA IR ,18.80,Colts DEF ,11.00,C. Newton QB - NE ,0.00,85.14,Kessi,113.36
Marv,1,D. Prescott QB - DAL IR ,12.44,D. Cook RB - MIN ,14.90,C. Carson RB - SEA ,13.90,D. Metcalf WR - SEA ,21.30,D. Samuel WR - SF ,2.20,T. Kelce TE - KC ,16.80,J. Robinson RB - JAX ,5.00,W. Lutz K - NO ,14.00,Ravens DEF ,26.00,J. Graham TE - CHI ,9.30,M. Gordon RB - DEN ,0.00,K. Golladay WR - DET ,0.00,A. Miller WR - CHI ,2.80,M. Gaskin RB - MIA ,15.10,T. McLaurin WR - WAS ,2.60,-,-,126.54,Benni,102.10
Simi,7,R. Wilson QB - SEA ,24.48,R. Mostert RB - SF IR ,11.90,J. Mixon RB - CIN IR ,9.40,T. Lockett WR - SEA ,4.40,J. Smith-Schuster WR - PIT ,2.80,E. Engram TE - NYG ,8.50,L. Bell RB - KC ,6.70,D. Carlson K - LV ,10.00,Steelers DEF ,8.00,J. Jones WR - ATL ,0.00,J. McKinnon RB - SF ,0.50,W. Fuller WR - HOU ,11.80,L. Fournette RB - TB ,0.00,H. Ruggs WR - LV ,17.80,M. Prater K - DET ,0.00,-,-,86.18,Juschka,117.40
Tommy,8,T. Brady QB - TB ,14.12,J. Conner RB - PIT ,12.30,R. Jones RB - TB ,12.50,A. Cooper WR - DAL ,2.10,T. Hill WR - KC ,15.30,E. Ebron TE - PIT ,2.30,C. Lamb WR - DAL ,12.40,R. Gould K - SF ,5.00,Chiefs DEF ,-1.00,S. Watkins WR - KC ,8.40,M. Thomas WR - NO ,0.00,R. Anderson WR - CAR ,11.50,A. Ekeler RB - LAC ,0.00,M. Brown WR - BAL ,13.80,B. Aiyuk WR - SF ,4.40,-,-,75.02,Erik,122.00
Juschka,3,P. Mahomes QB - KC ,29.70,A. Kamara RB - NO ,11.90,J. Jacobs RB - LV ,20.50,A. Thielen WR - MIN ,20.30,J. Jefferson WR - MIN ,2.30,D. Waller TE - LV ,10.80,M. Davis RB - CAR ,20.90,J. Myers K - SEA ,3.00,49ers DEF ,-2.00,A. Peterson RB - DET ,0.00,O. Beckham WR - CLE IR ,6.42,C. Kupp WR - LA ,6.60,D. Chark WR - JAX ,1.60,D. Singletary RB - BUF ,3.30,J. Dobbins RB - BAL ,5.50,-,-,117.40,Simi,86.18
Kessi,4,D. Watson QB - HOU ,24.86,T. Gurley RB - ATL ,21.00,E. Elliott RB - DAL ,22.50,J. Crowder WR - NYJ ,17.60,D. Moore WR - CAR ,15.30,G. Kittle TE - SF ,4.40,M. Ingram RB - BAL ,5.70,S. Gostkowski K - TEN ,6.00,Bills DEF ,-4.00,D. Adams WR - GB ,0.00,P. Lindsay RB - DEN IR ,0.00,A. Lazard WR - GB ,0.00,N. Harry WR - NE ,0.00,J. Jeudy WR - DEN ,0.00,J. Taylor RB - IND ,13.40,-,-,113.36,Ritz,85.14
