Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Benni,3,L. Jackson QB - BAL ,29.22,D. Henry RB - TEN ,23.20,A. Ekeler RB - LAC ,7.90,R. Woods WR - LA ,15.60,A. Brown WR - TEN ,10.40,M. Andrews TE - BAL ,12.60,N. Chubb RB - CLE ,12.60,T. Bass K - BUF ,12.00,Rams DEF ,2.00,B. Cooks WR - HOU ,5.90,J. Allen QB - BUF ,37.66,D. Johnson WR - PIT ,11.90,J. Dobbins RB - BAL ,14.10,A. Gibson RB - WAS ,0.00,Saints DEF ,7.00,-,-,125.52,Juschka,122.26
Erik,6,K. Murray QB - ARI ,33.14,D. Montgomery RB - CHI ,28.20,C. Akers RB - LA ,6.20,A. Robinson WR - CHI ,8.30,C. Ridley WR - ATL ,22.30,H. Henry TE - LAC ,12.50,M. Sanders RB - PHI ,9.00,J. Tucker K - BAL ,8.00,Seahawks DEF ,9.00,L. Thomas TE - WAS ,10.10,M. Thomas WR - NO ,0.00,J. Conner RB - PIT ,0.00,C. McCaffrey RB - CAR ,0.00,C. Godwin WR - TB ,9.60,G. Kittle TE - SF ,0.00,-,-,136.64,Simi,58.44
Ritz,5,A. Rodgers QB - GB ,18.32,K. Drake RB - ARI ,4.00,A. Jones RB - GB ,21.80,M. Evans WR - TB ,11.00,S. Diggs WR - BUF ,14.70,R. Gronkowski TE - TB ,2.90,D. Hopkins WR - ARI ,21.00,H. Butker K - KC ,6.00,Colts DEF ,10.00,K. Allen WR - LAC ,1.60,E. Ebron TE - PIT ,0.00,D. Johnson RB - HOU ,13.30,K. Hunt RB - CLE ,2.80,N. Hines RB - IND ,5.40,Dolphins DEF ,9.00,-,-,109.72,Tommy,87.50
Marv,1,J. Herbert QB - LAC ,27.96,D. Cook RB - MIN ,21.90,C. Carson RB - SEA ,6.90,T. McLaurin WR - WAS ,7.70,D. Metcalf WR - SEA ,4.30,T. Kelce TE - KC ,14.80,J. Robinson RB - JAX ,11.30,R. Succop K - TB ,7.00,Ravens DEF ,10.00,C. Beasley WR - BUF ,11.20,M. Gordon RB - DEN ,20.10,K. Golladay WR - DET ,0.00,C. Edmonds RB - ARI ,12.60,B. Mayfield QB - CLE ,20.98,M. Gaskin RB - MIA ,0.00,-,-,111.86,Kessi,116.72
Simi,7,R. Wilson QB - SEA ,12.04,W. Gallman RB - NYG ,2.90,D. Swift RB - DET ,18.20,T. Lockett WR - SEA ,3.40,J. Smith-Schuster WR - PIT ,-0.50,E. Engram TE - NYG ,4.60,R. Mostert RB - SF IR ,6.80,D. Carlson K - LV ,9.00,Steelers DEF ,2.00,J. Jones WR - ATL ,0.00,F. Gore RB - NYJ IR ,12.50,A. Brown WR - TB ,15.30,G. Bernard RB - CIN ,21.70,J. Mixon RB - CIN IR ,0.00,M. Gesicki TE - MIA ,0.00,-,-,58.44,Erik,136.64
Tommy,8,T. Brady QB - TB ,23.40,D. Washington RB - MIA ,0.00,L. Fournette RB - TB ,18.50,T. Hill WR - KC ,11.40,B. Aiyuk WR - SF ,13.30,T. Hockenson TE - DET ,-0.20,T. Hilton WR - IND ,7.10,R. Blankenship K - IND ,11.00,Football Team DEF ,3.00,A. Cooper WR - DAL ,0.30,R. Anderson WR - CAR ,2.00,T. Higgins WR - CIN ,3.10,C. Lamb WR - DAL ,8.50,C. Edwards-Helaire RB - KC ,8.30,C. Claypool WR - PIT ,4.80,R. Jones RB - TB ,0.00,87.50,Ritz,109.72
Juschka,2,P. Mahomes QB - KC ,25.86,M. Davis RB - CAR ,6.10,J. Jacobs RB - LV ,17.40,A. Thielen WR - MIN ,7.10,J. Jefferson WR - MIN ,10.40,D. Waller TE - LV ,21.00,A. Kamara RB - NO ,15.40,Y. Koo K - ATL ,11.00,Browns DEF ,8.00,A. Peterson RB - DET ,2.30,D. Booker RB - LV ,1.20,C. Kupp WR - LA ,3.90,J. Williams RB - GB ,2.00,D. Chark WR - JAX ,5.30,J. Sanders K - MIA ,2.00,-,-,122.26,Benni,125.52
Kessi,4,D. Watson QB - HOU ,23.42,J. McKissic RB - WAS ,16.70,J. Taylor RB - IND ,15.50,D. Adams WR - GB ,4.20,C. Davis WR - TEN ,17.00,R. Tonyan TE - GB ,7.80,J. Landry WR - CLE ,12.10,S. Gostkowski K - TEN ,8.00,Bills DEF ,12.00,R. Tannehill QB - TEN ,37.02,T. Gurley RB - ATL ,1.40,E. Elliott RB - DAL ,0.00,P. Lindsay RB - DEN IR ,4.50,D. Moore WR - CAR ,13.20,J. Jeudy WR - DEN ,1.90,-,-,116.72,Marv,111.86
