Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Benni,3,L. Jackson QB - BAL ,25.02,D. Johnson RB - HOU ,9.20,N. Chubb RB - CLE ,4.30,D. Parker WR - MIA ,11.00,M. Gallup WR - DAL ,2.90,M. Andrews TE - BAL ,17.70,R. Woods WR - LA ,3.80,J. Tucker K - BAL ,7.00,Colts DEF ,7.00,D. Henry RB - TEN ,0.00,J. Allen QB - BUF ,25.42,A. Brown WR - TEN ,0.00,D. Johnson WR - PIT ,0.00,J. Kelley RB - LAC ,1.30,A. Gibson RB - WAS ,18.80,-,-,87.92,Tommy,90.40
Erik,6,K. Murray QB - ARI ,23.12,D. Montgomery RB - CHI ,7.70,M. Sanders RB - PHI ,7.60,A. Robinson WR - CHI ,16.10,C. Ridley WR - ATL ,0.00,H. Henry TE - LAC ,3.90,C. Edwards-Helaire RB - KC ,9.10,G. Zuerlein K - DAL ,2.00,Rams DEF ,11.00,D. Freeman RB ,6.80,T. Boyd WR - CIN ,9.40,C. McCaffrey RB - CAR ,0.00,C. Godwin WR - TB ,0.00,J. Smith TE - TEN ,0.00,R. Gage WR - ATL ,2.00,-,-,80.52,Ritz,93.08
Ritz,4,A. Rodgers QB - GB ,29.58,K. Drake RB - ARI ,3.50,A. Jones RB - GB ,17.10,D. Hopkins WR - ARI ,4.10,M. Evans WR - TB ,18.20,Z. Ertz TE - PHI ,2.90,D. Henderson RB - LA IR ,3.70,H. Butker K - KC ,8.00,Buccaneers DEF ,6.00,M. Ryan QB - ATL ,12.40,J. Edelman WR - NE IR ,3.50,K. Allen WR - LAC ,6.20,S. Diggs WR - BUF ,11.50,K. Hunt RB - CLE ,19.10,D. Schultz TE - DAL ,13.20,C. Newton QB - NE ,0.00,93.08,Erik,80.52
Marv,1,D. Prescott QB - DAL IR ,37.28,D. Cook RB - MIN ,26.60,C. Carson RB - SEA ,22.00,K. Golladay WR - DET ,12.20,D. Metcalf WR - SEA ,10.60,T. Kelce TE - KC ,7.00,J. Robinson RB - JAX ,10.70,W. Lutz K - NO ,5.00,Ravens DEF ,6.00,J. Graham TE - CHI ,3.30,M. Gordon RB - DEN ,23.80,A. Miller WR - CHI ,1.60,M. Gaskin RB - MIA ,6.20,T. McLaurin WR - WAS ,11.80,D. Samuel WR - SF ,4.50,-,-,137.38,Simi,101.58
Simi,7,R. Wilson QB - SEA ,20.90,J. McKinnon RB - SF ,15.70,J. Mixon RB - CIN IR ,36.10,J. Jones WR - ATL ,3.20,T. Lockett WR - SEA ,3.90,E. Engram TE - NYG ,3.50,J. Landry WR - CLE ,10.28,M. Prater K - DET ,3.00,Seahawks DEF ,5.00,R. Mostert RB - SF IR ,0.00,L. Fournette RB - TB ,0.00,J. Smith-Schuster WR - PIT ,0.00,K. Johnson RB - DET ,1.20,H. Ruggs WR - LV ,0.00,Steelers DEF ,0.00,-,-,101.58,Marv,137.38
Tommy,8,J. Goff QB - LA ,11.70,A. Ekeler RB - LAC ,1.40,R. Jones RB - TB ,12.80,A. Cooper WR - DAL ,21.40,T. Hill WR - KC ,12.40,N. Fant TE - DEN ,3.50,C. Lamb WR - DAL ,20.20,R. Gould K - SF ,2.00,Packers DEF ,5.00,S. Watkins WR - KC ,2.30,M. Thomas WR - NO ,0.00,R. Anderson WR - CAR ,9.90,J. Conner RB - PIT ,0.00,M. Brown WR - BAL ,8.60,B. Aiyuk WR - SF ,11.60,-,-,90.40,Benni,87.92
Juschka,2,P. Mahomes QB - KC ,20.24,M. Davis RB - CAR ,17.10,A. Kamara RB - NO ,17.90,A. Thielen WR - MIN ,18.20,C. Kupp WR - LA ,12.70,D. Waller TE - LV ,6.80,J. Jacobs RB - LV ,7.30,M. Crosby K - GB ,6.00,49ers DEF ,6.00,A. Peterson RB - DET ,9.60,O. Beckham WR - CLE IR ,33.40,D. Chark WR - JAX ,21.50,D. Singletary RB - BUF ,13.70,J. Dobbins RB - BAL ,1.70,J. Jefferson WR - MIN ,10.30,-,-,112.24,Kessi,87.50
Kessi,5,D. Watson QB - HOU ,20.90,E. Elliott RB - DAL ,12.50,J. Taylor RB - IND ,7.90,D. Adams WR - GB ,0.00,D. Moore WR - CAR ,4.90,T. Higbee TE - LA ,2.00,T. Gurley RB - ATL ,18.30,R. Bullock K - CIN ,15.00,Bills DEF ,6.00,M. Ingram RB - BAL ,9.70,G. Kittle TE - SF ,25.10,P. Lindsay RB - DEN IR ,0.00,A. Lazard WR - GB ,0.00,N. Harry WR - NE ,8.10,S. Gostkowski K - TEN ,0.00,-,-,87.50,Juschka,112.24
