Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Benni,3,L. Jackson QB - BAL ,34.92,D. Henry RB - TEN ,34.20,A. Ekeler RB - LAC ,14.60,R. Woods WR - LA ,3.10,A. Brown WR - TEN ,17.20,M. Andrews TE - BAL ,7.80,N. Chubb RB - CLE ,22.30,J. Myers K - SEA ,10.00,Saints DEF ,2.00,B. Cooks WR - HOU ,0.00,J. Allen QB - BUF ,18.32,D. Johnson WR - PIT ,4.00,J. Dobbins RB - BAL ,13.30,A. Gibson RB - WAS ,0.00,Rams DEF ,21.00,-,-,146.12,Kessi,106.06
Erik,6,K. Murray QB - ARI ,18.46,D. Montgomery RB - CHI ,21.50,C. Akers RB - LA ,19.40,A. Robinson WR - CHI ,18.30,C. Ridley WR - ATL ,18.40,H. Henry TE - LAC ,4.10,C. Godwin WR - TB ,2.50,J. Tucker K - BAL ,9.00,Seahawks DEF ,12.00,T. Boyd WR - CIN ,4.30,M. Thomas WR - NO ,8.40,J. Conner RB - PIT ,1.80,C. McCaffrey RB - CAR ,0.00,G. Kittle TE - SF ,0.00,M. Sanders RB - PHI ,25.60,-,-,123.66,Marv,93.92
Ritz,5,A. Rodgers QB - GB ,30.90,K. Drake RB - ARI ,15.00,A. Jones RB - GB ,7.50,K. Allen WR - LAC ,11.20,M. Evans WR - TB ,5.60,R. Gronkowski TE - TB ,6.20,D. Hopkins WR - ARI ,13.60,H. Butker K - KC ,7.00,Colts DEF ,12.00,M. Ryan QB - ATL ,7.26,E. Ebron TE - PIT ,5.00,S. Diggs WR - BUF ,19.10,K. Hunt RB - CLE ,23.00,N. Hines RB - IND ,7.50,Chiefs DEF ,14.00,-,-,109.00,Simi,90.94
Marv,1,J. Herbert QB - LAC ,15.72,D. Cook RB - MIN ,17.00,C. Carson RB - SEA ,15.80,T. McLaurin WR - WAS ,2.40,D. Metcalf WR - SEA ,12.10,T. Kelce TE - KC ,19.60,J. Robinson RB - JAX ,8.30,W. Lutz K - NO ,3.00,Ravens DEF ,0.00,M. Gordon RB - DEN ,9.10,K. Golladay WR - DET ,0.00,C. Edmonds RB - ARI ,5.30,B. Mayfield QB - CLE ,30.02,M. Gaskin RB - MIA ,0.00,D. Samuel WR - SF ,0.90,-,-,93.92,Erik,123.66
Simi,7,R. Wilson QB - SEA ,22.14,G. Bernard RB - CIN ,0.30,W. Gallman RB - NYG ,7.30,T. Lockett WR - SEA ,5.20,J. Smith-Schuster WR - PIT ,11.50,M. Gesicki TE - MIA ,18.50,D. Swift RB - DET ,11.00,D. Carlson K - LV ,9.00,Steelers DEF ,6.00,J. Jones WR - ATL ,0.00,F. Gore RB - NYJ,1.10,R. Mostert RB - SF,7.00,W. Fuller WR - HOU ,0.00,J. Mixon RB - CIN,0.00,C. Kirk WR - ARI ,1.40,-,-,90.94,Ritz,109.00
Tommy,8,B. Roethlisberger QB - PIT ,13.48,D. Washington RB - MIA ,5.20,R. Jones RB - TB ,14.40,T. Hill WR - KC ,23.10,C. Claypool WR - PIT ,1.50,T. Hockenson TE - DET ,10.30,A. Cooper WR - DAL ,11.10,R. Blankenship K - IND ,14.00,49ers DEF ,8.00,K. Cousins QB - MIN ,17.10,R. Anderson WR - CAR ,9.70,T. Higgins WR - CIN ,4.90,C. Lamb WR - DAL ,6.10,C. Edwards-Helaire RB - KC ,9.10,B. Aiyuk WR - SF ,11.90,-,-,101.08,Juschka,86.92
Juschka,2,P. Mahomes QB - KC ,18.62,M. Davis RB - CAR ,21.30,A. Kamara RB - NO ,15.40,A. Thielen WR - MIN ,3.90,J. Jefferson WR - MIN ,5.90,D. Waller TE - LV ,7.50,C. Kupp WR - LA ,9.30,Y. Koo K - ATL ,5.00,Browns DEF ,0.00,A. Peterson RB - DET ,3.00,D. Booker RB - LV ,1.90,J. Williams RB - GB ,3.80,D. Chark WR - JAX ,1.60,J. Jacobs RB - LV ,7.40,J. Sanders K - MIA ,9.00,-,-,86.92,Tommy,101.08
Kessi,4,R. Tannehill QB - TEN ,16.48,E. Elliott RB - DAL ,5.90,J. Taylor RB - IND ,28.50,D. Adams WR - GB ,17.50,C. Davis WR - TEN ,1.40,R. Tonyan TE - GB ,9.60,J. Landry WR - CLE ,5.68,S. Gostkowski K - TEN ,9.00,Bills DEF ,12.00,J. Crowder WR - NYJ ,0.70,T. Gurley RB - ATL ,3.10,J. McKissic RB - WAS ,8.60,D. Watson QB - HOU ,16.56,P. Lindsay RB - DEN,3.10,J. Jeudy WR - DEN ,4.20,D. Moore WR - CAR ,0.00,106.06,Benni,146.12
