Year	Owner	PickupsCount	TotalPickupScore	AvgPickupScore	Top3AvgScore	BestPickupScore	BestPickupPlayer	TotalPickupPoints	AvgPickupPoints
2022	Ritz	10	513.55	51.35	75.0	76.61	Kirk Cousins	294.86	29.49
2022	Erik	10	497.58	49.76	71.79	87.2	Tua Tagovailoa	290.02	29.0
2022	Kessi	6	423.42	70.57	80.58	87.83	Brian Robinson	339.8	56.63
2022	Marv	7	407.0	58.14	77.15	80.84	Christian Kirk	295.16	42.17
2022	Tommy	6	307.16	51.19	69.37	74.98	Justin Fields	176.92	29.49
2022	Simi	9	292.39	32.49	53.14	68.62	Latavius Murray	98.86	10.98
2021	Juschka	21	1251.71	59.61	86.64	91.1	Marquise Brown	805.94	38.38
2021	Kessi	14	685.22	48.94	74.03	87.28	Mac Jones	389.16	27.8
2021	Simi	13	635.56	48.89	77.91	91.67	Cordarrelle Patterson	395.4	30.42
2021	Benni	10	528.1	52.81	87.84	93.31	Darrell Henderson	381.76	38.18
2021	Marv	11	429.74	39.07	68.09	76.26	Matt Ryan	202.58	18.42
2021	Ritz	8	425.3	53.16	75.64	78.68	Chuba Hubbard	210.08	26.26
2021	Tommy	9	394.9	43.88	68.5	76.71	Joe Burrow	196.58	21.84
2021	Erik	8	364.39	45.55	69.08	98.29	Jalen Hurts	403.2	50.4
2020	Tommy	21	960.18	45.72	83.8	86.37	Tom Brady	613.4	29.21
2020	Simi	18	731.05	40.61	65.84	66.84	Giovani Bernard	324.04	18.0
2020	Marv	11	707.16	64.29	89.81	94.2	James Robinson	771.14	70.1
2020	Erik	14	602.73	43.05	68.85	78.31	Hunter Henry	225.02	16.07
2020	Ritz	9	566.78	62.98	81.31	97.16	Aaron Rodgers	547.72	60.86
2020	Juschka	11	530.33	48.21	83.3	89.5	Mike Davis	434.72	39.52
2020	Kessi	9	461.34	51.26	72.82	76.99	J.D. McKissic	276.98	30.78
2020	Benni	7	334.15	47.74	70.34	92.08	Antonio Gibson	216.18	30.88
2019	Benni	22	1002.1	45.55	79.51	82.53	Mark Andrews	614.44	27.93
