Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Benni,2,D. Prescott QB - DAL ,11.22,A. Mattison RB - MIN ,18.40,J. Williams RB - DEN ,23.80,C. Godwin WR - TB IR ,15.20,J. Jefferson WR - MIN ,24.60,T. Kelce TE - KC ,2.70,E. Mitchell RB - SF ,14.40,G. Joseph K - MIN ,9.00,Dolphins DEF ,9.00,D. Adams WR - LV ,0.00,E. Elliott RB - DAL ,4.70,D. Cook RB - MIN ,0.00,D. Henderson RB - LA ,0.00,T. Pollard RB - DAL ,13.40,M. Pittman WR - IND ,11.00,-,-,-,-,128.32,Juschka,110.62
Erik,1,M. Stafford QB - LA ,24.00,A. Gibson RB - WAS ,17.10,N. Harris RB - PIT ,10.70,K. Allen WR - LAC ,17.40,B. Aiyuk WR - SF ,5.50,T. Hockenson TE - DET IR ,10.90,T. Lockett WR - SEA ,12.80,M. Gay K - LA ,13.00,Bills DEF ,3.00,A. Brown WR ,0.00,D. Freeman RB - BAL ,15.70,D. Hilliard RB - TEN ,0.00,T. Higgins WR - CIN ,19.80,J. Hurts QB - PHI ,0.00,C. Hubbard RB - CAR ,0.00,C. Edmonds RB - MIA ,0.00,A. Brown WR - PHI ,0.00,114.40,Simi,84.06
Ritz,3,T. Brady QB - TB ,28.62,S. Barkley RB - NYG ,7.40,J. Taylor RB - IND ,24.30,A. Thielen WR - MIN IR ,0.00,T. Hill WR - MIA ,2.20,R. Gronkowski TE - TB ,17.80,J. Jacobs RB - LV ,15.00,T. Bass K - BUF ,4.00,Colts DEF ,18.00,A. Rodgers QB - GB ,0.00,A. Cooper WR - CLE ,4.10,M. Sanders RB - PHI ,14.20,D. Swift RB - DET ,0.00,J. Waddle WR - MIA ,9.00,Patriots DEF ,8.00,-,-,-,-,117.32,Marv,60.50
Marv,6,J. Allen QB - BUF ,11.70,L. Fournette RB - TB ,15.20,J. Mixon RB - CIN ,9.40,K. Bourne WR - NE ,0.30,J. Chase WR - CIN ,5.20,K. Pitts TE - ATL ,4.80,M. Gaskin RB - MIA ,4.90,E. McPherson K - CIN ,4.00,Eagles DEF ,5.00,O. Beckham WR - LA O ,8.80,B. Cooks WR - HOU ,5.40,K. Hunt RB - CLE ,0.00,K. Golladay WR - NYG ,3.70,M. Gesicki TE - MIA ,4.60,C. Edwards-Helaire RB - KC ,8.20,-,-,-,-,60.50,Ritz,117.32
Simi,7,P. Mahomes QB - KC ,12.56,C. Patterson RB - ATL ,9.60,J. Williams RB - DET ,8.00,H. Renfrow WR - LV ,10.20,C. Lamb WR - DAL ,12.20,M. Andrews TE - BAL ,5.00,D. Smith WR - PHI ,1.50,C. Boswell K - PIT ,8.00,Cowboys DEF ,17.00,R. Wilson QB - DEN ,16.74,M. Gordon RB - DEN ,0.00,D. Schultz TE - DAL ,4.30,N. Chubb RB - CLE ,0.00,D. Samuel WR - SF ,0.00,R. Stevenson RB - NE ,7.80,C. Ridley WR - ATL NFI-R ,0.00,-,-,84.06,Erik,114.40
Tommy,5,J. Herbert QB - LAC ,25.28,D. Montgomery RB - CHI ,20.10,J. Robinson RB - JAX IR ,1.50,D. Hopkins WR - ARI IR ,9.20,M. Evans WR - TB ,9.90,G. Kittle TE - SF ,30.60,M. Ingram RB - NO ,2.60,R. Gould K - SF ,7.00,Rams DEF ,10.00,A. Kamara RB - NO ,0.00,M. Williams WR - LAC ,11.00,D. Moore WR - CAR ,0.00,D. Mooney WR - CHI ,2.70,J. Jeudy WR - DEN ,7.70,C. Claypool WR - PIT ,5.40,J. Jones WR - TEN ,0.00,-,-,116.18,Kessi,113.42
Juschka,8,L. Jackson QB - BAL ,17.62,A. Ekeler RB - LAC ,12.40,D. Williams RB - KC ,8.00,S. Diggs WR - BUF ,5.10,D. Johnson WR - PIT ,22.50,D. Goedert TE - PHI ,22.50,M. Brown WR - ARI ,5.50,N. Folk K - NE ,6.00,Buccaneers DEF ,11.00,R. Tannehill QB - TEN ,0.00,Z. Ertz TE - ARI ,1.00,A. Jones RB - GB ,0.00,A. Dillon RB - GB ,0.00,K. Herbert RB - CHI ,2.70,K. Gainwell RB - PHI ,14.70,-,-,-,-,110.62,Benni,128.32
Kessi,4,K. Murray QB - ARI ,30.82,J. Conner RB - ARI ,17.10,D. Harris RB - NE ,17.10,C. Kupp WR - LA ,18.90,T. McLaurin WR - WAS ,2.20,N. Fant TE - SEA ,3.30,D. Metcalf WR - SEA ,6.00,J. Tucker K - BAL ,7.00,Cardinals DEF ,11.00,J. Landry WR - CLE ,0.00,D. Waller TE - LV ,0.00,K. Drake RB - LV ,0.80,J. McKissic RB - WAS IR ,0.00,D. Foreman RB - CAR ,0.00,M. Breida RB - NYG ,0.80,D. Henry RB - TEN ,0.00,-,-,113.42,Tommy,116.18
