Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Benni,3,D. Prescott QB - DAL ,2.64,M. Ingram RB - NO ,9.30,D. Cook RB - MIN ,19.50,D. Adams WR - LV ,23.50,J. Jefferson WR - MIN ,29.20,T. Kelce TE - KC ,13.80,E. Elliott RB - DAL ,6.80,G. Zuerlein K - NYJ ,9.00,Browns DEF ,8.00,C. Godwin WR - TB IR ,13.20,D. Henderson RB - LA ,0.00,A. Mattison RB - MIN ,0.50,M. Pittman WR - IND ,2.30,J. Williams RB - DEN ,0.00,E. Mitchell RB - SF ,0.00,-,-,121.74,Simi,78.60
Erik,1,J. Hurts QB - PHI ,30.78,C. McCaffrey RB - CAR IR ,17.90,J. Wilson RB - SF ,5.80,K. Allen WR - LAC ,11.20,A. Brown WR - PHI ,4.80,T. Hockenson TE - DET IR ,5.10,N. Harris RB - PIT ,11.90,H. Butker K - KC ,9.00,Bills DEF ,-4.00,M. Stafford QB - LA ,0.00,A. Brown WR ,0.00,Z. Moss RB - BUF ,0.50,T. Higgins WR - CIN ,1.50,A. Gibson RB - WAS ,7.50,M. Gay K - LA ,0.00,C. Edmonds RB - MIA ,0.00,92.48,Kessi,68.90
Ritz,6,A. Rodgers QB - GB ,33.50,D. Swift RB - DET ,19.60,J. Taylor RB - IND ,50.40,A. Thielen WR - MIN IR ,14.20,T. Hill WR - MIA ,11.00,D. Knox TE - BUF ,8.00,M. Carter RB - NYJ ,6.50,T. Bass K - BUF ,1.00,Patriots DEF ,28.00,R. Gronkowski TE - TB ,7.10,T. Brady QB - TB ,19.28,S. Barkley RB - NYG ,5.60,J. Jacobs RB - LV ,6.10,M. Sanders RB - PHI ,7.40,J. Waddle WR - MIA ,12.60,A. Cooper WR - CLE ,0.00,172.20,Juschka,120.62
Marv,5,J. Allen QB - BUF ,16.16,L. Fournette RB - TB ,7.40,J. Mixon RB - CIN ,24.30,B. Cooks WR - HOU ,1.80,J. Chase WR - CIN ,10.00,K. Pitts TE - ATL ,2.90,M. Gaskin RB - MIA ,15.60,M. Prater K - ARI ,7.00,Saints DEF ,4.00,E. Sanders WR - BUF ,2.60,S. Shepard WR - NYG IR ,0.00,D. Foreman RB - CAR ,4.00,K. Golladay WR - NYG ,1.20,M. Gesicki TE - MIA ,5.00,C. Edwards-Helaire RB - KC ,13.60,K. Hunt RB - CLE ,0.00,89.16,Tommy,109.88
Simi,8,P. Mahomes QB - KC ,7.50,N. Chubb RB - CLE ,20.40,R. Stevenson RB - NE ,7.50,D. Samuel WR - SF ,15.40,C. Lamb WR - DAL ,1.40,M. Andrews TE - BAL ,7.30,D. Smith WR - PHI ,6.10,C. Boswell K - PIT ,13.00,Titans DEF ,0.00,R. Wilson QB - DEN ,8.48,C. Patterson RB - ATL ,0.00,M. Gordon RB - DEN ,0.00,D. Schultz TE - DAL ,5.30,C. Sutton WR - DEN ,0.00,Cowboys DEF ,8.00,C. Ridley WR - ATL NFI-R ,0.00,78.60,Benni,121.74
Tommy,4,J. Herbert QB - LAC ,34.28,D. Montgomery RB - CHI ,6.70,J. Robinson RB - JAX IR ,9.80,M. Evans WR - TB ,14.30,D. Moore WR - CAR ,11.00,G. Kittle TE - SF ,9.40,A. Peterson RB - SEA O ,4.40,G. Joseph K - MIN ,10.00,Colts DEF ,10.00,D. Hopkins WR - ARI IR ,0.00,D. Booker RB - NYG ,2.00,A. Kamara RB - NO ,0.00,M. Williams WR - LAC ,15.70,J. Jeudy WR - DEN ,0.00,C. Claypool WR - PIT ,9.40,J. Jones WR - TEN ,0.00,109.88,Marv,89.16
Juschka,7,R. Tannehill QB - TEN ,9.22,D. Williams RB - KC ,2.60,A. Dillon RB - GB ,9.70,S. Diggs WR - BUF ,14.30,D. Johnson WR - PIT ,16.10,D. Goedert TE - PHI ,6.20,A. Ekeler RB - LAC ,35.50,N. Folk K - NE ,15.00,Buccaneers DEF ,12.00,Z. Ertz TE - ARI ,20.80,A. Jones RB - GB ,0.00,L. Jackson QB - BAL ,0.00,M. Brown WR - ARI ,0.00,K. Herbert RB - CHI ,0.00,K. Gainwell RB - PHI ,0.00,-,-,120.62,Ritz,172.20
Kessi,2,D. Carr QB - LV ,8.60,J. Conner RB - ARI ,15.90,D. Harris RB - NE ,6.50,C. Beasley WR - BUF ,2.30,D. Metcalf WR - SEA ,3.10,D. Waller TE - LV ,11.60,K. Drake RB - LV ,2.90,J. Tucker K - BAL ,10.00,Cardinals DEF ,8.00,J. Landry WR - CLE ,10.20,J. McKissic RB - WAS IR ,5.00,C. Kupp WR - LA ,0.00,K. Murray QB - ARI ,0.00,N. Fant TE - SEA ,0.00,T. McLaurin WR - WAS ,16.30,D. Henry RB - TEN ,0.00,68.90,Erik,92.48
