Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Benni,2,D. Prescott QB - DAL ,10.58,D. Cook RB - MIN ,9.10,J. Williams RB - DEN ,8.10,D. Adams WR - LV ,10.40,J. Jefferson WR - MIN ,10.70,T. Kelce TE - KC ,31.10,C. Godwin WR - TB IR ,4.90,H. Butker K - KC ,8.00,Dolphins DEF ,9.00,E. Elliott RB - DAL ,13.20,T. Hill QB - NO ,9.46,D. Henderson RB - LA ,2.70,T. Pollard RB - DAL ,8.70,E. Mitchell RB - SF ,0.00,Chiefs DEF ,3.00,A. Mattison RB - MIN ,0.00,J. Waddle WR - MIA ,0.00,101.88,Tommy,73.84
Erik,1,J. Hurts QB - PHI ,27.64,A. Gibson RB - WAS ,12.50,N. Harris RB - PIT ,2.60,K. Allen WR - LAC ,13.80,B. Aiyuk WR - SF ,3.60,D. Knox TE - BUF ,3.80,T. Higgins WR - CIN ,2.30,M. Prater K - ARI ,6.00,Bills DEF ,7.00,M. Stafford QB - LA ,15.46,D. Freeman RB - BAL ,2.40,C. Edmonds RB - MIA ,5.30,M. Carter RB - NYJ ,2.00,M. Gay K - LA ,10.00,Chargers DEF ,4.00,T. Lockett WR - SEA ,0.00,A. Brown WR - PHI ,0.00,79.24,Marv,98.30
Ritz,5,A. Rodgers QB - GB ,23.82,S. Barkley RB - NYG ,5.40,J. Taylor RB - IND ,23.00,A. Cooper WR - CLE ,0.80,T. Hill WR - MIA ,20.80,R. Gronkowski TE - TB ,2.90,J. Jacobs RB - LV ,9.40,T. Bass K - BUF ,7.00,Packers DEF ,0.00,T. Brady QB - TB ,4.76,A. Thielen WR - MIN IR ,0.00,M. Sanders RB - PHI ,14.60,D. Swift RB - DET ,0.00,M. Pittman WR - IND ,0.70,Patriots DEF ,3.00,-,-,-,-,93.12,Juschka,83.18
Marv,4,J. Allen QB - BUF ,20.80,J. Mixon RB - CIN ,6.00,C. Edwards-Helaire RB - KC ,7.00,B. Cooks WR - HOU ,22.20,J. Chase WR - CIN ,0.30,M. Gesicki TE - MIA ,4.30,L. Fournette RB - TB ,6.70,E. McPherson K - CIN ,13.00,Saints DEF ,18.00,K. Cousins QB - MIN ,10.48,O. Beckham WR - LA O ,0.70,K. Golladay WR - NYG ,5.30,M. Gaskin RB - MIA ,5.40,K. Pitts TE - ATL ,7.70,K. Hunt RB - CLE ,0.00,K. Bourne WR - NE ,6.30,-,-,98.30,Erik,79.24
Simi,7,P. Mahomes QB - KC ,29.60,C. Patterson RB - ATL ,2.30,N. Chubb RB - CLE ,15.30,D. Samuel WR - SF ,14.90,C. Lamb WR - DAL ,5.00,M. Andrews TE - BAL ,25.60,R. Stevenson RB - NE ,4.00,R. Bullock K - TEN ,7.00,Cowboys DEF ,16.00,R. Wilson QB - DEN ,4.24,M. Gordon RB - DEN ,6.10,J. Williams RB - DET ,0.00,D. Schultz TE - DAL ,12.70,H. Renfrow WR - LV ,3.20,D. Smith WR - PHI ,4.00,C. Ridley WR - ATL NFI-R ,0.00,-,-,119.70,Kessi,90.18
Tommy,3,J. Herbert QB - LAC ,23.04,A. Kamara RB - NO ,3.10,D. Montgomery RB - CHI ,6.30,M. Evans WR - TB ,1.40,M. Williams WR - LAC ,4.90,G. Kittle TE - SF ,9.30,J. Robinson RB - JAX IR ,14.80,R. Gould K - SF ,7.00,Broncos DEF ,4.00,J. Jones WR - TEN ,0.00,D. Hopkins WR - ARI IR ,0.00,D. Moore WR - CAR ,6.80,D. Mooney WR - CHI ,6.60,J. Jeudy WR - DEN ,0.00,C. Claypool WR - PIT ,1.90,-,-,-,-,73.84,Benni,101.88
Juschka,8,J. Burrow QB - CIN ,12.78,A. Ekeler RB - LAC ,14.20,R. Penny RB - SEA ,4.40,S. Diggs WR - BUF ,9.50,D. Johnson WR - PIT ,4.80,D. Goedert TE - PHI ,13.50,A. Jones RB - GB ,13.00,N. Folk K - NE ,5.00,Buccaneers DEF ,6.00,L. Jackson QB - BAL ,0.00,D. Williams RB - KC ,1.20,M. Brown WR - ARI ,4.30,A. Dillon RB - GB ,9.50,V. Jefferson WR - LA ,3.30,K. Herbert RB - CHI ,3.40,-,-,-,-,83.18,Ritz,93.12
Kessi,6,K. Murray QB - ARI ,12.58,J. Conner RB - ARI ,7.00,D. Foreman RB - CAR ,13.50,C. Kupp WR - LA ,25.70,D. Metcalf WR - SEA ,5.20,N. Fant TE - SEA ,5.70,S. Michel RB - LA ,11.50,J. Tucker K - BAL ,6.00,Cardinals DEF ,3.00,J. Landry WR - CLE ,0.00,D. Waller TE - LV ,0.00,J. McKissic RB - WAS IR ,0.00,J. Wilson RB - SF ,17.90,D. Harris RB - NE ,0.00,T. McLaurin WR - WAS ,5.10,K. Drake RB - LV ,0.00,D. Henry RB - TEN ,0.00,90.18,Simi,119.70
