Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Benni,2,D. Prescott QB - DAL ,31.30,A. Mattison RB - MIN ,13.00,J. Williams RB - DEN ,8.00,D. Adams WR - LV ,23.40,J. Jefferson WR - MIN ,11.60,J. Cook TE - LAC ,6.40,E. Elliott RB - DAL ,16.20,G. Zuerlein K - NYJ ,8.00,Chiefs DEF ,12.00,Dolphins DEF ,25.00,D. Cook RB - MIN ,0.00,-,-,-,-,-,-,-,-,-,-,-,-,129.90,Marv,118.46
Erik,1,M. Stafford QB - LA ,6.68,R. Jones RB - KC ,14.10,N. Harris RB - PIT ,11.00,K. Allen WR - LAC ,3.50,B. Aiyuk WR - SF ,10.00,D. Knox TE - BUF ,7.10,T. Lockett WR - SEA ,3.00,M. Gay K - LA ,12.00,Chargers DEF ,-3.00,D. Freeman RB - BAL ,8.00,A. Brown WR - PHI ,20.50,T. Higgins WR - CIN ,31.40,J. Hurts QB - PHI ,16.66,A. Gibson RB - WAS ,11.80,M. Carter RB - NYJ ,12.40,-,-,-,-,64.38,Tommy,61.94
Ritz,5,A. Rodgers QB - GB ,19.98,S. Barkley RB - NYG ,2.80,J. Taylor RB - IND ,10.80,T. Hill WR - MIA ,1.90,M. Pittman WR - IND ,8.50,R. Gronkowski TE - TB ,2.30,M. Sanders RB - PHI ,4.80,R. Succop K - TB ,14.00,Patriots DEF ,-1.00,T. Brady QB - TB ,14.38,A. Thielen WR - MIN IR ,4.00,A. Cooper WR - CLE ,14.50,J. Jacobs RB - LV ,10.40,D. Swift RB - DET ,0.00,Packers DEF ,13.00,-,-,-,-,64.08,Simi,128.02
Marv,4,J. Allen QB - BUF ,30.96,J. Mixon RB - CIN ,25.50,C. Edwards-Helaire RB - KC ,9.10,O. Beckham WR - LA O ,9.70,J. Chase WR - CIN ,12.50,K. Pitts TE - ATL ,10.20,M. Davis RB - ATL ,3.50,E. McPherson K - CIN ,11.00,Saints DEF ,6.00,K. Cousins QB - MIN ,16.30,B. Cooks WR - HOU ,0.00,L. Fournette RB - TB ,0.00,K. Golladay WR - NYG ,2.20,M. Gesicki TE - MIA ,2.20,M. Gaskin RB - MIA ,1.60,K. Hunt RB - CLE ,0.00,K. Bourne WR - NE ,3.30,118.46,Benni,129.90
Simi,7,P. Mahomes QB - KC ,22.32,C. Patterson RB - ATL ,7.30,N. Chubb RB - CLE ,24.40,D. Samuel WR - SF ,19.10,C. Lamb WR - DAL ,6.40,M. Andrews TE - BAL ,18.50,M. Gordon RB - DEN ,0.00,R. Bullock K - TEN ,8.00,Cowboys DEF ,22.00,R. Wilson QB - DEN ,16.54,J. Williams RB - DET ,7.70,D. Schultz TE - DAL ,14.20,H. Renfrow WR - LV ,10.00,R. Stevenson RB - NE ,0.00,D. Smith WR - PHI ,14.00,C. Ridley WR - ATL NFI-R ,0.00,-,-,128.02,Ritz,64.08
Tommy,3,J. Herbert QB - LAC ,16.94,A. Kamara RB - NO ,5.90,D. Montgomery RB - CHI ,16.60,D. Moore WR - CAR ,5.50,D. Mooney WR - CHI ,5.90,G. Kittle TE - SF ,2.10,J. Robinson RB - JAX IR ,1.00,R. Gould K - SF ,5.00,Colts DEF ,3.00,J. Jones WR - TEN ,0.70,D. Hopkins WR - ARI IR ,0.00,M. Evans WR - TB ,0.00,M. Williams WR - LAC ,0.00,J. Jeudy WR - DEN ,6.00,C. Claypool WR - PIT ,4.10,-,-,-,-,61.94,Erik,64.38
Juschka,8,J. Burrow QB - CIN ,38.10,A. Jones RB - GB ,8.70,J. Jackson RB - LAC ,26.20,S. Diggs WR - BUF ,14.50,D. Johnson WR - PIT ,9.10,D. Goedert TE - PHI ,2.80,A. St. Brown WR - DET ,17.00,N. Folk K - NE ,3.00,Buccaneers DEF ,16.00,L. Jackson QB - BAL ,0.00,R. Penny RB - SEA ,19.50,M. Brown WR - ARI ,4.40,D. Singletary RB - BUF ,13.80,V. Jefferson WR - LA ,0.60,A. Ekeler RB - LAC ,0.00,-,-,-,-,135.40,Kessi,107.80
Kessi,6,K. Murray QB - ARI ,21.90,D. Foreman RB - CAR ,7.70,D. Harris RB - NE ,28.30,C. Kupp WR - LA ,11.30,D. Metcalf WR - SEA ,10.10,N. Fant TE - SEA ,3.00,S. Michel RB - LA ,19.50,J. Tucker K - BAL ,3.00,Cardinals DEF ,3.00,J. Landry WR - CLE ,5.50,D. Waller TE - LV ,0.00,J. McKissic RB - WAS IR ,0.00,J. Conner RB - ARI ,0.00,J. Wilson RB - SF ,11.70,T. McLaurin WR - WAS ,4.00,K. Drake RB - LV ,0.00,D. Henry RB - TEN ,0.00,107.80,Juschka,135.40
