Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Benni,2,D. Prescott QB - DAL ,27.02,E. Elliott RB - DAL ,20.30,D. Cook RB - MIN ,4.40,D. Adams WR - LV ,6.40,J. Jefferson WR - MIN ,14.40,K. Pitts TE - ATL ,5.00,C. Godwin WR - TB IR ,5.50,M. Gay K - LA ,8.00,Saints DEF ,2.00,A. Robinson WR - LA ,6.30,K. Hunt RB - CLE ,14.60,D. Henderson RB - LA ,11.60,A. Mattison RB - MIN ,2.00,J. Williams RB - DEN ,5.90,Rams DEF ,-1.00,-,-,-,-,93.02,Simi,76.52
Erik,5,M. Stafford QB - LA ,19.30,A. Gibson RB - WAS ,13.50,N. Harris RB - PIT ,15.10,K. Allen WR - LAC ,3.60,B. Cooks WR - HOU ,4.70,T. Hockenson TE - DET IR ,4.20,Z. Moss RB - BUF ,12.10,M. Prater K - ARI ,15.00,Bills DEF ,23.00,A. Brown WR ,6.30,R. Woods WR - TEN IR ,10.80,M. Davis RB - ATL ,8.60,C. McCaffrey RB - CAR IR ,0.00,C. Edmonds RB - MIA ,13.90,J. Hurts QB - PHI ,28.18,M. Thomas WR - NO PUP ,0.00,-,-,110.50,Kessi,119.12
Ritz,3,T. Brady QB - TB ,11.06,S. Barkley RB - NYG ,24.60,D. Swift RB - DET ,4.90,T. Hill WR - MIA ,36.60,J. Chase WR - CIN ,7.70,D. Knox TE - BUF ,15.70,A. Cooper WR - CLE ,12.90,H. Butker K - KC ,6.00,Colts DEF ,8.00,A. Rodgers QB - GB ,24.12,A. Thielen WR - MIN IR ,4.60,T. Lockett WR - SEA ,2.40,J. Jacobs RB - LV ,5.70,M. Sanders RB - PHI ,4.70,C. Hubbard RB - CAR ,7.10,-,-,-,-,127.46,Juschka,120.04
Marv,8,J. Allen QB - BUF ,20.02,J. Mixon RB - CIN ,12.70,J. Taylor RB - IND ,17.40,K. Golladay WR - NYG ,11.60,J. Waddle WR - MIA ,3.30,T. Kelce TE - KC ,2.30,C. Edwards-Helaire RB - KC ,17.40,A. Rosas K - DET ,3.00,Panthers DEF ,-4.00,S. Shepard WR - NYG IR ,0.00,L. Fournette RB - TB ,13.90,J. Smith-Schuster WR - KC ,1.10,S. Michel RB - LA ,-0.90,A. Brown WR - PHI ,0.00,M. Gaskin RB - MIA ,0.30,W. Lutz K - NO IR ,0.00,-,-,83.72,Tommy,96.68
Simi,6,P. Mahomes QB - KC ,31.72,M. Gordon RB - DEN ,6.70,N. Chubb RB - CLE ,10.50,C. Ridley WR - ATL NFI-R ,8.00,C. Lamb WR - DAL ,1.30,M. Andrews TE - BAL ,6.70,D. Singletary RB - BUF ,8.60,D. Carlson K - LV ,2.00,Bengals DEF ,1.00,R. Wilson QB - DEN ,22.56,C. Patterson RB - ATL ,29.60,O. Beckham WR - LA O ,3.10,J. Williams RB - DET ,6.60,C. Sutton WR - DEN ,4.70,D. Samuel WR - SF ,27.70,-,-,-,-,76.52,Benni,93.02
Tommy,7,J. Herbert QB - LAC ,21.28,A. Kamara RB - NO ,12.00,D. Montgomery RB - CHI ,22.60,D. Hopkins WR - ARI IR ,6.70,M. Evans WR - TB ,7.50,G. Kittle TE - SF ,4.00,J. Robinson RB - JAX IR ,19.60,G. Joseph K - MIN ,1.00,49ers DEF ,2.00,J. Jones WR - TEN ,0.00,M. Ingram RB - NO ,2.40,M. Jones WR - JAX ,2.40,M. Williams WR - LAC ,1.10,D. Moore WR - CAR ,23.90,C. Claypool WR - PIT ,0.00,J. Landry WR - CLE ,0.00,J. Jeudy WR - DEN ,0.00,96.68,Marv,83.72
Juschka,4,L. Jackson QB - BAL ,19.44,A. Jones RB - GB ,7.90,A. Ekeler RB - LAC ,26.50,S. Diggs WR - BUF ,11.40,M. Brown WR - ARI ,15.10,D. Goedert TE - PHI ,11.60,C. Carson RB - SEA IR ,3.10,T. Bass K - BUF ,16.00,Buccaneers DEF ,9.00,T. Patrick WR - DEN ,3.90,N. Hines RB - IND ,-0.90,D. Chark WR - DET IR ,0.00,D. Johnson WR - PIT ,15.20,T. Williams RB - BAL ,0.00,R. Moore WR - ARI ,3.70,C. Samuel WR - WAS ,1.90,-,-,120.04,Ritz,127.46
Kessi,1,K. Murray QB - ARI ,22.62,D. Henry RB - TEN ,23.70,D. Harris RB - NE ,2.60,T. McLaurin WR - WAS ,24.30,D. Metcalf WR - SEA ,12.50,D. Waller TE - LV ,11.00,C. Kupp WR - LA ,6.40,J. Tucker K - BAL ,11.00,Cardinals DEF ,5.00,W. Fuller WR - MIA IR ,0.60,N. Fant TE - SEA ,10.60,T. Pollard RB - DAL ,6.70,T. Higgins WR - CIN ,0.00,M. Jones QB - NE ,16.90,E. Mitchell RB - SF ,0.00,-,-,-,-,119.12,Erik,110.50
