Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Benni,2,D. Prescott QB - DAL ,9.94,E. Elliott RB - DAL ,8.00,D. Cook RB - MIN ,34.20,D. Adams WR - LV ,24.10,J. Jefferson WR - MIN ,13.50,T. Kelce TE - KC ,2.70,J. Williams RB - DEN ,20.30,H. Butker K - KC ,14.00,Chiefs DEF ,24.00,C. Godwin WR - TB IR ,10.50,A. Mattison RB - MIN ,2.70,T. Pollard RB - DAL ,0.00,J. Waddle WR - MIA ,0.00,E. Mitchell RB - SF ,0.00,Dolphins DEF ,0.00,D. Henderson RB - LA ,0.00,-,-,150.74,Kessi,97.82
Erik,1,M. Stafford QB - LA ,23.48,A. Gibson RB - WAS ,2.10,N. Harris RB - PIT ,22.40,T. Lockett WR - SEA ,22.20,T. Higgins WR - CIN ,11.40,D. Knox TE - BUF ,12.00,C. Hubbard RB - CAR ,9.30,M. Gay K - LA ,14.00,Chargers DEF ,6.00,K. Allen WR - LAC ,0.00,D. Freeman RB - BAL ,7.20,T. Hockenson TE - DET IR ,0.00,J. Hurts QB - PHI ,0.00,B. Aiyuk WR - SF ,12.60,Bills DEF ,1.00,C. Edmonds RB - MIA ,0.00,A. Brown WR - PHI ,0.00,122.88,Juschka,65.48
Ritz,5,A. Rodgers QB - GB ,29.64,S. Barkley RB - NYG ,15.50,J. Jacobs RB - LV ,5.00,T. Hill WR - MIA ,7.60,K. Osborn WR - MIN ,14.30,R. Gronkowski TE - TB ,6.20,A. Cooper WR - CLE ,11.10,T. Bass K - BUF ,9.00,Packers DEF ,13.00,T. Brady QB - TB ,30.12,A. Thielen WR - MIN IR ,0.00,M. Sanders RB - PHI ,0.00,D. Swift RB - DET ,0.00,J. Taylor RB - IND ,0.00,Patriots DEF ,0.00,-,-,-,-,111.34,Tommy,111.50
Marv,4,J. Allen QB - BUF ,35.22,L. Fournette RB - TB ,19.20,J. Mixon RB - CIN ,6.80,J. Chase WR - CIN ,20.30,--empty--,-,K. Pitts TE - ATL ,6.10,C. Edwards-Helaire RB - KC ,16.20,E. McPherson K - CIN ,11.00,Saints DEF ,7.00,O. Beckham WR - LA O ,13.70,B. Cooks WR - HOU ,10.10,K. Hunt RB - CLE ,1.80,K. Golladay WR - NYG ,1.50,K. Bourne WR - NE ,0.00,M. Gesicki TE - MIA ,0.00,M. Gaskin RB - MIA ,0.00,-,-,121.82,Simi,120.82
Simi,7,P. Mahomes QB - KC ,20.32,C. Patterson RB - ATL ,11.90,N. Chubb RB - CLE ,6.50,D. Samuel WR - SF ,11.90,C. Lamb WR - DAL ,7.60,M. Andrews TE - BAL ,17.50,M. Gordon RB - DEN ,23.10,C. Boswell K - PIT ,2.00,Cowboys DEF ,20.00,R. Wilson QB - DEN ,21.20,J. Williams RB - DET ,0.00,D. Schultz TE - DAL ,0.40,H. Renfrow WR - LV ,15.70,R. Stevenson RB - NE ,0.00,D. Smith WR - PHI ,0.00,C. Ridley WR - ATL NFI-R ,0.00,-,-,120.82,Marv,121.82
Tommy,3,J. Herbert QB - LAC ,24.90,D. Montgomery RB - CHI ,8.10,J. Robinson RB - JAX IR ,0.40,D. Hopkins WR - ARI IR ,5.40,M. Evans WR - TB ,15.10,G. Kittle TE - SF ,21.10,A. Kamara RB - NO ,20.50,R. Gould K - SF ,8.00,Rams DEF ,8.00,M. Ingram RB - NO ,0.00,M. Williams WR - LAC ,6.10,D. Moore WR - CAR ,8.40,D. Mooney WR - CHI ,1.90,J. Jeudy WR - DEN ,4.70,C. Claypool WR - PIT ,9.50,J. Jones WR - TEN ,3.30,-,-,111.50,Ritz,111.34
Juschka,8,L. Jackson QB - BAL ,1.18,A. Ekeler RB - LAC ,14.40,D. Williams RB - KC ,9.90,S. Diggs WR - BUF ,7.40,D. Johnson WR - PIT ,10.30,Z. Ertz TE - ARI ,4.20,M. Brown WR - ARI ,4.10,M. Crosby K - GB ,9.00,Buccaneers DEF ,5.00,A. Jones RB - GB ,18.50,D. Goedert TE - PHI ,0.00,A. Dillon RB - GB ,7.10,K. Herbert RB - CHI ,0.30,K. Gainwell RB - PHI ,0.00,N. Folk K - NE ,0.00,-,-,-,-,65.48,Erik,122.88
Kessi,6,K. Murray QB - ARI ,17.42,J. Conner RB - ARI ,24.50,D. Foreman RB - CAR ,12.20,C. Kupp WR - LA ,18.30,T. McLaurin WR - WAS ,0.00,N. Fant TE - SEA ,5.10,D. Metcalf WR - SEA ,4.30,J. Tucker K - BAL ,14.00,Cardinals DEF ,2.00,J. Landry WR - CLE ,10.10,D. Waller TE - LV ,0.00,J. McKissic RB - WAS IR ,0.00,S. Michel RB - LA ,7.90,J. Wilson RB - SF ,5.60,D. Harris RB - NE ,0.00,K. Drake RB - LV ,0.00,D. Henry RB - TEN ,0.00,97.82,Benni,150.74
