Season,Week,Points.11,TE,BN.1,RB,Points.1,WR.1,K,BN.4,Points.14,Points.20,BN.13,BN.3,Opponent Total,Points.10,BN.10,Points.7,Points.18,Total,Points.5,WR,Rank,Points.8,BN.5,Points.16,BN.7,Points.17,Points.15,Points.21,Points.22,Owner,BN.9,RES.1,BN.11,Points.3,BN,Points,Points.13,BN.2,Points.12,Points.2,QB,Points.4,RES,Opponent,DEF,Points.9,BN.6,BN.8,Points.19,W/R,RB.1,BN.12,Points.6
2024,13,5.3,T. McBride TE - ARI,M. Harrison WR - ARI,J. Mixon RB - HOU,17.9,P. Nacua WR - LAR,J. Bates K - DET,A. Cooper WR,0.0,,,G. Edwards RB,119.72,12.0,,13.4,,105.5,9.6,G. Pickens WR - DAL,4,6.0,J. Downs WR - IND,,,,,,,Erik,,,,13.4,K. Murray QB - ARI,10.2,1.2,A. Abdullah RB - IND,3.3,16.0,B. Mayfield QB - TB,12.3,,Marv,Chiefs DEF,15.2,,,,C. McCaffrey RB - SF,C. Brown RB - CIN,,6.7
2024,13,7.8,D. Goedert TE - PHI,N. Chubb RB - HOU,J. Cook RB - BUF,18.0,A. Brown WR - PHI,K. Fairbairn K - HOU,K. Hunt RB - KC,0.0,,,Z. Flowers WR - BAL,105.5,10.5,,13.3,,119.72,9.5,D. Adams WR - LAR,1,6.0,J. Dobbins RB - DEN,,,,,,,Marv,,,,12.6,B. Nix QB - DEN,28.42,1.5,R. White RB - TB,7.1,6.0,J. Allen QB - BUF,6.6,,Erik,Lions DEF,12.16,,,,T. McLaurin WR - WAS,B. Hall RB - NYJ,,19.3
2024,14,9.9,D. Njoku TE - CLE,J. Jeudy WR - CLE,J. Gibbs RB - DET,13.3,T. Higgins WR - CIN,W. Reichard K - MIN,J. Daniels QB - WAS,0.0,,,J. Williams WR - DET,76.96,12.4,,6.0,,93.32,10.2,C. Ridley WR - TEN,7,-1.0,Ravens DEF,,,,0.0,,,Benni,,,,5.9,J. Smith-Njigba WR - SEA,24.22,0.0,M. Nabers WR - NYG,8.0,18.1,J. Hurts QB - PHI,2.3,,Tommy,Cardinals DEF,14.6,Broncos DEF,,,T. Tracy RB - NYG,B. Robinson RB - ATL,,14.3
2024,14,4.5,B. Bowers TE - LV,D. Smith WR - PHI,S. Barkley RB - PHI,14.4,K. Allen WR - LAC,C. Dicker K - LAC,N. Collins WR - HOU,0.0,,,L. Jackson QB - BAL,93.32,9.7,,5.7,,76.96,5.2,A. St. Brown WR - DET,8,7.0,T. Dell WR - HOU,,,,,,,Tommy,,,,5.3,R. Dowdle RB - CAR,14.06,0.0,T. Kelce TE - KC,0.0,14.4,C. Williams QB - CHI,3.0,,Benni,Seahawks DEF,14.1,,,,A. Kamara RB - NO,A. Jones RB - MIN,,7.9
2024,14,1.9,G. Kittle TE - SF,M. Valdes-Scantling WR - SF,D. Montgomery RB - DET,14.4,C. Kupp WR - SEA,B. Aubrey K - DAL,C. Sutton WR - DEN,0.0,,,Z. Ertz TE - WAS,114.02,5.1,,10.2,,127.8,15.1,J. Chase WR - CIN,2,4.0,J. Taylor RB - IND,,,,0.0,,,Kessi,,,,31.1,J. Waddle WR - MIA,14.1,0.0,T. Benson RB - ARI,0.0,11.3,P. Mahomes QB - KC,15.2,,Simi,Eagles DEF,11.9,C. Olave WR - NO,,,T. Pollard RB - TEN,N. Harris RB - LAC,,12.4
2024,14,0.0,J. Smith TE - PIT,D. Samuel WR - WAS,J. Jacobs RB - GB,24.6,M. Evans WR - TB,C. Boswell K - PIT,J. Williams RB - DAL,0.0,,,D. Henry RB - BAL,127.8,3.5,,11.4,,114.02,10.4,C. Lamb WR - DAL,4,10.0,R. Stevenson RB - NE,,,,,,,Simi,,,,15.4,Vikings DEF,13.72,0.0,J. Reed WR - GB,0.0,16.7,J. Herbert QB - LAC,6.9,,Kessi,Steelers DEF,7.0,,,,D. Moore WR - CHI,C. Hubbard RB - CAR,,4.9
2024,14,0.0,S. LaPorta TE - DET,I. Pacheco RB - KC,B. Irving RB - TB,1.8,T. Hill WR - MIA,J. Elliott K - PHI,K. Walker RB - SEA,-0.3,,,M. Andrews TE - BAL,138.2,6.1,,2.0,,111.26,5.4,D. Metcalf WR - PIT,5,8.0,J. Brooks RB - CAR,,,,,,,Ritz,,,,4.9,J. Addison WR - MIN,24.56,0.0,L. McConkey WR - LAC,0.0,21.7,J. Burrow QB - CIN,18.1,,Erik,Bengals DEF,31.3,,,,I. Guerendo RB - SF,K. Williams RB - LAR,,24.8
2024,14,4.0,T. McBride TE - ARI,G. Edwards RB,B. Allen RB - NYJ,8.1,P. Nacua WR - LAR,J. Bates K - DET,C. McCaffrey RB - SF,0.0,,,J. Mixon RB - HOU,111.26,9.6,,11.8,,138.2,7.0,M. Harrison WR - ARI,1,8.0,G. Pickens WR - DAL,,,,0.0,,,Erik,,,,4.9,K. Murray QB - ARI,19.0,0.0,Chiefs DEF,0.0,31.3,B. Mayfield QB - TB,29.8,,Ritz,Saints DEF,17.96,J. Downs WR - IND,,,C. Brown RB - CIN,Z. Charbonnet RB - SEA,,18.3
2024,14,7.0,C. Otton TE - TB,G. Wilson WR - NYJ,J. Conner RB - ARI,18.2,J. Jefferson WR - MIN,J. Sanders K - MIA,M. Pittman WR - IND,0.0,,,N. Westbrook-Ikhine WR - MIA,116.18,11.4,,17.8,,110.2,7.0,D. London WR - ATL,6,-4.0,B. Robinson RB - SF,,,,,,,Juschka,,,,7.0,S. Darnold QB - SEA,22.1,0.0,T. Etienne RB - JAX,1.9,12.9,B. Purdy QB - SF,25.2,,Marv,Bills DEF,34.58,,,,D. Swift RB - CHI,D. Achane RB - MIA,,4.0
2024,14,0.0,T. Hockenson TE - MIN,B. Nix QB - DEN,J. Cook RB - BUF,2.9,A. Brown WR - PHI,T. Bass K - BUF,B. Hall RB - NYJ,0.0,,,T. McLaurin WR - WAS,110.2,0.0,,6.0,,116.18,4.5,D. Adams WR - LAR,3,2.0,Z. Flowers WR - BAL,,,,,,,Marv,,,,16.9,K. Hunt RB - KC,51.88,0.0,K. Fairbairn K - HOU,0.0,4.8,J. Allen QB - BUF,4.3,,Juschka,Lions DEF,2.9,,,,R. White RB - TB,N. Chubb RB - HOU,,22.9
