Season,Week,Points.11,TE,BN.1,RB,Points.1,WR.1,K,BN.4,Points.14,Points.20,BN.13,BN.3,Opponent Total,Points.10,BN.10,Points.7,Points.18,Total,Points.5,WR,Rank,Points.8,BN.5,Points.16,BN.7,Points.17,Points.15,Points.21,Points.22,Owner,BN.9,RES.1,BN.11,Points.3,BN,Points,Points.13,BN.2,Points.12,Points.2,QB,Points.4,RES,Opponent,DEF,Points.9,BN.6,BN.8,Points.19,W/R,RB.1,BN.12,Points.6
2015,1,4.1,J. Cameron TE - MIA ,M. Stafford QB - DET ,L. McCoy RB - BUF ,8.7,O. Beckham WR - NYG ,J. Tucker K - BAL ,V. Cruz WR - NYG ,10.70,,,A. Gates TE - LAC ,118.14,13.74,,9.0,,93.5,7.3,D. Hopkins WR - HOU ,5,14.0,J. Randle RB ,,,,,,,Benni,,,,23.8,D. Jackson WR - WAS ,4.9,0.0,J. Bell RB - DET ,0.0,4.8,P. Manning QB - DEN ,4.4,,Erik,Rams DEF ,0.0,,,,K. Allen WR - LAC ,C. Anderson RB - DEN ,,16.6
2015,1,8.4,T. Kelce TE - KC ,P. Rivers QB - LAC ,J. Charles RB - KC ,16.3,A. Brown WR - PIT ,S. Gostkowski K - NE ,L. Murray RB - LV ,16.00,,,G. Bernard RB - CIN ,93.5,19.92,,4.0,,118.14,22.6,D. Thomas WR - DEN ,1,5.0,Ravens DEF ,,,,,,,Erik,,,,6.0,J. Witten TE - DAL ,22.14,8.0,R. White WR - ATL ,8.8,14.0,T. Romo QB - DAL ,19.3,,Benni,Eagles DEF ,18.0,,,,T. Hilton WR - IND ,D. Murray RB - PHI ,,8.8
2015,1,2.4,R. Gronkowski TE - NE ,A. Foster RB - HOU ,J. Forsett RB - BAL ,5.6,R. Cobb WR - GB ,M. Crosby K - GB ,A. Johnson WR - IND ,15.40,,,C. Kaepernick QB - SF ,114.14,0.0,,7.0,,73.94,27.4,J. Maclin WR - KC ,7,2.0,A. Abdullah RB - DET ,,,,,,,Ritz,,,,5.2,J. Stewart RB - CAR ,11.74,2.4,G. Tate WR - DET ,10.7,4.7,R. Tannehill QB - MIA ,9.8,,Kessi,Texans DEF ,8.1,,,,N. Agholor WR - PHI ,M. Gordon RB - LAC ,,0.5
2015,1,12.2,J. Graham TE - SEA ,C. Newton QB - CAR ,A. Morris RB - WAS ,12.1,B. Cooks WR - NO ,D. Bailey K - DAL ,J. Brown WR - ARI ,17.00,,,F. Gore RB - IND ,75.7,12.5,,9.0,,91.06,11.1,C. Johnson WR - DET ,4,4.0,Jets DEF ,,,,,,,Marv,,,,3.9,C. Spiller RB - NO ,23.06,10.6,B. Marshall WR - NYJ ,3.1,15.9,A. Rodgers QB - GB ,5.3,,Juschka,Packers DEF ,0.0,,,,J. Landry WR - MIA ,E. Lacy RB - GB ,,6.7
2015,1,2.7,M. Bennett TE - CHI ,D. Martin RB - TB ,M. Forte RB - CHI ,22.6,A. Cooper WR - LV ,C. Parkey K - PHI ,D. Green-Beckham WR - TEN ,5.00,,,T. Coleman RB - ATL ,64.72,5.4,,6.0,,99.04,11.5,A. Green WR - CIN ,3,19.0,Patriots DEF ,,,,,,,Simi,,,,6.3,M. Ryan QB - ATL ,15.14,0.0,A. Robinson WR - JAC ,8.0,7.5,R. Wilson QB - SEA ,4.7,,Tommy,Seahawks DEF ,16.62,,,,M. Wallace WR - MIN ,L. Miller RB - MIA ,,6.3
2015,1,0.0,C. Clay TE - BUF ,J. Thomas TE - JAC ,A. Peterson RB - MIN ,5.2,A. Jeffery WR - CHI ,S. Hauschka K - SEA ,T. Yeldon RB - JAC ,5.00,,,C. Hyde RB - SF ,99.04,0.0,,11.0,,64.72,4.3,D. Bryant WR - DAL ,8,9.0,Cardinals DEF ,,,,,,,Tommy,,,,4.8,J. Edelman WR - NE ,17.72,6.7,M. Bryant WR - PIT ,30.2,4.9,A. Luck QB - IND ,7.8,,Simi,Bills DEF ,10.6,,,,S. Watkins WR - BUF ,A. Blue RB - HOU ,,0.0
2015,1,4.7,C. Fleener TE - IND ,T. Smith WR - SF ,M. Ingram RB - NO ,12.2,D. Adams WR - GB ,R. Bullock K - NYJ ,C. Ivory RB - NYJ ,-,,,S. Smith WR - BAL ,91.06,1.1,,6.0,,75.7,2.5,M. Evans WR - TB ,6,10.0,-,,,,,,,Juschka,,,,0.0,R. Mathews RB - PHI ,16.5,22.0,V. Davis TE - DEN ,1.3,12.4,D. Brees QB - NO ,5.9,,Marv,Bengals DEF ,8.8,,,,J. Matthews WR - PHI ,M. Lynch RB - SEA ,,10.2
2015,1,4.6,G. Olsen TE - CAR ,T. Brady QB - NE ,A. Ellington RB - ARI ,11.6,J. Jones WR - ATL ,M. Bryant K - ATL ,T. Gurley RB - STL ,0.00,,,L. Bell RB - PIT ,73.94,27.62,,14.0,,114.14,1.1,E. Sanders WR - DEN ,2,15.0,J. Hayne RB - SF ,,,,,,,Kessi,,,,6.5,B. LaFell WR - NE ,18.04,0.0,Z. Ertz TE - PHI ,0.0,18.3,B. Roethlisberger QB - PIT ,26.1,,Ritz,Dolphins DEF ,0.0,,,,D. McFadden RB - DAL ,J. Hill RB - CIN ,,3.5
2015,2,0.0,J. Cameron TE - MIA ,P. Manning QB - DEN ,L. McCoy RB - BUF ,11.6,O. Beckham WR - NYG ,J. Tucker K - BAL ,J. Randle RB ,18.2,,,T. Williams WR - DAL ,90.96,20.24,,15.0,,86.4,6.2,D. Hopkins WR - HOU ,7,4.0,D. Moncrief WR - IND ,,,,,,,Benni,,,,5.3,J. Bell RB - DET ,21.2,6.5,A. Gates TE - LAC ,14.4,2.9,C. Palmer QB - ARI ,20.6,,Ritz,Rams DEF ,1.8,,,,K. Allen WR - LAC ,C. Anderson RB - DEN ,,-0.4
2015,2,14.14,T. Kelce TE - KC ,J. Witten TE - DAL ,J. Charles RB - KC ,14.7,A. Brown WR - PIT ,S. Gostkowski K - NE ,T. Hilton WR - IND ,8.0,,,R. White WR - ATL ,67.96,5.6,,18.0,,103.8,5.8,D. Thomas WR - DEN ,1,-1.0,Eagles DEF ,,,,,,,Erik,,,,11.6,L. Blount RB - NE ,7.0,4.5,P. Rivers QB - LAC ,0.0,5.5,T. Romo QB - DAL ,27.5,,Marv,Ravens DEF ,0.4,,,,L. Murray RB - LV ,D. Murray RB - PHI ,,14.7
2015,2,5.5,R. Gronkowski TE - NE ,A. Foster RB - HOU ,J. Forsett RB - BAL ,8.0,N. Agholor WR - PHI ,M. Crosby K - GB ,A. Johnson WR - IND ,9.8,,,C. Kaepernick QB - SF ,86.4,0.0,,15.0,,90.96,17.3,R. Cobb WR - GB ,4,4.0,M. Gordon RB - LAC ,,,,,,,Ritz,,,,11.6,J. Stewart RB - CAR ,24.06,2.7,J. Maclin WR - KC ,26.5,1.8,R. Tannehill QB - MIA ,3.1,,Benni,Texans DEF ,5.9,,,,C. Hyde RB - SF ,A. Abdullah RB - DET ,,6.1
2015,2,16.1,J. Graham TE - SEA ,C. Newton QB - CAR ,F. Gore RB - IND ,4.1,B. Cooks WR - NO ,D. Bailey K - DAL ,J. Landry WR - MIA ,14.0,,,A. Morris RB - WAS ,103.8,27.4,,8.0,,67.96,1.1,C. Johnson WR - DET ,5,7.0,Jets DEF ,,,,,,,Marv,,,,14.3,C. Spiller RB - NO ,22.26,11.6,B. Marshall WR - NYJ ,7.2,0.9,A. Rodgers QB - GB ,5.8,,Erik,Saints DEF ,2.6,,,,J. Brown WR - ARI ,E. Lacy RB - GB ,,4.5
2015,2,27.5,M. Bennett TE - CHI ,D. Martin RB - TB ,M. Forte RB - CHI ,10.5,A. Cooper WR - LV ,C. Parkey K - PHI ,D. Green-Beckham WR - TEN ,13.0,,,T. Coleman RB - ATL ,98.74,7.8,,4.0,,80.74,4.8,A. Green WR - CIN ,3,4.0,Patriots DEF ,,,,,,,Simi,,,,10.5,M. Ryan QB - ATL ,22.04,7.3,A. Robinson WR - JAC ,9.2,4.2,R. Wilson QB - SEA ,16.9,,Kessi,Seahawks DEF ,18.42,,,,M. Wallace WR - MIN ,L. Miller RB - MIA ,,3.8
2015,2,0.0,C. Clay TE - BUF ,J. Thomas TE - JAC ,A. Peterson RB - MIN ,17.2,M. Evans WR - TB ,S. Hauschka K - SEA ,T. Lockett WR - SEA ,18.0,,,A. Blue RB - HOU ,63.1,0.0,,7.0,,85.7,7.9,J. Edelman WR - NE ,6,2.0,Cardinals DEF ,,,,,,,Tommy,,,,22.9,D. Bryant WR - DAL ,8.4,1.7,A. Jeffery WR - CHI ,1.0,8.3,A. Luck QB - IND ,0.0,,Juschka,Bills DEF ,0.0,,,,S. Watkins WR - BUF ,T. Yeldon RB - JAC ,,12.0
2015,2,6.2,A. Seferian-Jenkins TE - TB ,M. Ingram RB - NO ,M. Lynch RB - SEA ,6.2,J. Matthews WR - PHI ,R. Bullock K - NYJ ,C. Fleener TE - IND ,3.3,,,S. Smith WR - BAL ,85.7,9.8,,5.0,,63.1,2.9,K. Wright WR - TEN ,8,11.0,D. Adams WR - GB ,,,,,,,Juschka,,,,1.7,R. Mathews RB - PHI ,12.1,0.0,V. Davis TE - DEN ,15.0,4.2,D. Brees QB - NO ,14.0,,Tommy,Bengals DEF ,0.0,,,,C. Ivory RB - NYJ ,B. Sankey RB - TEN ,,6.0
2015,2,4.7,T. Eifert TE - CIN ,B. Roethlisberger QB - PIT ,D. Woodhead RB - LAC ,10.4,J. Jones WR - ATL ,M. Bryant K - ATL ,L. Bell RB - PIT ,0.0,,,A. Ellington RB - ARI ,80.74,30.66,,6.0,,98.74,10.9,E. Sanders WR - DEN ,2,0.0,T. Gurley RB - STL ,,,,,,,Kessi,,,,20.7,D. McFadden RB - DAL ,28.24,0.0,L. Green TE - LAC ,0.0,0.1,T. Brady QB - NE ,13.5,,Simi,Dolphins DEF ,5.2,,,,J. Jones WR - GB ,J. Hill RB - CIN ,,8.9
2015,3,0.0,J. Cameron TE - MIA ,P. Manning QB - DEN ,L. McCoy RB - BUF ,8.6,O. Beckham WR - NYG ,J. Tucker K - BAL ,K. Allen WR - LAC ,9.2,,,T. Williams WR - DAL ,134.32,18.86,,6.0,,106.94,1.6,D. Hopkins WR - HOU ,7,11.0,D. Moncrief WR - IND ,,,,,,,Benni,,,,16.1,D. Lewis RB - NE ,18.54,25.3,A. Gates TE - LAC ,0.0,2.7,C. Palmer QB - ARI ,13.9,,Marv,Rams DEF ,12.7,,,,J. Randle RB ,C. Anderson RB - DEN ,,28.5
2015,3,0.0,T. Kelce TE - KC ,L. Blount RB - NE ,J. Charles RB - KC ,26.2,A. Brown WR - PIT ,S. Gostkowski K - NE ,P. Rivers QB - LAC ,-4.0,,,T. Romo QB - DAL ,124.0,27.2,,15.0,,144.6,10.0,D. Thomas WR - DEN ,1,16.0,Dolphins DEF ,,,,,,,Erik,,,,13.2,S. Johnson WR - LAC ,23.1,9.84,D. Murray RB - PHI ,0.0,20.9,M. Ryan QB - ATL ,10.8,,Tommy,Eagles DEF ,4.6,,,,T. Hilton WR - IND ,L. Murray RB - LV ,,9.4
2015,3,0.0,R. Gronkowski TE - NE ,A. Foster RB - HOU ,J. Forsett RB - BAL ,2.9,R. Cobb WR - GB ,M. Crosby K - GB ,A. Abdullah RB - DET ,0.0,,,R. Tannehill QB - MIA ,108.3,0.0,,8.0,,91.88,10.1,J. Maclin WR - KC ,6,6.0,N. Agholor WR - PHI ,,,,,,,Ritz,,,,20.1,J. Stewart RB - CAR ,5.28,10.2,A. Johnson WR - IND ,15.78,5.1,C. Kaepernick QB - SF ,28.3,,Simi,Texans DEF ,5.2,,,,C. Hyde RB - SF ,M. Gordon RB - LAC ,,6.1
2015,3,1.9,J. Graham TE - SEA ,C. Newton QB - CAR ,F. Gore RB - IND ,21.4,L. Fitzgerald WR - ARI ,D. Bailey K - DAL ,B. Cooks WR - NO ,3.6,,,J. Landry WR - MIA ,106.94,29.9,,4.0,,134.32,14.3,C. Johnson WR - DET ,3,3.0,I. Crowell RB - CLE ,,,,,,,Marv,,,,7.7,J. Starks RB - GB ,34.92,7.9,A. Morris RB - WAS ,8.6,8.7,A. Rodgers QB - GB ,25.4,,Benni,Jets DEF ,5.1,,,,B. Marshall WR - NYJ ,E. Lacy RB - GB ,,14.9
2015,3,6.8,M. Bennett TE - CHI ,L. Miller RB - MIA ,M. Forte RB - CHI ,7.4,A. Cooper WR - LV ,C. Parkey K - PHI ,D. Green-Beckham WR - TEN ,5.0,,,T. Coleman RB - ATL ,91.88,6.5,,6.0,,108.3,1.5,A. Green WR - CIN ,4,18.0,Patriots DEF ,,,,,,,Simi,,,,34.7,J. Witten TE - DAL ,16.2,8.2,A. Robinson WR - JAC ,0.0,4.6,R. Wilson QB - SEA ,11.4,,Ritz,Seahawks DEF ,6.5,,,,T. Benjamin WR - CLE ,D. Martin RB - TB ,,8.5
2015,3,4.9,C. Clay TE - BUF ,J. Thomas TE - JAC ,A. Peterson RB - MIN ,24.6,M. Evans WR - TB ,S. Hauschka K - SEA ,A. Blue RB - HOU ,15.0,,,A. Jeffery WR - CHI ,144.6,0.0,,14.0,,124.0,14.2,J. Edelman WR - NE ,5,28.0,Bills DEF ,,,,,,,Tommy,,,,8.5,D. Bryant WR - DAL ,16.5,19.9,M. Wallace WR - MIN ,0.0,4.2,A. Luck QB - IND ,10.1,,Erik,Cardinals DEF ,0.0,,,,S. Watkins WR - BUF ,T. Yeldon RB - JAC ,,3.9
2015,3,0.0,A. Seferian-Jenkins TE - TB ,M. Ingram RB - NO ,M. Lynch RB - SEA ,2.3,J. Matthews WR - PHI ,R. Bullock K - NYJ ,S. Smith WR - BAL ,0.0,,,D. Williams RB - PIT ,122.02,15.9,,7.0,,38.1,0.0,K. Wright WR - TEN ,8,3.0,D. Adams WR - GB ,,,,,,,Juschka,,,,16.8,R. Mathews RB - PHI ,0.0,30.6,V. Davis TE - DEN ,0.2,4.1,D. Brees QB - NO ,4.9,,Kessi,Bengals DEF ,16.8,,,,C. Ivory RB - NYJ ,B. Sankey RB - TEN ,,0.0
2015,3,25.4,T. Eifert TE - CIN ,E. Decker WR - NYJ ,L. Bell RB - PIT ,19.2,J. Jones WR - ATL ,M. Bryant K - ATL ,A. Ellington RB - ARI ,1.4,,,B. Roethlisberger QB - PIT ,38.1,0.0,,7.0,,122.02,0.0,E. Sanders WR - DEN ,2,14.0,T. Gurley RB - STL ,,,,,,,Kessi,,,,8.7,D. Woodhead RB - LAC ,22.72,0.0,G. Olsen TE - CAR ,5.68,2.1,T. Brady QB - NE ,28.4,,Juschka,Broncos DEF ,4.3,,,,J. Jones WR - GB ,J. Hill RB - CIN ,,19.9
2015,4,15.98,J. Cameron TE - MIA ,D. Lewis RB - NE ,J. Randle RB ,8.6,O. Beckham WR - NYG ,J. Tucker K - BAL ,C. Anderson RB - DEN ,7.5,,,A. Gates TE - LAC ,84.88,0.0,,13.0,,92.52,1.9,D. Hopkins WR - HOU ,8,15.0,D. Moncrief WR - IND ,,,,,,,Benni,,,,15.7,L. McCoy RB - BUF ,8.32,7.0,C. Palmer QB - ARI ,0.0,13.0,P. Manning QB - DEN ,3.8,,Simi,Packers DEF ,0.0,,,,K. Allen WR - LAC ,K. Williams RB - BUF ,,13.2
2015,4,1.6,T. Kelce TE - KC ,D. Murray RB - PHI ,J. Charles RB - KC ,14.5,A. Brown WR - PIT ,D. Carpenter K - BUF ,S. Gostkowski K - NE ,10.0,,,J. Reed TE - WAS ,102.64,4.8,,6.0,,66.84,2.9,D. Thomas WR - DEN ,2,3.0,Rams DEF ,,,,,,,Erik,,,,9.3,L. Blount RB - NE ,14.14,0.0,R. Matthews WR - MIA ,1.7,6.1,M. Ryan QB - ATL ,4.2,,Kessi,Eagles DEF ,0.0,,,,T. Hilton WR - IND ,L. Murray RB - LV ,,6.7
2015,4,10.1,T. Eifert TE - CIN ,R. Gronkowski TE - NE ,J. Forsett RB - BAL ,15.0,R. Cobb WR - GB ,M. Crosby K - GB ,N. Agholor WR - PHI ,-2.0,,,A. Johnson WR - IND ,108.16,0.0,,5.0,,83.22,6.9,J. Maclin WR - KC ,6,18.0,Texans DEF ,,,,,,,Ritz,,,,14.8,A. Foster RB - HOU ,12.32,4.4,C. Kaepernick QB - SF ,0.0,4.6,R. Tannehill QB - MIA ,4.4,,Juschka,Panthers DEF ,1.5,,,,C. Hyde RB - SF ,M. Gordon RB - LAC ,,2.2
2015,4,6.9,J. Graham TE - SEA ,A. Morris RB - WAS ,F. Gore RB - IND ,6.7,L. Fitzgerald WR - ARI ,D. Bailey K - DAL ,I. Crowell RB - CLE ,0.0,,,B. Cooks WR - NO ,61.4,6.5,,8.0,,75.46,2.9,C. Johnson WR - DET ,3,8.0,Titans DEF ,,,,,,,Marv,,,,3.6,C. Newton QB - CAR ,16.26,12.5,J. Landry WR - MIA ,2.5,9.3,A. Rodgers QB - GB ,7.9,,Tommy,Jets DEF ,16.06,,,,B. Marshall WR - NYJ ,E. Lacy RB - GB ,,12.8
2015,4,8.0,M. Bennett TE - CHI ,D. Martin RB - TB ,M. Forte RB - CHI ,13.5,A. Cooper WR - LV ,J. Brown K - NYG ,D. Green-Beckham WR - TEN ,0.0,,,T. Coleman RB - ATL ,92.52,20.3,,4.0,,84.88,14.3,A. Green WR - CIN ,4,7.0,Patriots DEF ,,,,,,,Simi,,,,8.2,J. Witten TE - DAL ,15.48,0.0,A. Robinson WR - JAC ,0.0,3.6,R. Wilson QB - SEA ,10.9,,Benni,Seahawks DEF ,5.7,,,,T. Benjamin WR - CLE ,L. Miller RB - MIA ,,7.9
2015,4,0.0,C. Clay TE - BUF ,D. Bryant WR - DAL ,A. Peterson RB - MIN ,15.4,M. Evans WR - TB ,S. Hauschka K - SEA ,A. Blue RB - HOU ,3.0,,,S. Watkins WR - BUF ,75.46,0.0,,11.0,,61.4,11.1,A. Jeffery WR - CHI ,5,1.0,Bills DEF ,,,,,,,Tommy,,,,0.0,J. Edelman WR - NE ,0.0,1.7,J. Thomas TE - JAC ,0.0,10.9,A. Luck QB - IND ,3.2,,Marv,Cardinals DEF ,0.0,,,,J. Brown WR - ARI ,T. Yeldon RB - JAC ,,8.8
2015,4,0.5,V. Davis TE - DEN ,M. Lynch RB - SEA ,M. Ingram RB - NO ,12.8,J. Matthews WR - PHI ,B. McManus K - DEN ,K. Wright WR - TEN ,0.0,,,D. Brees QB - NO ,83.22,0.0,,11.0,,108.16,0.0,S. Smith WR - BAL ,7,7.0,B. Sankey RB - TEN ,,,,,,,Juschka,,,,2.4,R. Mathews RB - PHI ,14.46,0.0,D. Williams RB - PIT ,22.36,32.9,T. Taylor QB - BUF ,5.0,,Ritz,Bengals DEF ,0.0,,,,C. Ivory RB - NYJ ,D. Freeman RB - ATL ,,22.6
2015,4,0.0,G. Olsen TE - CAR ,G. Tate WR - DET ,L. Bell RB - PIT ,21.0,J. Jones WR - ATL ,M. Bryant K - ATL ,A. Abdullah RB - DET ,16.1,,,A. Ellington RB - ARI ,66.84,3.5,,6.0,,102.64,2.8,E. Sanders WR - DEN ,1,10.0,T. Gurley RB - STL ,,,,,,,Kessi,,,,6.8,E. Decker WR - NYJ ,18.44,4.4,T. Brady QB - NE ,0.0,24.0,A. Dalton QB - CIN ,3.8,,Erik,Broncos DEF ,10.6,,,,J. Jones WR - GB ,J. Hill RB - CIN ,,9.8
2015,5,18.34,A. Gates TE - LAC ,D. Walker TE - TEN ,D. Lewis RB - NE ,15.3,O. Beckham WR - NYG ,J. Tucker K - BAL ,D. Moncrief WR - IND ,0.0,,,R. Hillman RB - DEN ,83.68,3.6,,6.0,,118.44,21.2,D. Hopkins WR - HOU ,6,21.0,K. Williams RB - BUF ,,,,,,,Benni,,,,16.9,L. McCoy RB - BUF ,6.64,0.3,C. Palmer QB - ARI ,2.6,7.4,P. Manning QB - DEN ,18.4,,Tommy,Packers DEF ,0.0,,,,K. Allen WR - LAC ,J. Randle RB ,,5.7
2015,5,2.0,T. Kelce TE - KC ,L. Blount RB - NE ,J. Charles RB - KC ,8.4,A. Brown WR - PIT ,S. Gostkowski K - NE ,T. Hilton WR - IND ,9.0,,,B. Roethlisberger QB - PIT ,106.6,7.4,,14.0,,79.76,3.5,D. Thomas WR - DEN ,2,14.0,Rams DEF ,,,,,,,Erik,,,,5.5,D. McFadden RB - DAL ,6.16,8.8,J. Thomas TE - JAC ,0.0,5.7,M. Ryan QB - ATL ,4.5,,Ritz,Eagles DEF ,7.8,,,,J. Edelman WR - NE ,L. Murray RB - LV ,,18.0
2015,5,4.0,R. Gronkowski TE - NE ,R. Tannehill QB - MIA ,J. Forsett RB - BAL ,23.0,R. Cobb WR - GB ,M. Crosby K - GB ,M. Gordon RB - LAC ,0.0,,,A. Abdullah RB - DET ,79.76,0.0,,6.0,,106.6,6.7,J. Maclin WR - KC ,5,12.0,Panthers DEF ,,,,,,,Ritz,,,,8.5,M. Floyd WR - ARI ,20.6,7.4,C. Anderson RB - DEN ,0.5,11.8,P. Rivers QB - LAC ,2.3,,Erik,Falcons DEF ,1.5,,,,C. Hyde RB - SF ,A. Foster RB - HOU ,,15.7
2015,5,0.0,J. Graham TE - SEA ,C. Newton QB - CAR ,F. Gore RB - IND ,15.8,L. Fitzgerald WR - ARI ,D. Bailey K - DAL ,J. Landry WR - MIA ,0.0,,,V. Jackson WR - TB ,132.0,0.0,,8.0,,84.04,3.0,C. Johnson WR - DET ,4,3.0,Jets DEF ,,,,,,,Marv,,,,6.7,C. Johnson RB - ARI ,15.54,0.0,B. Marshall WR - NYJ ,3.4,3.5,A. Rodgers QB - GB ,11.8,,Kessi,Ravens DEF ,10.3,,,,B. Cooks WR - NO ,E. Lacy RB - GB ,,16.7
2015,5,8.3,M. Bennett TE - CHI ,J. Witten TE - DAL ,M. Forte RB - CHI ,16.9,A. Cooper WR - LV ,J. Brown K - NYG ,D. Green-Beckham WR - TEN ,14.0,,,L. Miller RB - MIA ,83.6,1.3,,12.0,,124.42,3.2,A. Green WR - CIN ,3,14.0,Patriots DEF ,,,,,,,Simi,,,,7.8,D. Woodhead RB - LAC ,12.62,0.0,T. Benjamin WR - CLE ,0.0,33.8,R. Wilson QB - SEA ,4.9,,Juschka,Seahawks DEF ,7.6,,,,A. Robinson WR - JAC ,D. Martin RB - TB ,,19.2
2015,5,0.0,C. Clay TE - BUF ,A. Peterson RB - MIN ,D. Murray RB - PHI ,18.0,M. Evans WR - TB ,S. Hauschka K - SEA ,A. Jeffery WR - CHI ,0.0,,,A. Luck QB - IND ,118.44,0.0,,6.0,,83.68,0.7,P. Garcon WR - WAS ,7,14.0,S. Watkins WR - BUF ,,,,,,,Tommy,,,,5.1,D. Bryant WR - DAL ,10.18,0.0,R. Matthews WR - MIA ,0.0,12.3,M. Mariota QB - TEN ,4.1,,Benni,Cardinals DEF ,0.0,,,,J. Brown WR - ARI ,T. Yeldon RB - JAC ,,13.3
2015,5,0.0,R. Rodgers TE - GB ,T. Taylor QB - BUF ,M. Ingram RB - NO ,7.4,J. Matthews WR - PHI ,B. McManus K - DEN ,C. Ivory RB - NYJ ,8.8,,,S. Smith WR - BAL ,124.42,22.36,,12.0,,83.6,4.5,K. Wright WR - TEN ,8,7.0,T. Austin WR - STL ,,,,,,,Juschka,,,,3.0,R. Mathews RB - PHI ,15.3,0.0,M. Lynch RB - SEA ,0.0,25.7,D. Brees QB - NO ,4.4,,Simi,Bengals DEF ,15.6,,,,B. Sankey RB - TEN ,D. Freeman RB - ATL ,,4.3
2015,5,27.04,T. Eifert TE - CIN ,G. Tate WR - DET ,L. Bell RB - PIT ,18.7,J. Jones WR - ATL ,M. Bryant K - ATL ,A. Ellington RB - ARI ,15.9,,,G. Olsen TE - CAR ,84.04,6.2,,7.0,,132.0,21.0,E. Sanders WR - DEN ,1,20.0,T. Gurley RB - STL ,,,,,,,Kessi,,,,11.1,E. Decker WR - NYJ ,25.3,12.3,A. Dalton QB - CIN ,0.0,2.5,T. Brady QB - NE ,12.7,,Marv,Broncos DEF ,0.0,,,,J. Jones WR - GB ,J. Hill RB - CIN ,,13.7
2015,6,11.5,A. Gates TE - LAC ,E. Manning QB - NYG ,D. Lewis RB - NE ,3.9,D. Hopkins WR - HOU ,J. Tucker K - BAL ,J. Randle RB ,12.9,,,C. Michael RB - SEA ,127.18,8.76,,8.0,,100.64,9.5,K. Allen WR - LAC ,6,6.0,D. Moncrief WR - IND ,,,,,,,Benni,,,,15.7,L. McCoy RB - BUF ,16.74,0.0,R. Hillman RB - DEN ,0.0,1.9,C. Palmer QB - ARI ,26.8,,Juschka,Packers DEF ,15.4,,,,O. Beckham WR - NYG ,C. West RB - KC ,,12.1
2015,6,0.0,T. Kelce TE - KC ,J. Thomas TE - JAC ,L. Blount RB - NE ,22.4,A. Brown WR - PIT ,S. Gostkowski K - NE ,L. Murray RB - LV ,0.0,,,T. Hilton WR - IND ,86.74,13.8,,10.0,,107.8,8.8,D. Thomas WR - DEN ,2,19.0,Rams DEF ,,,,,,,Erik,,,,11.1,D. McFadden RB - DAL ,18.8,0.0,B. Roethlisberger QB - PIT ,13.4,4.1,M. Ryan QB - ATL ,2.4,,Simi,Eagles DEF ,0.0,,,,J. Edelman WR - NE ,I. Crowell RB - CLE ,,11.2
2015,6,13.3,R. Gronkowski TE - NE ,R. Tannehill QB - MIA ,J. Forsett RB - BAL ,10.1,R. Cobb WR - GB ,M. Crosby K - GB ,A. Abdullah RB - DET ,0.9,,,C. Anderson RB - DEN ,86.5,16.04,,9.0,,94.02,11.0,J. Maclin WR - KC ,4,4.0,M. Gordon RB - LAC ,,,,,,,Ritz,,,,4.8,M. Floyd WR - ARI ,28.12,6.9,G. Bernard RB - CIN ,6.6,17.2,P. Rivers QB - LAC ,3.8,,Marv,Panthers DEF ,11.0,,,,C. Hyde RB - SF ,A. Foster RB - HOU ,,6.0
2015,6,22.6,J. Graham TE - SEA ,C. Newton QB - CAR ,F. Gore RB - IND ,9.4,L. Fitzgerald WR - ARI ,C. Catanzaro K - ARI ,J. Landry WR - MIA ,3.4,,,V. Jackson WR - TB ,94.02,19.76,,7.0,,86.5,14.0,B. Marshall WR - NYJ ,5,6.0,R. Rodgers TE - GB ,,,,,,,Marv,,,,15.1,C. Johnson RB - ARI ,19.6,12.6,C. Johnson WR - DET ,0.0,2.0,A. Rodgers QB - GB ,9.3,,Ritz,Jets DEF ,4.5,,,,B. Cooks WR - NO ,E. Lacy RB - GB ,,4.1
2015,6,0.0,M. Bennett TE - CHI ,D. Martin RB - TB ,M. Forte RB - CHI ,16.9,T. Benjamin WR - CLE ,J. Brown K - NYG ,D. Johnson RB - ARI ,3.0,,,D. Green-Beckham WR - TEN ,107.8,0.0,,1.0,,86.74,5.9,A. Green WR - CIN ,3,7.0,Patriots DEF ,,,,,,,Simi,,,,3.6,J. Witten TE - DAL ,18.94,1.7,A. Cooper WR - LV ,5.7,7.1,R. Wilson QB - SEA ,11.7,,Erik,Seahawks DEF ,0.0,,,,A. Robinson WR - JAC ,D. Woodhead RB - LAC ,,14.6
2015,6,10.8,C. Clay TE - BUF ,D. Bryant WR - DAL ,D. Murray RB - PHI ,18.6,J. Brown WR - ARI ,S. Hauschka K - SEA ,M. Mariota QB - TEN ,0.0,,,M. Evans WR - TB ,100.88,0.0,,13.0,,119.58,6.2,A. Jeffery WR - CHI ,7,1.0,T. Yeldon RB - JAC ,,,,,,,Tommy,,,,20.7,D. Jackson WR - WAS ,27.98,4.76,S. Watkins WR - BUF ,0.0,5.7,A. Luck QB - IND ,17.6,,Kessi,Cardinals DEF ,0.0,,,,P. Garcon WR - WAS ,A. Peterson RB - MIN ,,8.8
