season,week,team,opponent,points_for,points_against,rank,is_playoff,matchup_key,week_team_count,week_rank,is_week_high,is_week_low,is_top_tier,is_bottom_tier,is_top_half,is_bottom_half,all_play_wins,all_play_losses,all_play_win_pct,margin,abs_margin,is_win,is_loss,is_tie,points_share,opp_points_share,is_blowout_win,is_blowout_loss,is_narrow_win,is_narrow_loss
2015,3,Juschka,Kessi,38.1,122.02,8,False,2015-3-juschka__vs__kessi,8,8,False,True,False,True,False,True,0.0,7.0,0.0,-83.91999999999999,83.91999999999999,False,True,False,0.2379465400949288,0.7620534599050711,False,True,False,False
2015,3,Kessi,Juschka,122.02,38.1,2,False,2015-3-juschka__vs__kessi,8,4,False,False,False,False,True,False,4.0,3.0,0.5714285714285714,83.91999999999999,83.91999999999999,True,False,False,0.7620534599050711,0.2379465400949288,True,False,False,False
2015,4,Benni,Simi,92.52,84.88,8,False,2015-4-benni__vs__simi,8,3,False,False,True,False,True,False,5.0,2.0,0.7142857142857143,7.640000000000001,7.640000000000001,True,False,False,0.521533258173619,0.4784667418263811,False,False,False,False
2015,4,Erik,Kessi,66.84,102.64,2,False,2015-4-erik__vs__kessi,8,7,False,False,False,True,False,True,1.0,6.0,0.14285714285714285,-35.8,35.8,False,True,False,0.3943828180316261,0.6056171819683738,False,True,False,False
2015,4,Ritz,Juschka,83.22,108.16,6,False,2015-4-juschka__vs__ritz,8,5,False,False,False,False,False,True,3.0,4.0,0.42857142857142855,-24.939999999999998,24.939999999999998,False,True,False,0.43484167624621173,0.5651583237537883,False,False,False,False
2015,4,Marv,Tommy,75.46,61.4,3,False,2015-4-marv__vs__tommy,8,6,False,False,False,True,False,True,2.0,5.0,0.2857142857142857,14.059999999999995,14.059999999999995,True,False,False,0.5513663597837206,0.44863364021627944,False,False,False,False
2015,4,Simi,Benni,84.88,92.52,4,False,2015-4-benni__vs__simi,8,4,False,False,False,False,True,False,4.0,3.0,0.5714285714285714,-7.640000000000001,7.640000000000001,False,True,False,0.4784667418263811,0.521533258173619,False,False,False,False
2015,4,Tommy,Marv,61.4,75.46,5,False,2015-4-marv__vs__tommy,8,8,False,True,False,True,False,True,0.0,7.0,0.0,-14.059999999999995,14.059999999999995,False,True,False,0.44863364021627944,0.5513663597837206,False,False,False,False
2015,4,Juschka,Ritz,108.16,83.22,7,False,2015-4-juschka__vs__ritz,8,1,True,False,True,False,True,False,7.0,0.0,1.0,24.939999999999998,24.939999999999998,True,False,False,0.5651583237537883,0.43484167624621173,False,False,False,False
2015,4,Kessi,Erik,102.64,66.84,1,False,2015-4-erik__vs__kessi,8,2,False,False,True,False,True,False,6.0,1.0,0.8571428571428571,35.8,35.8,True,False,False,0.6056171819683738,0.3943828180316261,True,False,False,False
2015,5,Benni,Tommy,118.44,83.68,6,False,2015-5-benni__vs__tommy,8,3,False,False,True,False,True,False,5.0,2.0,0.7142857142857143,34.75999999999999,34.75999999999999,True,False,False,0.5859885216702948,0.41401147832970514,True,False,False,False
2015,5,Erik,Ritz,79.76,106.6,2,False,2015-5-erik__vs__ritz,8,8,False,True,False,True,False,True,0.0,7.0,0.0,-26.83999999999999,26.83999999999999,False,True,False,0.42798883880661087,0.572011161193389,False,False,False,False
2015,5,Ritz,Erik,106.6,79.76,5,False,2015-5-erik__vs__ritz,8,4,False,False,False,False,True,False,4.0,3.0,0.5714285714285714,26.83999999999999,26.83999999999999,True,False,False,0.572011161193389,0.42798883880661087,False,False,False,False
2015,5,Marv,Kessi,84.04,132.0,4,False,2015-5-kessi__vs__marv,8,5,False,False,False,False,False,True,3.0,4.0,0.42857142857142855,-47.959999999999994,47.959999999999994,False,True,False,0.3890020366598778,0.6109979633401221,False,True,False,False
2015,5,Simi,Juschka,124.42,83.6,3,False,2015-5-juschka__vs__simi,8,2,False,False,True,False,True,False,6.0,1.0,0.8571428571428571,40.82000000000001,40.82000000000001,True,False,False,0.5981155658109798,0.4018844341890203,True,False,False,False
2015,5,Tommy,Benni,83.68,118.44,7,False,2015-5-benni__vs__tommy,8,6,False,False,False,True,False,True,2.0,5.0,0.2857142857142857,-34.75999999999999,34.75999999999999,False,True,False,0.41401147832970514,0.5859885216702948,False,True,False,False
2015,5,Juschka,Simi,83.6,124.42,8,False,2015-5-juschka__vs__simi,8,7,False,False,False,True,False,True,1.0,6.0,0.14285714285714285,-40.82000000000001,40.82000000000001,False,True,False,0.4018844341890203,0.5981155658109798,False,True,False,False
2015,5,Kessi,Marv,132.0,84.04,1,False,2015-5-kessi__vs__marv,8,1,True,False,True,False,True,False,7.0,0.0,1.0,47.959999999999994,47.959999999999994,True,False,False,0.6109979633401221,0.3890020366598778,True,False,False,False
2015,6,Benni,Juschka,100.64,127.18,6,False,2015-6-benni__vs__juschka,8,5,False,False,False,False,False,True,3.0,4.0,0.42857142857142855,-26.540000000000006,26.540000000000006,False,True,False,0.4417522605565798,0.5582477394434203,False,False,False,False
2015,6,Erik,Simi,107.8,86.74,2,False,2015-6-erik__vs__simi,8,3,False,False,True,False,True,False,5.0,2.0,0.7142857142857143,21.060000000000002,21.060000000000002,True,False,False,0.554127685822967,0.445872314177033,False,False,False,False
2015,6,Ritz,Marv,94.02,86.5,4,False,2015-6-marv__vs__ritz,8,6,False,False,False,True,False,True,2.0,5.0,0.2857142857142857,7.519999999999996,7.519999999999996,True,False,False,0.5208287170396633,0.47917128296033684,False,False,False,False
2015,6,Marv,Ritz,86.5,94.02,5,False,2015-6-marv__vs__ritz,8,8,False,True,False,True,False,True,0.0,7.0,0.0,-7.519999999999996,7.519999999999996,False,True,False,0.47917128296033684,0.5208287170396633,False,False,False,False
2015,6,Simi,Erik,86.74,107.8,3,False,2015-6-erik__vs__simi,8,7,False,False,False,True,False,True,1.0,6.0,0.14285714285714285,-21.060000000000002,21.060000000000002,False,True,False,0.445872314177033,0.554127685822967,False,False,False,False
2015,6,Tommy,Kessi,119.58,100.88,7,False,2015-6-kessi__vs__tommy,8,2,False,False,True,False,True,False,6.0,1.0,0.8571428571428571,18.700000000000003,18.700000000000003,True,False,False,0.5424113217817291,0.45758867821827093,False,False,False,False
2015,6,Juschka,Benni,127.18,100.64,8,False,2015-6-benni__vs__juschka,8,1,True,False,True,False,True,False,7.0,0.0,1.0,26.540000000000006,26.540000000000006,True,False,False,0.5582477394434203,0.4417522605565798,False,False,False,False
2015,6,Kessi,Tommy,100.88,119.58,1,False,2015-6-kessi__vs__tommy,8,4,False,False,False,False,True,False,4.0,3.0,0.5714285714285714,-18.700000000000003,18.700000000000003,False,True,False,0.45758867821827093,0.5424113217817291,False,False,False,False
2015,7,Benni,Kessi,77.9,117.3,6,False,2015-7-benni__vs__kessi,8,7,False,False,False,True,False,True,1.0,6.0,0.14285714285714285,-39.39999999999999,39.39999999999999,False,True,False,0.39907786885245905,0.600922131147541,False,True,False,False
2015,7,Erik,Juschka,140.74,86.9,2,False,2015-7-erik__vs__juschka,8,1,True,False,True,False,True,False,7.0,0.0,1.0,53.84,53.84,True,False,False,0.6182568968546829,0.3817431031453172,True,False,False,False
2015,7,Ritz,Tommy,112.04,101.02,4,False,2015-7-ritz__vs__tommy,8,4,False,False,False,False,True,False,4.0,3.0,0.5714285714285714,11.02000000000001,11.02000000000001,True,False,False,0.5258612597390406,0.4741387402609593,False,False,False,False
2015,7,Marv,Simi,61.58,117.7,5,False,2015-7-marv__vs__simi,8,8,False,True,False,True,False,True,0.0,7.0,0.0,-56.120000000000005,56.120000000000005,False,True,False,0.34348505131637663,0.6565149486836234,False,True,False,False
2015,7,Simi,Marv,117.7,61.58,3,False,2015-7-marv__vs__simi,8,2,False,False,True,False,True,False,6.0,1.0,0.8571428571428571,56.120000000000005,56.120000000000005,True,False,False,0.6565149486836234,0.34348505131637663,True,False,False,False
2015,7,Tommy,Ritz,101.02,112.04,7,False,2015-7-ritz__vs__tommy,8,5,False,False,False,False,False,True,3.0,4.0,0.42857142857142855,-11.02000000000001,11.02000000000001,False,True,False,0.4741387402609593,0.5258612597390406,False,False,False,False
2015,7,Juschka,Erik,86.9,140.74,8,False,2015-7-erik__vs__juschka,8,6,False,False,False,True,False,True,2.0,5.0,0.2857142857142857,-53.84,53.84,False,True,False,0.3817431031453172,0.6182568968546829,False,True,False,False
2015,7,Kessi,Benni,117.3,77.9,1,False,2015-7-benni__vs__kessi,8,3,False,False,True,False,True,False,5.0,2.0,0.7142857142857143,39.39999999999999,39.39999999999999,True,False,False,0.600922131147541,0.39907786885245905,True,False,False,False
2015,8,Benni,Erik,134.16,107.88,7,False,2015-8-benni__vs__erik,8,1,True,False,True,False,True,False,7.0,0.0,1.0,26.28,26.28,True,False,False,0.5542885473475458,0.44571145265245415,False,False,False,False
2015,8,Erik,Benni,107.88,134.16,2,False,2015-8-benni__vs__erik,8,3,False,False,True,False,True,False,5.0,2.0,0.7142857142857143,-26.28,26.28,False,True,False,0.44571145265245415,0.5542885473475458,False,False,False,False
2015,8,Ritz,Kessi,81.64,100.24,4,False,2015-8-kessi__vs__ritz,8,5,False,False,False,False,False,True,3.0,4.0,0.42857142857142855,-18.599999999999994,18.599999999999994,False,True,False,0.4488673850890697,0.5511326149109302,False,False,False,False
2015,8,Marv,Juschka,74.28,121.0,6,False,2015-8-juschka__vs__marv,8,6,False,False,False,True,False,True,2.0,5.0,0.2857142857142857,-46.72,46.72,False,True,False,0.38037689471528063,0.6196231052847194,False,True,False,False
2015,8,Simi,Tommy,70.6,70.34,3,False,2015-8-simi__vs__tommy,8,7,False,False,False,True,False,True,1.0,6.0,0.14285714285714285,0.2599999999999909,0.2599999999999909,True,False,False,0.5009223783170142,0.4990776216829857,False,False,True,False
2015,8,Tommy,Simi,70.34,70.6,8,False,2015-8-simi__vs__tommy,8,8,False,True,False,True,False,True,0.0,7.0,0.0,-0.2599999999999909,0.2599999999999909,False,True,False,0.4990776216829857,0.5009223783170142,False,False,False,True
2015,8,Juschka,Marv,121.0,74.28,5,False,2015-8-juschka__vs__marv,8,2,False,False,True,False,True,False,6.0,1.0,0.8571428571428571,46.72,46.72,True,False,False,0.6196231052847194,0.38037689471528063,True,False,False,False
