#,Player,Pos,Team,TTL,VORP
1,Josh Allen,QB,BUF,363.4,98.5
2,Jalen Hurts,QB,PHI,350,85.1
1,Christian McCaffrey,RB,SF,315.2,171.1
3,Dak Prescott,QB,DAL,304.4,39.5
4,Lamar Jackson,QB,BAL,301.9,37
5,Brock Purdy,QB,SF,289,24.1
6,Jordan Love,QB,GB,283.1,18.2
7,Patrick Mahomes II,QB,KC,282.2,17.3
8,Jared Goff,QB,DET,267.5,2.6
9,Russell Wilson,QB,NYG,264.9,0
10,Sam Howell,QB,PHI,260.5,0
11,Baker Mayfield,QB,TB,259.6,0
12,Trevor Lawrence,QB,JAC,258.3,0
13,Tua Tagovailoa,QB,MIA,257.9,0
14,C.J. Stroud,QB,HOU,246.5,0
2,Raheem Mostert,RB,LV,242.7,98.6
15,Justin Herbert,QB,LAC,240.2,0
16,Matthew Stafford,QB,LAR,239.5,0
1,Tyreek Hill,WR,MIA,235.6,104.6
2,CeeDee Lamb,WR,DAL,218.5,87.5
17,Joshua Dobbs,QB,NE,210.7,0
18,Derek Carr,QB,FA,206.4,0
19,Justin Fields,QB,NYJ,205.3,0
20,Geno Smith,QB,LV,198,0
3,Kyren Williams,RB,LAR,194.9,50.8
3,Mike Evans,WR,TB,194.3,63.3
4,Derrick Henry,RB,BAL,193.2,49.1
5,Travis Etienne Jr.,RB,JAC,191.9,47.8
6,Rachaad White,RB,TB,190,45.9
21,Gardner Minshew II,QB,KC,183.4,0
4,A.J. Brown,WR,PHI,179.4,48.4
7,James Cook III,RB,BUF,179.1,35
8,Jahmyr Gibbs,RB,DET,176.8,32.7
9,Joe Mixon,RB,HOU,176.6,32.5
5,Amon-Ra St. Brown,WR,DET,175.4,44.4
22,Desmond Ridder,QB,FA,171.8,0
6,Keenan Allen,WR,LAC,170.9,39.9
7,Puka Nacua,WR,LAR,169.7,38.7
10,Breece Hall,RB,NYJ,168.9,24.8
11,David Montgomery,RB,DET,168.7,24.6
8,Deebo Samuel Sr.,WR,WAS,167.3,36.3
9,DJ Moore,WR,CHI,162.2,31.2
12,Gus Edwards,RB,FA,161.4,17.3
13,Bijan Robinson,RB,ATL,160.6,16.5
1,Brandon Aubrey,K,DAL,160,32
23,Bryce Young,QB,CAR,158.5,0
10,Ja'Marr Chase,WR,CIN,156.7,25.7
1,Dallas Cowboys,DST,DAL,156,29
1,Baltimore Ravens,DST,BAL,156,29
11,Amari Cooper,WR,FA,155,24
11,Stefon Diggs,WR,NE,155,24
24,Kirk Cousins,QB,ATL,154.7,0
14,Saquon Barkley,RB,PHI,154.7,10.6
13,Brandon Aiyuk,WR,SF,154.3,23.3
15,D'Andre Swift,RB,CHI,153.7,9.6
25,Joe Burrow,QB,CIN,153.2,0
16,Alvin Kamara,RB,NO,153.1,9
2,Dustin Hopkins,K,FA,149,21
17,Kenneth Walker III,RB,SEA,148.8,4.7
18,Tony Pollard,RB,TEN,148.1,4
3,Justin Tucker,K,FA,148,20
14,DK Metcalf,WR,PIT,147.8,16.8
19,Isiah Pacheco,RB,KC,147.4,3.3
20,Brian Robinson Jr.,RB,SF,147,2.9
15,Nico Collins,WR,HOU,146.2,15.2
21,Josh Jacobs,RB,GB,144.1,0
4,Jake Elliott,K,PHI,144,16
3,Miami Dolphins,DST,MIA,144,17
16,DeVonta Smith,WR,PHI,143.6,12.6
22,Jerome Ford,RB,CLE,139.9,0
23,Zack Moss,RB,FA,139.6,0
5,Jason Myers,K,SEA,138,10
4,Cleveland Browns,DST,CLE,138,11
5,Las Vegas Raiders,DST,LV,137,10
6,Jason Sanders,K,MIA,137,9
17,Jordan Addison,WR,MIN,136.8,5.8
1,Sam LaPorta,TE,DET,136,42.9
2,George Kittle,TE,SF,135.3,42.2
18,Michael Pittman Jr.,WR,IND,134.2,3.2
7,Matt Gay,K,SF,134,6
19,Calvin Ridley,WR,TEN,133.4,2.4
20,George Pickens,WR,DAL,132.4,1.4
6,Indianapolis Colts,DST,IND,132,5
8,Cairo Santos,K,CHI,132,4
24,De'Von Achane,RB,MIA,131.9,0
21,Courtland Sutton,WR,DEN,131,0
22,DeAndre Hopkins,WR,BAL,130.8,0
23,Chris Olave,WR,NO,130.1,0
7,Buffalo Bills,DST,BUF,130,3
9,Younghoe Koo,K,NYG,128,0
8,Pittsburgh Steelers,DST,PIT,128,1
8,San Francisco 49ers,DST,SF,128,1
24,Davante Adams,WR,LAR,127.2,0
25,Chuba Hubbard,RB,CAR,127.2,0
10,Evan McPherson,K,CIN,127,0
10,New York Jets,DST,NYJ,127,0
26,Zach Wilson,QB,MIA,126.9,0
25,Jaylen Waddle,WR,MIA,126.6,0
26,Austin Ekeler,RB,WAS,126.5,0
11,Blake Grupe,K,FA,126,0
3,Travis Kelce,TE,KC,124.8,31.7
4,T.J. Hockenson,TE,MIN,124,30.9
12,Chase McLaughlin,K,TB,124,0
11,Minnesota Vikings,DST,MIN,124,0
26,Jakobi Meyers,WR,JAC,123.4,0
13,Greg Zuerlein,K,FA,123,0
13,Cameron Dicker,K,LAC,123,0
13,Brandon McManus,K,GB,123,0
27,Adam Thielen,WR,MIN,123,0
27,Najee Harris,RB,LAC,123,0
28,James Conner,RB,ARI,122.8,0
16,Nick Folk,K,NYJ,122,0
16,Harrison Butker,K,KC,122,0
28,Jayden Reed,WR,GB,121.1,0
12,New Orleans Saints,DST,NO,121,0
18,Tyler Bass,K,BUF,121,0
29,Rashee Rice,WR,KC,120.8,0
19,Jake Moody,K,WAS,120,0
27,Mac Jones,QB,SF,118.4,0
30,Tank Dell,WR,HOU,118,0
29,Jaylen Warren,RB,PIT,116.6,0
30,Devin Singletary,RB,NYG,116.2,0
20,Chris Boswell,K,PIT,116,0
20,Wil Lutz,K,DEN,116,0
13,Tampa Bay Buccaneers,DST,TB,115,0
31,Gabe Davis,WR,BUF,114.3,0
28,Kenny Pickett,QB,LV,114.2,0
22,Matt Prater,K,BUF,113,0
31,Javonte Williams,RB,DAL,112.9,0
32,Zay Flowers,WR,BAL,112.8,0
33,Romeo Doubs,WR,GB,112.6,0
34,Terry McLaurin,WR,WAS,112.5,0
14,Kansas City Chiefs,DST,KC,112,0
23,Anders Carlson,K,FA,111,0
29,Jake Browning,QB,CIN,110.3,0
35,Garrett Wilson,WR,NYJ,109.9,0
24,Eddy Pineiro,K,SF,109,0
30,Kyler Murray,QB,ARI,108.9,0
5,David Njoku,TE,CLE,108.8,15.7
32,Rhamondre Stevenson,RB,NE,107.7,0
31,Will Levis,QB,TEN,107.4,0
36,Tyler Lockett,WR,LV,107.3,0
15,Seattle Seahawks,DST,SEA,107,0
37,Chris Godwin Jr.,WR,TB,106.6,0
16,Houston Texans,DST,HOU,106,0
16,Cincinnati Bengals,DST,CIN,106,0
16,Denver Broncos,DST,DEN,106,0
19,Chicago Bears,DST,CHI,105,0
33,Ezekiel Elliott,RB,FA,104.9,0
38,Justin Jefferson,WR,MIN,104.3,0
25,Greg Joseph,K,LV,104,0
6,Cole Kmet,TE,CHI,104,10.9
20,Los Angeles Chargers,DST,LAC,102,0
26,Daniel Carlson,K,LV,102,0
34,Tyler Allgeier,RB,ATL,101.4,0
21,Atlanta Falcons,DST,ATL,101,0
22,Jacksonville Jaguars,DST,JAC,99,0
23,New York Giants,DST,NYG,98,0
35,Alexander Mattison,RB,MIA,97.3,0
24,New England Patriots,DST,NE,97,0
39,Brandin Cooks,WR,BUF,97,0
40,Cooper Kupp,WR,SEA,96.7,0
7,Evan Engram,TE,DEN,96.4,3.3
32,Tommy DeVito,QB,NE,96,0
8,Jake Ferguson,TE,DAL,95.9,2.8
42,Drake London,WR,ATL,95.7,0
41,Rashid Shaheed,WR,SEA,95.7,0
36,Jonathan Taylor,RB,IND,95.4,0
33,Aidan O'Connell,QB,LV,94.7,0
25,Green Bay Packers,DST,GB,94,0
37,Kareem Hunt,RB,KC,93.9,0
43,Tee Higgins,WR,CIN,93.7,0
44,Christian Kirk,WR,HOU,93.3,0
9,Taysom Hill,TE,NO,93.1,0
