#,Player,Pos,Team,TTL,VORP
1,Patrick Mahomes II,QB,KC,399.7,113.3
2,Ben Roethlisberger,QB,FA,327.1,40.7
3,Matt Ryan,QB,FA,325.6,39.2
1,Todd Gurley II,RB,FA,313.1,169.4
4,Aaron Rodgers,QB,PIT,311.5,25.1
5,Deshaun Watson,QB,CLE,309.7,23.3
6,Drew Brees,QB,FA,304,17.6
7,Andrew Luck,QB,FA,303.8,17.4
8,Russell Wilson,QB,NYG,290.5,4.1
9,Jared Goff,QB,DET,286.4,0
10,Cam Newton,QB,FA,282.6,0
11,Philip Rivers,QB,FA,278,0
2,Saquon Barkley,RB,PHI,274.6,130.9
3,Christian McCaffrey,RB,SF,274.5,130.8
4,Alvin Kamara,RB,NO,273.2,129.5
12,Kirk Cousins,QB,ATL,272.1,0
13,Tom Brady,QB,FA,254.3,0
14,Mitchell Trubisky,QB,BUF,252.9,0
15,Dak Prescott,QB,DAL,252.4,0
5,Ezekiel Elliott,RB,FA,252.1,108.4
16,Eli Manning,QB,FA,221.7,0
1,Antonio Brown,WR,FA,219.7,92.5
17,Baker Mayfield,QB,TB,219.1,0
6,Melvin Gordon III,RB,FA,218.9,75.2
2,Davante Adams,WR,LAR,218.6,91.4
3,Tyreek Hill,WR,MIA,217.4,90.2
7,James Conner,RB,ARI,215.3,71.6
18,Derek Carr,QB,FA,214.4,0
8,Kareem Hunt,RB,KC,204.2,60.5
4,DeAndre Hopkins,WR,BAL,203.8,76.6
19,Case Keenum,QB,CHI,202.4,0
20,Matthew Stafford,QB,LAR,193.7,0
5,Julio Jones,WR,FA,193.1,65.9
21,Carson Wentz,QB,MIN,192.7,0
6,Adam Thielen,WR,MIN,190.6,63.4
9,Joe Mixon,RB,HOU,189.7,46
10,Phillip Lindsay,RB,FA,187.8,44.1
11,David Johnson,RB,FA,187.8,44.1
7,Michael Thomas,WR,FA,187.6,60.4
1,Travis Kelce,TE,KC,185.4,100.1
1,Chicago Bears,DST,CHI,182,72
8,Robert Woods,WR,FA,177.1,49.9
12,James White,RB,FA,176.7,33
9,JuJu Smith-Schuster,WR,KC,176.2,49
10,Mike Evans,WR,TB,175.8,48.6
13,Derrick Henry,RB,BAL,175.1,31.4
22,Marcus Mariota,QB,WAS,174.9,0
23,Andy Dalton,QB,CAR,174.5,0
14,Nick Chubb,RB,HOU,172.5,28.8
24,Blake Bortles,QB,FA,169.4,0
15,Adrian Peterson,RB,FA,169,25.3
25,Josh Allen,QB,BUF,167.6,0
26,Ryan Fitzpatrick,QB,FA,165.8,0
27,Jameis Winston,QB,NYG,165.7,0
2,Zach Ertz,TE,WAS,162.8,77.5
16,Chris Carson,RB,FA,162.5,18.8
1,Ka'imi Fairbairn,K,HOU,162,31
28,Sam Darnold,QB,SEA,160.9,0
11,T.Y. Hilton,WR,FA,156.9,29.7
12,Keenan Allen,WR,LAC,156.7,29.5
17,Tarik Cohen,RB,FA,153.7,10
13,Stefon Diggs,WR,NE,153.6,26.4
14,Odell Beckham Jr.,WR,FA,153.3,26.1
15,Tyler Lockett,WR,LV,152.5,25.3
18,Tevin Coleman,RB,FA,150.2,6.5
3,George Kittle,TE,SF,149.8,64.5
2,Wil Lutz,K,DEN,149,18
3,Jason Myers,K,SEA,147,16
19,Aaron Jones Sr.,RB,MIN,145.4,1.7
20,Marlon Mack,RB,FA,145.3,1.6
16,Tyler Boyd,WR,FA,145.1,17.9
4,Justin Tucker,K,FA,145,14
4,Mason Crosby,K,FA,145,14
17,Brandin Cooks,WR,BUF,145,17.8
4,Eric Ebron,TE,FA,144.2,58.9
21,Kenyan Drake,RB,FA,143.7,0
6,Harrison Butker,K,KC,142,11
18,Amari Cooper,WR,FA,139.4,12.2
29,Alex Smith,QB,FA,138,0
19,Kenny Golladay,WR,FA,137.1,9.9
30,Joe Flacco,QB,CIN,137.1,0
22,Jordan Howard,RB,FA,136.6,0
23,Lamar Miller,RB,FA,136,0
24,Matt Breida,RB,FA,135.5,0
31,Ryan Tannehill,QB,FA,134.9,0
7,Brett Maher,K,FA,134,3
20,Calvin Ridley,WR,TEN,133.6,6.4
2,Los Angeles Rams,DST,LAR,133,23
2,Houston Texans,DST,HOU,133,23
8,Robbie Gould,K,FA,133,2
32,Lamar Jackson,QB,BAL,131.4,0
9,Aldrick Rosas,K,FA,131,0
10,Stephen Gostkowski,K,FA,130,0
21,Emmanuel Sanders,WR,FA,127.2,0
25,Sony Michel,RB,FA,127.1,0
22,Mike Williams,WR,FA,125.8,0
4,Minnesota Vikings,DST,MIN,125,15
26,Peyton Barber,RB,FA,123.5,0
5,Jared Cook,TE,FA,122.8,37.5
11,Dustin Hopkins,K,FA,121,0
5,Baltimore Ravens,DST,BAL,120,10
23,Jarvis Landry,WR,FA,119.9,0
27,Isaiah Crowell,RB,FA,119.7,0
24,Julian Edelman,WR,FA,118.1,0
28,T.J. Yeldon,RB,FA,118.1,0
12,Sebastian Janikowski,K,FA,118,0
29,Austin Ekeler,RB,WAS,118,0
30,Mark Ingram II,RB,FA,117.2,0
13,Matt Prater,K,BUF,117,0
13,Cody Parkey,K,FA,117,0
6,Denver Broncos,DST,DEN,116,6
15,Jake Elliott,K,PHI,116,0
7,Washington Commanders,DST,WAS,115,5
16,Adam Vinatieri,K,FA,115,0
17,Greg Zuerlein,K,FA,114,0
25,Corey Davis,WR,FA,113.8,0
8,Seattle Seahawks,DST,SEA,112,2
18,Ryan Succop,K,FA,112,0
26,DeSean Jackson,WR,FA,110.3,0
9,New Orleans Saints,DST,NO,110,0
27,Sterling Shepard,WR,TB,108.9,0
28,Dede Westbrook,WR,FA,108.5,0
29,Alshon Jeffery,WR,FA,108.4,0
31,Latavius Murray,RB,FA,108.1,0
10,New England Patriots,DST,NE,108,0
10,Indianapolis Colts,DST,IND,108,0
32,Kerryon Johnson,RB,FA,107.4,0
30,Larry Fitzgerald,WR,FA,107.1,0
33,Josh Rosen,QB,FA,107,0
31,Adam Humphries,WR,FA,106.1,0
33,Dalvin Cook,RB,FA,106,0
32,Golden Tate,WR,FA,105.6,0
12,Pittsburgh Steelers,DST,PIT,105,0
34,Nick Mullens,QB,JAC,104.4,0
33,Robbie Chosen,WR,WAS,104,0
34,A.J. Green,WR,FA,103.4,0
13,Tennessee Titans,DST,TEN,103,0
19,Brandon McManus,K,GB,103,0
35,Mohamed Sanu Sr.,WR,FA,103,0
