Rank;Name;Position;Team;Total Points;VORP;;;;;;;;;;;;;;;;;
160;Toben Opurum;RB;FA;0;0;;;;;;;;;;;;;;;;;
160;Chase Reynolds;RB;FA;0;0;;;;;;;;;;;;;;;;;
160;Kapri Bibbs;RB;FA;0;0;;;;;;;;;;;;;;;;;
180;Brandon Wegher;RB;FA;0;0;;;;;;;;;;;;;;;;;
180;Malcolm Brown;RB;FA;0;0;;;;;;;;;;;;;;;;;
191;Evan Spencer;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Nick Toon;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Seantavius Jones;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Vince Mayle;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;J.J. Jones;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Rannell Hall;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Rico Richardson;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Kyle Williams;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Kasen Williams;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Walter Powell;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Matthew Slater;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Saalim Hakim;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Brittan Golden;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Joe Morgan;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Kevin Norwood;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;James Wright;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Devin Hester;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Tyrell Williams;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Greg Salas;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Kaelin Clay;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Matt Hazel;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Dezmin Lewis;WR;FA;0;0;;;;;;;;;;;;;;;;;
191;Quan Bray;WR;FA;0;0;;;;;;;;;;;;;;;;;
66;Trevor Siemian;QB;TEN;-0,1;0;;;;;;;;;;;;;;;;;
66;Joe Webb III;QB;FA;-0,1;0;;;;;;;;;;;;;;;;;
68;Scott Tolzien;QB;FA;-0,1;0;;;;;;;;;;;;;;;;;
214;Terrelle Pryor Sr.;WR;FA;-0,1;0;;;;;;;;;;;;;;;;;
69;Tarvaris Jackson;QB;FA;-0,2;0;;;;;;;;;;;;;;;;;
175;Cierre Wood;RB;FA;-0,3;0;;;;;;;;;;;;;;;;;
70;Drew Stanton;QB;FA;-0,5;0;;;;;;;;;;;;;;;;;
70;Jimmy Garoppolo;QB;LAR;-0,5;0;;;;;;;;;;;;;;;;;
176;Corey Grant;RB;FA;-0,5;0;;;;;;;;;;;;;;;;;
134;David Johnson;TE;FA;-1,2;0;;;;;;;;;;;;;;;;;
177;Isaiah Pead;RB;FA;-1,7;0;;;;;;;;;;;;;;;;;
72;Sean Renfree;QB;FA;-2;0;;;;;;;;;;;;;;;;;
178;Marcus Murphy;RB;FA;-2;0;;;;;;;;;;;;;;;;;
215;Jacoby Jones;WR;FA;-2;0;;;;;;;;;;;;;;;;;
215;Frankie Hammond;WR;FA;-2;0;;;;;;;;;;;;;;;;;
215;Chris Harper;WR;FA;-2;0;;;;;;;;;;;;;;;;;
215;Denarius Moore;WR;FA;-2;0;;;;;;;;;;;;;;;;;
179;Glenn Winston;RB;FA;-2,8;0;;;;;;;;;;;;;;;;;
219;Marcus Thigpen;WR;FA;-4,1;0;;;;;;;;;;;;;;;;;
