#,Player,Pos,Team,TTL,VORP
32,Carson Palmer,QB,FA,102.3,0
34,Giovani Bernard,RB,FA,101.7,0
35,Kenyan Drake,RB,FA,101.3,0
19,Blair Walsh,K,FA,101,0
6,Kyle Rudolph,TE,FA,100.9,18.6
36,Mohamed Sanu Sr.,WR,FA,100.2,0
16,Kansas City Chiefs,DST,KC,100,0
16,Buffalo Bills,DST,BUF,100,0
36,Rex Burkhead,RB,FA,99.8,0
37,Theo Riddick,RB,FA,98.8,0
7,Delanie Walker,TE,FA,98.6,16.3
38,Orleans Darkwa,RB,FA,97.3,0
18,Tampa Bay Buccaneers,DST,TB,96,0
39,LeGarrette Blount,RB,FA,94.8,0
19,Tennessee Titans,DST,TEN,94,0
19,Green Bay Packers,DST,GB,94,0
19,Denver Broncos,DST,DEN,94,0
20,Ka'imi Fairbairn,K,HOU,94,0
21,Cody Parkey,K,FA,93,0
37,Amari Cooper,WR,FA,92.9,0
38,Jamison Crowder,WR,FA,91.9,0
39,Marqise Lee,WR,FA,91.9,0
8,Cameron Brate,TE,FA,91.4,9.1
40,Ameer Abdullah,RB,IND,90.5,0
40,Keelan Cole Sr.,WR,FA,89.5,0
41,Mike Wallace,WR,FA,89.2,0
22,Dallas Cowboys,DST,DAL,89,0
33,C.J. Beathard,QB,DET,88.8,0
42,DeSean Jackson,WR,FA,88.6,0
41,Tarik Cohen,RB,FA,88.4,0
23,Cincinnati Bengals,DST,CIN,88,0
24,Atlanta Falcons,DST,ATL,87,0
42,Samaje Perine,RB,CIN,86.2,0
25,Miami Dolphins,DST,MIA,86,0
43,Sterling Shepard,WR,TB,85.5,0
22,Giorgio Tavecchio,K,FA,85,0
44,Kelvin Benjamin,WR,FA,84.5,0
45,Jordy Nelson,WR,FA,84.2,0
23,Randy Bullock,K,FA,84,0
46,William Fuller V,WR,FA,83.5,0
43,Matt Forte,RB,FA,83.4,0
44,Corey Clement,RB,FA,82.4,0
9,Jason Witten,TE,FA,82.3,0
47,Tyrell Williams,WR,FA,82.1,0
24,Josh Lambo,K,FA,82,0
10,Hunter Henry,TE,NE,81.9,0
48,Josh Doctson,WR,FA,81.1,0
25,Dan Bailey,K,FA,81,0
26,Houston Texans,DST,HOU,81,0
49,Randall Cobb,WR,FA,80.1,0
26,Patrick Murray,K,FA,80,0
26,Mason Crosby,K,FA,80,0
45,Austin Ekeler,RB,WAS,79.9,0
11,Jack Doyle,TE,FA,79.2,0
50,Ryan Grant,WR,FA,79,0
12,Eric Ebron,TE,FA,78.5,0
28,Aldrick Rosas,K,FA,78,0
46,James White,RB,FA,78,0
13,Vernon Davis,TE,FA,76.8,0
27,Indianapolis Colts,DST,IND,76,0
51,Martavis Bryant,WR,FA,76,0
52,Chris Hogan,WR,FA,75.6,0
14,Jared Cook,TE,FA,75.3,0
15,O.J. Howard,TE,FA,75.2,0
28,New York Giants,DST,NYG,75,0
53,Travis Benjamin,WR,FA,74.3,0
34,Ryan Fitzpatrick,QB,FA,73.9,0
54,Danny Amendola,WR,FA,73.6,0
47,Rod Smith,RB,FA,73.4,0
48,Marlon Mack,RB,FA,72.5,0
49,Matt Breida,RB,FA,72.1,0
35,Jimmy Garoppolo,QB,LAR,71.3,0
50,Aaron Jones Sr.,RB,MIN,71,0
55,Tyler Lockett,WR,LV,70.8,0
16,Benjamin Watson,TE,FA,70.1,0
29,Zane Gonzalez,K,ATL,70,0
56,Brandon LaFell,WR,FA,69.3,0
29,New York Jets,DST,NYJ,69,0
51,Ty Montgomery II,RB,FA,68.6,0
30,San Francisco 49ers,DST,SF,68,0
30,Cleveland Browns,DST,CLE,68,0
36,Brock Osweiler,QB,FA,67.9,0
52,Adrian Peterson,RB,FA,67.9,0
53,Mike Gillislee,RB,FA,67.8,0
57,Emmanuel Sanders,WR,FA,67.5,0
54,Doug Martin,RB,FA,67.3,0
17,Austin Hooper,TE,NE,67.1,0
58,DeVante Parker,WR,FA,66.6,0
32,Las Vegas Raiders,DST,LV,66,0
18,Tyler Kroft,TE,FA,65.1,0
55,Alfred Morris,RB,FA,65.1,0
59,Deonte Thompson,WR,FA,64.7,0
60,Kendall Wright,WR,FA,64.5,0
37,Brian Hoyer,QB,FA,63.7,0
56,Chris Ivory,RB,FA,63.7,0
61,Jaron Brown,WR,FA,63.2,0
62,J.J. Nelson,WR,FA,62.7,0
19,Marcedes Lewis,TE,DEN,62.5,0
57,Wayne Gallman Jr.,RB,FA,62,0
63,Jeremy Maclin,WR,FA,62,0
38,Blaine Gabbert,QB,FA,61.6,0
20,Charles Clay,TE,FA,61.4,0
64,Eric Decker,WR,FA,60.5,0
58,J.D. McKissic,RB,FA,60.4,0
65,Albert Wilson,WR,FA,59.3,0
30,Dustin Hopkins,K,FA,59,0
21,David Njoku,TE,CLE,58.9,0
59,Jalen Richard,RB,FA,58.5,0
60,Elijah McGuire,RB,FA,58.2,0
66,Adam Humphries,WR,FA,57.5,0
61,T.J. Yeldon,RB,FA,57.4,0
31,Connor Barth,K,FA,57,0
67,Terrance Williams,WR,FA,56.9,0
22,Julius Thomas,TE,FA,56.8,0
62,Devontae Booker,RB,FA,56.8,0
68,Allen Hurns,WR,FA,56.6,0
23,Trey Burton,TE,FA,55.9,0
69,Cole Beasley,WR,FA,55.4,0
24,Garrett Celek,TE,FA,54.8,0
63,Peyton Barber,RB,FA,54.8,0
70,Torrey Smith,WR,FA,54.7,0
64,Dalvin Cook,RB,FA,54.4,0
25,Jesse James,TE,FA,54.3,0
71,Roger Lewis,WR,FA,53.6,0
26,George Kittle,TE,SF,53.5,0
32,Nick Rose,K,FA,53,0
32,Jason Myers,K,SEA,53,0
72,Kenny Golladay,WR,FA,52.6,0
27,Austin Seferian-Jenkins,TE,FA,51.7,0
73,Donte Moncrief,WR,FA,51.1,0
65,D'Onta Foreman,RB,FA,51,0
39,Tom Savage,QB,FA,50.7,0
66,DeAndre Washington,RB,FA,50.7,0
74,Brandon Coleman,WR,FA,50.4,0
75,Trent Taylor,WR,SF,50.1,0
76,Pierre Garcon,WR,FA,50,0
67,Kerwynn Williams,RB,FA,49.8,0
77,Odell Beckham Jr.,WR,FA,49,0
78,John Brown,WR,FA,48.9,0
79,Taylor Gabriel,WR,FA,48.7,0
68,Andre Ellington,RB,FA,48.4,0
34,Mike Nugent,K,FA,48,0
80,T.J. Jones,WR,FA,47.9,0
28,Ed Dickson,TE,FA,47.5,0
81,Bennie Fowler III,WR,FA,47.4,0
82,Bruce Ellington,WR,FA,46.7,0
69,Charcandrick West,RB,FA,46.2,0
35,Nick Novak,K,FA,46,0
29,Antonio Gates,TE,FA,45,0
70,Jamaal Charles,RB,FA,44.5,0
30,Seth DeValve,TE,FA,43.5,0
40,Drew Stanton,QB,FA,42.8,0
83,Cody Latimer,WR,FA,42.7,0
83,Seth Roberts,WR,FA,42.7,0
85,Tavarres King,WR,FA,42.3,0
31,Jermaine Gresham,TE,FA,41.8,0
