#,Player,Pos,Team,TTL,VORP
1,Lamar Jackson,QB,BAL,382,110.2
2,Josh Allen,QB,BUF,362.1,90.3
3,Joe Burrow,QB,CIN,330.9,59.1
4,Jayden Daniels,QB,WAS,327.8,56
5,Baker Mayfield,QB,TB,324.6,52.8
6,Jalen Hurts,QB,PHI,320.1,48.3
1,Saquon Barkley,RB,PHI,305.4,156.5
7,Jared Goff,QB,DET,298.4,26.6
8,Sam Darnold,QB,SEA,286.5,14.7
9,Bo Nix,QB,DEN,271.8,0
10,Patrick Mahomes II,QB,KC,267,0
2,Derrick Henry,RB,BAL,266.8,117.9
11,Kyler Murray,QB,ARI,262.3,0
1,Ja'Marr Chase,WR,CIN,250.2,124.7
3,Jahmyr Gibbs,RB,DET,247.6,98.7
12,Brock Purdy,QB,SF,246.6,0
13,Geno Smith,QB,LV,246.4,0
14,Caleb Williams,QB,CHI,242,0
15,Aaron Rodgers,QB,PIT,239.1,0
16,Justin Herbert,QB,LAC,235.9,0
4,Josh Jacobs,RB,GB,235.6,86.7
5,Bijan Robinson,RB,ATL,229.6,80.7
17,Jordan Love,QB,GB,228.1,0
6,Kyren Williams,RB,LAR,224.9,76
18,C.J. Stroud,QB,HOU,219.3,0
7,James Cook III,RB,BUF,214.6,65.7
19,Matthew Stafford,QB,LAR,213.4,0
8,James Conner,RB,ARI,206,57.1
9,De'Von Achane,RB,MIA,200,51.1
2,Justin Jefferson,WR,MIN,199.9,74.4
10,Chuba Hubbard,RB,CAR,198.6,49.7
11,Joe Mixon,RB,HOU,197.8,48.9
12,Alvin Kamara,RB,NO,197.3,48.4
20,Kirk Cousins,QB,ATL,192.3,0
13,Chase Brown,RB,CIN,191.9,43
21,Tua Tagovailoa,QB,MIA,188.6,0
14,David Montgomery,RB,DET,185.7,36.8
3,Amon-Ra St. Brown,WR,DET,181.5,56
1,Chris Boswell,K,PIT,180,47
22,Drake Maye,QB,NE,177.3,0
15,Jonathan Taylor,RB,IND,177.1,28.2
2,Brandon Aubrey,K,DAL,177,44
16,Aaron Jones Sr.,RB,MIN,175.4,26.5
23,Anthony Richardson Sr.,QB,IND,174.4,0
4,Terry McLaurin,WR,WAS,173.1,47.6
5,Brian Thomas Jr.,WR,JAC,169.8,44.3
3,Ka'imi Fairbairn,K,HOU,167,34
17,Bucky Irving,RB,TB,164,15.1
18,Breece Hall,RB,NYJ,163.4,14.5
6,CeeDee Lamb,WR,DAL,162.4,36.9
1,Denver Broncos,DST,DEN,156,44
24,Derek Carr,QB,FA,155.9,0
19,Tony Pollard,RB,TEN,153.5,4.6
25,Trevor Lawrence,QB,JAC,152.2,0
2,Minnesota Vikings,DST,MIN,152,40
20,D'Andre Swift,RB,CHI,151.9,3
26,Bryce Young,QB,CAR,150.7,0
21,Najee Harris,RB,LAC,148.9,0
7,Jaxon Smith-Njigba,WR,SEA,148.5,23
4,Jason Sanders,K,MIA,148,15
27,Russell Wilson,QB,NYG,147.6,0
5,Cameron Dicker,K,LAC,147,14
6,Wil Lutz,K,DEN,146,13
22,Rachaad White,RB,TB,145.2,0
1,George Kittle,TE,SF,144.7,60.2
28,Jameis Winston,QB,NYG,143.1,0
23,Rhamondre Stevenson,RB,NE,142.8,0
29,Daniel Jones,QB,IND,142.3,0
7,Jake Bates,K,DET,142,9
8,Chase McLaughlin,K,TB,141,8
8,A.J. Brown,WR,PHI,140.3,14.8
3,Green Bay Packers,DST,GB,140,28
9,Drake London,WR,ATL,139.5,14
10,Jayden Reed,WR,GB,138.3,12.8
24,J.K. Dobbins,RB,DEN,138,0
4,Pittsburgh Steelers,DST,PIT,138,26
11,Davante Adams,WR,LAR,136.8,11.3
12,Jordan Addison,WR,MIN,136.6,11.1
13,Mike Evans,WR,TB,135.8,10.3
25,Rico Dowdle,RB,CAR,135.6,0
14,Garrett Wilson,WR,NYJ,135.2,9.7
14,Jerry Jeudy,WR,CLE,135.2,9.7
26,Kenneth Walker III,RB,SEA,135.2,0
9,Tyler Bass,K,BUF,133,0
2,Brock Bowers,TE,LV,132.1,47.6
16,Courtland Sutton,WR,DEN,132,6.5
17,Jameson Williams,WR,DET,131.3,5.8
27,Brian Robinson Jr.,RB,SF,131.3,0
28,Tyrone Tracy Jr.,RB,NYG,130.4,0
18,Zay Flowers,WR,BAL,130.3,4.8
10,Justin Tucker,K,FA,129,0
29,Zach Charbonnet,RB,SEA,128.2,0
19,Nico Collins,WR,HOU,126.9,1.4
20,Ladd McConkey,WR,LAC,126,0.5
5,Houston Texans,DST,HOU,126,14
21,Darnell Mooney,WR,ATL,125.5,0
22,Tyreek Hill,WR,MIA,124.7,0
30,Dak Prescott,QB,DAL,124.5,0
30,Kareem Hunt,RB,KC,124.4,0
11,Jason Myers,K,SEA,124,0
23,Malik Nabers,WR,NYG,123.1,0
12,Jake Elliott,K,PHI,122,0
24,Jauan Jennings,WR,SF,121.6,0
25,DJ Moore,WR,CHI,120.8,0
31,Will Levis,QB,TEN,120.1,0
32,Justin Fields,QB,NYJ,120.1,0
13,Daniel Carlson,K,LV,120,0
13,Younghoe Koo,K,NYG,120,0
26,Calvin Ridley,WR,TEN,118.8,0
6,Buffalo Bills,DST,BUF,117,5
3,Jonnu Smith,TE,PIT,116.1,31.6
15,Austin Seibert,K,FA,115,0
7,Los Angeles Chargers,DST,LAC,115,3
7,Seattle Seahawks,DST,SEA,115,3
27,Rashod Bateman,WR,BAL,114.8,0
28,Tee Higgins,WR,CIN,114.7,0
29,Puka Nacua,WR,LAR,114.7,0
16,Matt Gay,K,SF,114,0
30,Xavier Worthy,WR,KC,113.3,0
17,Blake Grupe,K,FA,113,0
31,Marvin Harrison Jr.,WR,ARI,112.6,0
9,Detroit Lions,DST,DET,112,0
32,Keenan Allen,WR,LAC,111.4,0
10,Philadelphia Eagles,DST,PHI,110,0
33,DK Metcalf,WR,PIT,109.7,0
4,Mark Andrews,TE,BAL,109.6,25.1
18,Joshua Karty,K,LAR,109,0
18,Will Reichard,K,MIN,109,0
31,Tank Bigsby,RB,PHI,108.5,0
20,Chad Ryland,K,ARI,108,0
20,Nick Folk,K,NYJ,108,0
5,Trey McBride,TE,ARI,108,23.5
34,DeVonta Smith,WR,PHI,107.4,0
11,Dallas Cowboys,DST,DAL,107,0
33,Cooper Rush,QB,BAL,106.5,0
34,Gardner Minshew II,QB,KC,106.3,0
22,Jake Moody,K,WAS,106,0
35,Cooper Kupp,WR,SEA,105.1,0
6,Tucker Kraft,TE,GB,104.4,19.9
23,Joey Slye,K,TEN,104,0
32,Jordan Mason,RB,MIN,104,0
36,Khalil Shakir,WR,BUF,104,0
12,Los Angeles Rams,DST,LAR,103,0
24,Cam Little,K,JAC,101,0
37,Jakobi Meyers,WR,JAC,100.6,0
38,George Pickens,WR,DAL,100.4,0
39,Josh Downs,WR,IND,99.9,0
33,Javonte Williams,RB,DAL,98.1,0
13,Kansas City Chiefs,DST,KC,97,0
25,Eddy Pineiro,K,SF,97,0
25,Cairo Santos,K,CHI,97,0
40,Quentin Johnston,WR,LAC,96.3,0
14,Chicago Bears,DST,CHI,96,0
7,Sam LaPorta,TE,DET,95.9,11.4
15,Atlanta Falcons,DST,ATL,95,0
27,Harrison Butker,K,KC,95,0
41,Nick Westbrook-Ikhine,WR,MIA,95,0
34,Jerome Ford,RB,CLE,94.8,0
35,Alexander Mattison,RB,MIA,94.5,0
42,Deebo Samuel Sr.,WR,WAS,94.5,0
42,Alec Pierce,WR,IND,94.5,0
36,Austin Ekeler,RB,WAS,94.1,0
28,Evan McPherson,K,CIN,94,0
16,Cincinnati Bengals,DST,CIN,93,0
17,New Orleans Saints,DST,NO,92,0
18,Indianapolis Colts,DST,IND,91,0
44,DeAndre Hopkins,WR,BAL,90.3,0
19,Arizona Cardinals,DST,ARI,89,0
45,Tank Dell,WR,HOU,89,0
35,Mason Rudolph,QB,PIT,88.5,0
20,San Francisco 49ers,DST,SF,88,0
46,Chris Godwin Jr.,WR,TB,87.8,0
47,Rome Odunze,WR,CHI,87.6,0
21,Baltimore Ravens,DST,BAL,87,0
21,Tampa Bay Buccaneers,DST,TB,87,0
48,Jaylen Waddle,WR,MIA,86.6,0
23,New York Jets,DST,NYJ,86,0
37,Ray Davis,RB,BUF,85.3,0
49,Demarcus Robinson,WR,SF,85.3,0
38,Justice Hill,RB,BAL,85.1,0
8,Pat Freiermuth,TE,PIT,84.8,0.3
9,David Njoku,TE,CLE,84.5,0
39,Tyler Allgeier,RB,ATL,84.4,0
50,Jalen Tolbert,WR,DAL,84.2,0
10,Travis Kelce,TE,KC,84,0
24,Washington Commanders,DST,WAS,83,0
29,Brandon McManus,K,GB,82,0
11,Zach Ertz,TE,WAS,81.8,0
51,Calvin Austin III,WR,PIT,81.7,0
12,Cade Otton,TE,TB,81.6,0
13,Taysom Hill,TE,NO,80.3,0
36,Deshaun Watson,QB,CLE,79.7,0
14,Hunter Henry,TE,NE,79.4,0
52,Romeo Doubs,WR,GB,78.3,0
40,Travis Etienne Jr.,RB,JAC,77.7,0
25,Cleveland Browns,DST,CLE,77,0
30,Dustin Hopkins,K,FA,77,0
53,Andrei Iosivas,WR,CIN,76.8,0
54,Christian Watson,WR,GB,76.3,0
26,New York Giants,DST,NYG,75,0
55,Allen Lazard,WR,NYJ,75,0
56,Stefon Diggs,WR,NE,74.9,0
57,Michael Wilson,WR,ARI,74.6,0
37,Joe Flacco,QB,CIN,74.2,0
41,Tyjae Spears,RB,TEN,73.3,0
38,Mac Jones,QB,SF,73.2,0
15,Cole Kmet,TE,CHI,73.1,0
16,Noah Gray,TE,KC,73,0
42,Jaylen Warren,RB,PIT,72.8,0
58,Michael Pittman Jr.,WR,IND,72.7,0
17,Kyle Pitts Sr.,TE,ATL,72.3,0
59,Wan'Dale Robinson,WR,NYG,72.3,0
18,Isaiah Likely,TE,BAL,71,0
60,Tre Tucker,WR,LV,71,0
43,Devin Singletary,RB,NYG,70.9,0
44,Ameer Abdullah,RB,IND,70.5,0
61,Xavier Legette,WR,CAR,70.3,0
45,Ty Johnson,RB,BUF,69.9,0
62,Keon Coleman,WR,BUF,69.8,0
63,Ray-Ray McCloud III,WR,NYG,69.2,0
46,Isaac Guerendo,RB,SF,68.8,0
27,Miami Dolphins,DST,MIA,68,0
47,Antonio Gibson,RB,NE,68,0
64,DeMario Douglas,WR,NE,67.7,0
65,Tyler Lockett,WR,LV,67.2,0
66,Amari Cooper,WR,FA,67.1,0
67,Jalen McMillan,WR,TB,66.4,0
28,New England Patriots,DST,NE,66,0
29,Tennessee Titans,DST,TEN,65,0
39,Andy Dalton,QB,CAR,65,0
68,Joshua Palmer,WR,BUF,64.3,0
69,Adam Thielen,WR,MIN,64.1,0
70,KaVontae Turpin,WR,DAL,64,0
40,Aidan O'Connell,QB,LV,63,0
48,Emanuel Wilson,RB,GB,63,0
48,Cam Akers,RB,SEA,63,0
71,Dontayvion Wicks,WR,GB,62.3,0
72,Marquez Valdes-Scantling,WR,PIT,62.2,0
31,Anders Carlson,K,FA,62,0
73,Mack Hollins,WR,NE,62,0
74,Darius Slayton,WR,NYG,61.8,0
50,Braelon Allen,RB,NYJ,61.3,0
19,Mike Gesicki,TE,CIN,61.1,0
51,Gus Edwards,RB,FA,61.1,0
52,Jaleel McLaughlin,RB,DEN,60.8,0
20,Dalton Schultz,TE,HOU,60.2,0
32,Greg Joseph,K,LV,60,0
75,Rashid Shaheed,WR,SEA,59.8,0
21,Austin Hooper,TE,NE,59,0
30,Jacksonville Jaguars,DST,JAC,59,0
30,Las Vegas Raiders,DST,LV,59,0
33,Brayden Narveson,K,FA,59,0
53,Roschon Johnson,RB,CHI,59,0
54,Zack Moss,RB,FA,58.9,0
76,Kayshon Boutte,WR,NE,58.4,0
55,Nick Chubb,RB,HOU,58.3,0
22,Juwan Johnson,TE,NO,58.2,0
23,Foster Moreau,TE,NO,57.5,0
77,Elijah Moore,WR,FA,56.2,0
24,Dallas Goedert,TE,PHI,56.1,0
78,Tim Patrick,WR,JAC,55.9,0
25,Chig Okonkwo,TE,TEN,55.7,0
79,Jalen Nailor,WR,MIN,55.6,0
80,Diontae Johnson,WR,FA,54.9,0
26,Dalton Kincaid,TE,BUF,54.4,0
56,Jeremy McNichols,RB,WAS,53.8,0
57,Sean Tucker,RB,TB,53.7,0
81,Tutu Atwell,WR,LAR,53.2,0
82,Devaughn Vele,WR,NO,51.8,0
83,Cedric Tillman,WR,CLE,51.4,0
84,Noah Brown,WR,WAS,51.3,0
85,Marvin Mims Jr.,WR,DEN,51.2,0
86,Jalen Coker,WR,CAR,50.1,0
58,Raheem Mostert,RB,LV,50,0
27,Tyler Conklin,TE,LAC,49.6,0
59,Samaje Perine,RB,CIN,49.1,0
87,Parker Washington,WR,JAC,48.4,0
41,Malik Willis,QB,GB,48.1,0
28,Will Dissly,TE,LAC,47.8,0
88,Sterling Shepard,WR,TB,47.2,0
89,Olamide Zaccheaus,WR,CHI,47,0
42,Jacoby Brissett,QB,ARI,46.3,0
34,Parker Romo,K,FA,46,0
60,Ezekiel Elliott,RB,FA,45.3,0
29,Brenton Strange,TE,JAC,45.1,0
90,Chris Olave,WR,NO,44.7,0
91,David Moore,WR,CAR,44.5,0
30,Jake Ferguson,TE,DAL,44.4,0
32,Carolina Panthers,DST,CAR,44,0
92,Christian Kirk,WR,HOU,43.9,0
61,Kenneth Gainwell,RB,PIT,43.4,0
62,Isiah Pacheco,RB,KC,43.1,0
35,Matthew Wright,K,FA,43,0
31,Evan Engram,TE,DEN,42.5,0
43,Spencer Rattler,QB,NO,42.3,0
32,Josh Oliver,TE,MIN,42.2,0
44,Drew Lock,QB,SEA,42,0
36,Greg Zuerlein,K,FA,41,0
63,Trey Benson,RB,ARI,41,0
93,Rashee Rice,WR,KC,40.9,0
33,Noah Fant,TE,CIN,39.4,0
34,Theo Johnson,TE,NYG,39.1,0
34,AJ Barner,TE,SEA,39.1,0
64,Emari Demercado,RB,ARI,38.7,0
94,Kalif Raymond,WR,DET,38.4,0
95,Troy Franklin,WR,DEN,38,0
96,Tyler Boyd,WR,FA,37.9,0
36,T.J. Hockenson,TE,MIN,37.8,0
97,Van Jefferson,WR,TEN,37.8,0
98,Brandon Aiyuk,WR,SF,37.4,0
98,Brandin Cooks,WR,BUF,37.4,0
37,Dawson Knox,TE,BUF,36.7,0
65,Trey Sermon,RB,PIT,36.3,0
38,Ja'Tavion Sanders,TE,CAR,36.2,0
100,Nelson Agholor,WR,FA,35.1,0
101,Dyami Brown,WR,JAC,35,0
39,Colby Parkinson,TE,LAR,34.8,0
102,Greg Dortch,WR,ARI,34.1,0
40,Jordan Akins,TE,JAC,34.1,0
103,Gabe Davis,WR,BUF,33.9,0
104,Kendrick Bourne,WR,SF,33.7,0
105,Mike Williams,WR,FA,33.3,0
37,Matt Prater,K,BUF,33,0
106,JuJu Smith-Schuster,WR,KC,32.9,0
66,Tyler Goodson,RB,IND,32.9,0
66,Dare Ogunbowale,RB,HOU,32.9,0
68,Christian McCaffrey,RB,SF,32.8,0
38,Graham Gano,K,NYG,32,0
41,Grant Calcaterra,TE,PHI,31.4,0
107,DJ Turner,WR,LV,31.1,0
108,Lil'Jordan Humphrey,WR,DEN,30.7,0
69,Audric Estime,RB,NO,30.6,0
42,Adam Trautman,TE,DEN,30.3,0
70,Miles Sanders,RB,DAL,29.7,0
109,Ricky Pearsall,WR,SF,28.9,0
45,Tyler Huntley,QB,BAL,28.8,0
110,Adonai Mitchell,WR,NYJ,28.6,0
43,Luke Schoonmaker,TE,DAL,28.5,0
71,Isaiah Davis,RB,NYJ,28.5,0
111,Justin Watson,WR,HOU,28.4,0
44,Josh Whyle,TE,GB,27.9,0
112,Curtis Samuel,WR,BUF,27.5,0
45,Elijah Higgins,TE,ARI,26.9,0
46,Nate Adkins,TE,DEN,26.3,0
113,Cedrick Wilson Jr.,WR,MIA,26,0
39,Spencer Shrader,K,IND,26,0
39,Zane Gonzalez,K,ATL,26,0
39,Cade York,K,NO,26,0
114,Tyler Johnson,WR,NYJ,25.6,0
47,Johnny Mundt,TE,JAC,25.5,0
72,Chris Brooks,RB,GB,25.3,0
73,Kimani Vidal,RB,LAC,25.3,0
48,Darnell Washington,TE,PIT,25.2,0
74,Cordarrelle Patterson,RB,FA,25.2,0
115,Tylan Wallace,WR,BAL,25.1,0
75,Blake Corum,RB,LAR,24.7,0
49,Tommy Tremble,TE,CAR,24.4,0
116,Josh Reynolds,WR,NYJ,24.3,0
117,John Metchie III,WR,NYJ,24.2,0
76,Jaylen Wright,RB,MIA,24.1,0
46,Desmond Ridder,QB,FA,23.5,0
77,Jamaal Williams,RB,FA,23.5,0
78,Zamir White,RB,LV,23.3,0
118,Trey Palmer,WR,NO,23.2,0
119,Jalen Brooks,WR,ARI,22.5,0
120,Ryan Miller,WR,TB,22.2,0
79,Kendre Miller,RB,NO,22.2,0
50,Nick Vannett,TE,LAR,22.1,0
51,Brock Wright,TE,DET,22,0
121,KhaDarel Hodge,WR,ATL,21.8,0
80,Chris Rodriguez Jr.,RB,WAS,21.7,0
81,Ty Chandler,RB,MIN,21.7,0
122,Mecole Hardman Jr.,WR,BUF,21.2,0
82,Sincere McCormick,RB,ARI,21.2,0
123,Malik Washington,WR,MIA,21,0
83,Kyle Juszczyk,RB,SF,20.8,0
124,Ja'Lynn Polk,WR,NO,20.7,0
52,Mo Alie-Cox,TE,IND,20.7,0
84,D'Ernest Johnson,RB,NE,20.2,0
125,Jordan Whittington,WR,LAR,20.1,0
47,Marcus Mariota,QB,WAS,19.7,0
53,Charlie Kolar,TE,BAL,19.3,0
54,Cade Stover,TE,HOU,19.2,0
85,Michael Burton,RB,DEN,19,0
86,JaMycal Hasty,RB,MIA,18.8,0
55,Tanner Hudson,TE,CIN,18.4,0
87,D'Onta Foreman,RB,FA,18.2,0
126,Derius Davis,WR,LAC,18.1,0
127,Bub Means,WR,NO,17.8,0
128,Ashton Dulin,WR,IND,17.2,0
129,Luke McCaffrey,WR,WAS,16.8,0
130,Jamison Crowder,WR,FA,16.7,0
88,Dameon Pierce,RB,KC,16.6,0
56,Stone Smartt,TE,NYJ,16.5,0
89,Hassan Haskins,RB,LAC,16.5,0
90,Pierre Strong Jr.,RB,GB,16.4,0
48,Dorian Thompson-Robinson,QB,FA,16.2,0
42,Riley Patterson,K,MIA,16,0
57,Erick All Jr.,TE,CIN,15.8,0
49,Tim Boyle,QB,FA,14.9,0
58,Lucas Krull,TE,DEN,14.9,0
59,Drew Sample,TE,CIN,14.8,0
59,Drew Ogletree,TE,IND,14.8,0
91,DeeJay Dallas,RB,CAR,14.8,0
92,Patrick Taylor Jr.,RB,SF,14.7,0
131,Robert Woods,WR,FA,14.3,0
132,Trent Sherfield Sr.,WR,ARI,14.3,0
50,Jake Haener,QB,NO,14.2,0
93,Carson Steele,RB,KC,14.2,0
61,Kylen Granson,TE,PHI,14.1,0
62,Eric Saubert,TE,SEA,14,0
133,Jahan Dotson,WR,PHI,13.5,0
51,Tommy DeVito,QB,NE,13.5,0
94,Hunter Luepke,RB,DAL,13.3,0
95,Alec Ingold,RB,MIA,13.2,0
96,Patrick Ricard,RB,BAL,12.8,0
134,Bo Melton,WR,GB,12.6,0
135,Kevin Austin Jr.,WR,NO,12.4,0
63,Michael Mayer,TE,LV,12.1,0
136,K.J. Osborn,WR,ATL,11.7,0
137,Jonathan Mingo,WR,DAL,11.6,0
64,Daniel Bellinger,TE,NYG,11.6,0
97,Jordan Mims,RB,TEN,11.6,0
138,Rakim Jarrett,WR,FA,11.3,0
98,Khalil Herbert,RB,NYJ,10.9,0
139,Jermaine Burton,WR,CIN,10.7,0
140,Simi Fehoko,WR,ARI,10.6,0
141,Jake Bobo,WR,SEA,10.3,0
65,Blake Whiteheart,TE,CLE,10.2,0
142,Malik Heath,WR,GB,10.1,0
52,Kenny Pickett,QB,LV,10.1,0
66,Julian Hill,TE,MIA,10,0
66,MyCole Pruitt,TE,FA,10,0
68,Jeremy Ruckert,TE,NYJ,10,0
143,Mason Tipton,WR,NO,9.9,0
99,Kenny McIntosh,RB,SEA,9.9,0
144,Dante Pettis,WR,NO,9.7,0
69,Connor Heyward,TE,PIT,9.2,0
145,Xavier Hutchinson,WR,HOU,9.1,0
146,Parris Campbell,WR,DAL,9,0
53,Michael Penix Jr.,QB,ATL,8.9,0
70,Brevyn Spann-Ford,TE,DAL,8.8,0
71,Ben Sinnott,TE,WAS,8.8,0
72,Kenny Yeboah,TE,FA,8.7,0
73,Harrison Bryant,TE,HOU,8.6,0
100,Julius Chestnut,RB,TEN,8.5,0
54,Brandon Allen,QB,TEN,8.4,0
147,Devontez Walker,WR,BAL,8.1,0
148,Bryce Oliver,WR,TEN,8,0
149,Xavier Gipson,WR,PHI,7.9,0
55,Skylar Thompson,QB,PIT,7.9,0
150,Kristian Wilkerson,WR,FA,7.8,0
150,Devin Duvernay,WR,CHI,7.8,0
152,Jalen Reagor,WR,FA,7.7,0
74,Quintin Morris,TE,JAC,7.6,0
101,Jeff Wilson Jr.,RB,MIA,7.5,0
102,Craig Reynolds,RB,FA,7.4,0
153,Johnny Wilson,WR,PHI,7.4,0
75,Hayden Hurst,TE,FA,7.3,0
154,Brandon Powell,WR,FA,7.1,0
76,Tyler Higbee,TE,LAR,7.1,0
103,C.J. Ham,RB,MIN,7,0
155,Scotty Miller,WR,PIT,6.9,0
156,Ben Skowronek,WR,PIT,6.9,0
157,Ryan Flournoy,WR,DAL,6.5,0
104,Tyler Badie,RB,DEN,6.4,0
105,Eric Gray,RB,NYG,6.3,0
77,Payne Durham,TE,TB,6.3,0
77,Luke Farrell,TE,SF,6.3,0
158,Michael Woods II,WR,GB,6.2,0
158,Jalin Hyatt,WR,NYG,6.2,0
79,Chris Manhertz,TE,NYG,6.2,0
56,Tyrod Taylor,QB,NYJ,6.1,0
80,Pharaoh Brown,TE,ARI,6.1,0
106,Kene Nwangwu,RB,NYJ,6,0
81,Hunter Long,TE,JAC,6,0
160,Laviska Shenault Jr.,WR,FA,5.7,0
