#,Player,Pos,Team,TTL,VORP
1,Lamar Jackson,QB,BAL,421.7,154.9
1,Christian McCaffrey,RB,SF,339.4,198.1
2,Deshaun Watson,QB,CLE,332,65.2
3,Dak Prescott,QB,DAL,319.2,52.4
4,Jameis Winston,QB,NYG,318.8,52
5,Russell Wilson,QB,NYG,313.4,46.6
6,Josh Allen,QB,BUF,297.4,30.6
7,Kyler Murray,QB,ARI,282.3,15.5
8,Patrick Mahomes II,QB,KC,280,13.2
9,Matt Ryan,QB,FA,266.8,0
10,Carson Wentz,QB,MIN,265.8,0
11,Aaron Rodgers,QB,PIT,262,0
12,Tom Brady,QB,FA,255.8,0
2,Aaron Jones Sr.,RB,MIN,251.5,110.2
13,Kirk Cousins,QB,ATL,250.4,0
14,Jimmy Garoppolo,QB,LAR,248.5,0
3,Dalvin Cook,RB,FA,239.4,98.1
15,Jared Goff,QB,DET,238.4,0
16,Philip Rivers,QB,FA,237.8,0
4,Derrick Henry,RB,BAL,237.5,96.2
5,Ezekiel Elliott,RB,FA,233.3,92
17,Derek Carr,QB,FA,232.7,0
18,Ryan Fitzpatrick,QB,FA,230.2,0
1,New England Patriots,DST,NE,230,104
19,Baker Mayfield,QB,TB,227.1,0
1,Michael Thomas,WR,FA,221.9,87.9
20,Jacoby Brissett,QB,ARI,218.5,0
6,Mark Ingram II,RB,FA,216.5,75.2
7,Nick Chubb,RB,HOU,215,73.7
21,Ryan Tannehill,QB,FA,212.3,0
22,Daniel Jones,QB,IND,211.3,0
23,Gardner Minshew II,QB,KC,209.7,0
8,Austin Ekeler,RB,WAS,208.1,66.8
24,Drew Brees,QB,FA,206.7,0
25,Mitchell Trubisky,QB,BUF,206.4,0
26,Andy Dalton,QB,CAR,199.1,0
9,Chris Carson,RB,FA,195.6,54.3
27,Sam Darnold,QB,SEA,191.4,0
2,Chris Godwin Jr.,WR,TB,190.1,56.1
10,Leonard Fournette,RB,FA,183.4,42.1
28,Kyle Allen,QB,DET,182.2,0
11,Todd Gurley II,RB,FA,179.5,38.2
3,Kenny Golladay,WR,FA,175.8,41.8
12,Saquon Barkley,RB,PHI,174.4,33.1
2,Pittsburgh Steelers,DST,PIT,174,48
13,Josh Jacobs,RB,GB,171.6,30.3
29,Matthew Stafford,QB,LAR,171.6,0
4,Julio Jones,WR,FA,167.3,33.3
5,Mike Evans,WR,TB,165.7,31.7
6,DeAndre Hopkins,WR,BAL,165.5,31.5
14,Miles Sanders,RB,DAL,163.6,22.3
3,San Francisco 49ers,DST,SF,162,36
15,Joe Mixon,RB,HOU,160.8,19.5
7,Cooper Kupp,WR,SEA,160.6,26.6
8,DeVante Parker,WR,FA,160.5,26.5
1,Harrison Butker,K,KC,158,39
9,Amari Cooper,WR,FA,157.7,23.7
16,Phillip Lindsay,RB,FA,157.4,16.1
2,Wil Lutz,K,DEN,157,38
1,Travis Kelce,TE,KC,154.9,74.7
10,Julian Edelman,WR,FA,153.7,19.7
17,Kenyan Drake,RB,FA,149.9,8.6
18,Alvin Kamara,RB,NO,149.8,8.5
11,Allen Robinson II,WR,FA,149.6,15.6
12,DJ Chark Jr.,WR,FA,149.4,15.4
13,Stefon Diggs,WR,NE,149.1,15.1
14,John Brown,WR,FA,147.8,13.8
19,Marlon Mack,RB,FA,147.6,6.3
15,A.J. Brown,WR,PHI,146.7,12.7
16,Courtland Sutton,WR,DEN,145.2,11.2
17,DJ Moore,WR,CHI,143.5,9.5
18,Keenan Allen,WR,LAC,143.3,9.3
2,Mark Andrews,TE,BAL,143.2,63
3,Matt Gay,K,SF,143,24
19,Tyler Lockett,WR,LV,142.1,8.1
20,Carlos Hyde,RB,FA,141.9,0.6
21,Le'Veon Bell,RB,FA,141.3,0
20,Jarvis Landry,WR,FA,140.2,6.2
4,Minnesota Vikings,DST,MIN,138,12
5,Baltimore Ravens,DST,BAL,137,11
4,Justin Tucker,K,FA,136,17
6,Los Angeles Rams,DST,LAR,135,9
6,Kansas City Chiefs,DST,KC,135,9
21,Calvin Ridley,WR,TEN,134,0
22,Terry McLaurin,WR,WAS,133.9,0
23,Marvin Jones Jr.,WR,FA,131.9,0
22,Raheem Mostert,RB,LV,131.9,0
23,Devonta Freeman,RB,FA,131.3,0
5,Zane Gonzalez,K,ATL,130,11
24,Robert Woods,WR,FA,129.3,0
8,Buffalo Bills,DST,BUF,129,3
3,George Kittle,TE,SF,128.2,48
24,David Montgomery,RB,DET,128.1,0
4,Zach Ertz,TE,WAS,127.6,47.4
25,Sony Michel,RB,FA,127.2,0
25,Tyler Boyd,WR,FA,127,0
9,Tennessee Titans,DST,TEN,126,0
26,Ronald Jones II,RB,FA,125.7,0
10,New Orleans Saints,DST,NO,125,0
26,Tyreek Hill,WR,MIA,124.2,0
27,Adrian Peterson,RB,FA,124.2,0
11,Indianapolis Colts,DST,IND,123,0
12,Seattle Seahawks,DST,SEA,122,0
6,Chris Boswell,K,PIT,122,3
6,Matt Prater,K,BUF,122,3
27,Emmanuel Sanders,WR,FA,121.8,0
8,Greg Zuerlein,K,FA,121,2
28,Melvin Gordon III,RB,FA,120.6,0
29,James White,RB,FA,120.5,0
5,Darren Waller,TE,MIA,120.3,40.1
13,Tampa Bay Buccaneers,DST,TB,120,0
14,New York Jets,DST,NYJ,119,0
9,Dan Bailey,K,FA,119,0
28,Michael Gallup,WR,FA,118.9,0
30,Devin Singletary,RB,NYG,118.9,0
10,Josh Lambo,K,FA,118,0
30,Mason Rudolph,QB,PIT,117.8,0
29,Cole Beasley,WR,FA,117.8,0
30,Darius Slayton,WR,NYG,117,0
11,Brandon McManus,K,GB,117,0
31,Curtis Samuel,WR,BUF,116.4,0
31,Latavius Murray,RB,FA,115.7,0
32,DK Metcalf,WR,PIT,115,0
12,Joey Slye,K,TEN,115,0
33,Davante Adams,WR,LAR,114.4,0
6,Jared Cook,TE,FA,114.1,33.9
13,Jason Myers,K,SEA,114,0
34,Odell Beckham Jr.,WR,FA,113.2,0
32,Tevin Coleman,RB,FA,112.6,0
35,Deebo Samuel Sr.,WR,WAS,112.6,0
7,Austin Hooper,TE,NE,112.2,32
33,James Conner,RB,ARI,111.5,0
14,Austin Seibert,K,FA,110,0
37,Mike Williams,WR,FA,108.5,0
36,Robbie Chosen,WR,WAS,108.5,0
15,Ka'imi Fairbairn,K,HOU,108,0
38,Jamison Crowder,WR,FA,107.1,0
16,Robbie Gould,K,FA,107,0
34,Jamaal Williams,RB,FA,106.9,0
17,Jason Sanders,K,MIA,106.1,0
18,Randy Bullock,K,FA,106,0
15,Green Bay Packers,DST,GB,106,0
39,Chris Conley,WR,FA,105.7,0
35,David Johnson,RB,FA,105.5,0
19,Brett Maher,K,FA,105,0
16,Philadelphia Eagles,DST,PHI,104,0
20,Mason Crosby,K,FA,103,0
36,Jordan Howard,RB,FA,101.4,0
40,Tyrell Williams,WR,FA,101.1,0
41,Marquise Brown,WR,KC,98.9,0
37,Royce Freeman,RB,FA,98.8,0
42,Diontae Johnson,WR,FA,98.7,0
38,Duke Johnson Jr.,RB,FA,98.3,0
17,Houston Texans,DST,HOU,98,0
17,Carolina Panthers,DST,CAR,98,0
43,Larry Fitzgerald,WR,FA,97.9,0
31,Case Keenum,QB,CHI,97.2,0
39,Peyton Barber,RB,FA,97,0
21,Dustin Hopkins,K,FA,97,0
21,Jake Elliott,K,PHI,97,0
21,Stephen Hauschka,K,FA,97,0
19,Denver Broncos,DST,DEN,96,0
44,Christian Kirk,WR,HOU,93.6,0
20,Chicago Bears,DST,CHI,93,0
20,Washington Commanders,DST,WAS,93,0
45,Zach Pascal,WR,FA,92.9,0
32,Teddy Bridgewater,QB,TB,92.2,0
22,Dallas Cowboys,DST,DAL,92,0
46,Randall Cobb,WR,FA,91.8,0
40,LeSean McCoy,RB,FA,90.6,0
47,Golden Tate,WR,FA,90.4,0
24,Eddy Pineiro,K,SF,90,0
33,Joe Flacco,QB,CIN,89.9,0
48,James Washington,WR,FA,89.5,0
23,Jacksonville Jaguars,DST,JAC,89,0
23,Cleveland Browns,DST,CLE,89,0
25,Daniel Carlson,K,LV,88,0
34,Marcus Mariota,QB,WAS,86.1,0
25,New York Giants,DST,NYG,86,0
49,Sammy Watkins,WR,FA,85.7,0
50,William Fuller V,WR,FA,85,0
8,Hunter Henry,TE,NE,85,4.8
26,Sam Ficken,K,FA,85,0
51,Mecole Hardman Jr.,WR,BUF,84.5,0
52,Adam Thielen,WR,MIN,84.4,0
26,Atlanta Falcons,DST,ATL,84,0
41,Damien Williams,RB,FA,83.7,0
53,Breshad Perriman,WR,FA,82.7,0
42,Matt Breida,RB,FA,82.7,0
27,Chase McLaughlin,K,TB,81,0
54,Sterling Shepard,WR,TB,80.9,0
9,Dallas Goedert,TE,PHI,80.2,0
55,Kenny Stills,WR,FA,80.1,0
28,Adam Vinatieri,K,FA,80,0
27,Los Angeles Chargers,DST,LAC,80,0
56,Alshon Jeffery,WR,FA,79.2,0
43,Tarik Cohen,RB,FA,78.5,0
44,Frank Gore,RB,FA,77.7,0
10,Tyler Higbee,TE,LAR,77,0
11,Darren Fells,TE,FA,76.1,0
12,Mike Gesicki,TE,CIN,75.6,0
57,Dede Westbrook,WR,FA,75.5,0
58,Anthony Miller,WR,FA,75,0
28,Detroit Lions,DST,DET,75,0
29,Younghoe Koo,K,NYG,75,0
13,Kyle Rudolph,TE,FA,74.7,0
14,Jason Witten,TE,FA,74.5,0
45,Gus Edwards,RB,FA,74.4,0
59,T.Y. Hilton,WR,FA,72.9,0
46,DeAndre Washington,RB,FA,72.7,0
60,Danny Amendola,WR,FA,72.2,0
61,Brandin Cooks,WR,BUF,71.5,0
47,Chase Edmonds,RB,WAS,70.9,0
15,Noah Fant,TE,CIN,70.6,0
62,JuJu Smith-Schuster,WR,KC,70.6,0
16,Greg Olsen,TE,FA,70.5,0
17,Jonnu Smith,TE,PIT,69,0
48,Rex Burkhead,RB,FA,68.7,0
49,Nyheim Hines,RB,FA,68.3,0
63,Hunter Renfrow,WR,CAR,68.3,0
18,Jack Doyle,TE,FA,68.2,0
29,Arizona Cardinals,DST,ARI,68,0
64,Kendrick Bourne,WR,SF,67.8,0
50,Tony Pollard,RB,TEN,67.7,0
65,Corey Davis,WR,FA,67.7,0
51,Rashaad Penny,RB,FA,67.3,0
30,Aldrick Rosas,K,FA,67,0
66,Phillip Dorsett II,WR,LV,66.8,0
19,Evan Engram,TE,DEN,65.4,0
30,Las Vegas Raiders,DST,LV,65,0
20,Ryan Griffin,TE,FA,64,0
52,Kerryon Johnson,RB,FA,63.7,0
67,John Ross,WR,FA,63,0
68,Steven Sims Jr.,WR,FA,62,0
69,Willie Snead IV,WR,FA,61.9,0
70,Mohamed Sanu Sr.,WR,FA,61.6,0
71,Auden Tate,WR,FA,61.5,0
72,Taylor Gabriel,WR,FA,61.3,0
35,Jeff Driskel,QB,ARI,61.1,0
31,Michael Badgley,K,IND,61,0
53,Kareem Hunt,RB,KC,60.8,0
73,Demarcus Robinson,WR,SF,60.5,0
21,Tyler Eifert,TE,FA,60.2,0
36,Eli Manning,QB,FA,59.4,0
37,Drew Lock,QB,SEA,59,0
74,Preston Williams,WR,FA,58.8,0
54,Alexander Mattison,RB,MIA,58.4,0
22,Jimmy Graham,TE,FA,57.8,0
38,Devlin Hodges,QB,FA,57.6,0
55,Jaylen Samuels,RB,FA,56.8,0
75,Tajae Sharpe,WR,FA,55.6,0
23,Eric Ebron,TE,FA,55.5,0
76,Marquez Valdes-Scantling,WR,PIT,55.4,0
56,Brian Hill,RB,FA,55.1,0
31,Cincinnati Bengals,DST,CIN,55,0
77,Nelson Agholor,WR,FA,55,0
78,Ted Ginn Jr.,WR,FA,54.9,0
79,Allen Lazard,WR,NYJ,54.9,0
24,Blake Jarwin,TE,FA,54.5,0
32,Nick Folk,K,NYJ,54,0
25,Gerald Everett,TE,FA,52.8,0
57,Darrel Williams,RB,FA,52.8,0
26,Dawson Knox,TE,BUF,51.7,0
80,Allen Hurns,WR,FA,51.6,0
81,Alex Erickson,WR,FA,51.1,0
27,Will Dissly,TE,LAC,50.9,0
58,Chris Thompson,RB,FA,50.5,0
59,Derrius Guice,RB,FA,50.4,0
28,Jacob Hollister,TE,FA,50.4,0
29,O.J. Howard,TE,FA,49.9,0
82,Adam Humphries,WR,FA,49.5,0
60,J.D. McKissic,RB,FA,49.4,0
83,Demaryius Thomas,WR,FA,49.3,0
30,Cameron Brate,TE,FA,48.9,0
31,T.J. Hockenson,TE,MIN,48.7,0
32,Jordan Akins,TE,JAC,48.4,0
33,Matt Bryant,K,FA,48,0
61,Malcolm Brown,RB,FA,47.9,0
84,Josh Gordon,WR,FA,47.7,0
39,David Blough,QB,FA,47.5,0
33,Foster Moreau,TE,NO,47.4,0
62,Jordan Wilkins,RB,FA,47,0
34,Ricky Seals-Jones,TE,FA,44.9,0
85,Bisi Johnson,WR,FA,44.6,0
63,Jeff Wilson Jr.,RB,MIA,43.9,0
35,Vance McDonald,TE,FA,43.6,0
36,Nick Boyle,TE,FA,43.5,0
37,Hayden Hurst,TE,FA,43.4,0
86,Russell Gage Jr.,WR,FA,43,0
40,Matt Moore,QB,FA,42.3,0
38,Irv Smith Jr.,TE,FA,42,0
87,Keelan Cole Sr.,WR,FA,42,0
64,Brandon Bolden,RB,FA,41.9,0
88,Tre'Quan Smith,WR,FA,41.8,0
65,Boston Scott,RB,FA,41.1,0
66,Jalen Richard,RB,FA,40.9,0
89,Josh Reynolds,WR,NYJ,40.9,0
90,Cody Latimer,WR,FA,40.8,0
67,Dion Lewis,RB,FA,40.7,0
68,Dare Ogunbowale,RB,HOU,39.9,0
69,Benny Snell Jr.,RB,FA,39.8,0
91,Geronimo Allison,WR,FA,39.7,0
91,Albert Wilson,WR,FA,39.7,0
41,Nick Foles,QB,FA,39.7,0
93,David Moore,WR,CAR,39.6,0
94,Seth Roberts,WR,FA,39.1,0
32,Miami Dolphins,DST,MIA,39,0
70,Patrick Laird,RB,FA,38.3,0
71,Bo Scarbrough,RB,FA,38,0
71,Giovani Bernard,RB,FA,38,0
95,Miles Boykin,WR,FA,37.8,0
73,Kalen Ballage,RB,FA,37.8,0
74,Wayne Gallman Jr.,RB,FA,37.2,0
39,Josh Hill,TE,FA,37.1,0
96,Marcus Johnson,WR,FA,36.6,0
97,Paul Richardson Jr.,WR,FA,36.5,0
34,Ty Long,K,FA,36,0
98,Jakobi Meyers,WR,JAC,35.9,0
75,Jonathan Williams,RB,FA,35.4,0
40,Kaden Smith,TE,FA,35,0
41,Demetrius Harris,TE,FA,34.9,0
42,Brandon Allen,QB,TEN,34.5,0
99,Tavon Austin,WR,FA,34.3,0
43,Matt Schaub,QB,FA,33.9,0
100,Kelvin Harmon,WR,FA,33.6,0
42,Delanie Walker,TE,FA,33.5,0
35,Kai Forbath,K,FA,33,0
101,Marvin Hall,WR,FA,32.8,0
102,Isaiah McKenzie,WR,FA,32.6,0
103,Jaron Brown,WR,FA,32,0
76,Justice Hill,RB,BAL,30.6,0
104,Malik Turner,WR,SF,30.5,0
105,Keke Coutee,WR,FA,30.1,0
36,Mike Nugent,K,FA,30,0
36,Stephen Gostkowski,K,FA,30,0
43,Charles Clay,TE,FA,29.7,0
77,Ty Johnson,RB,BUF,29.7,0
106,Chester Rogers,WR,FA,29.7,0
107,DaeSean Hamilton,WR,FA,29.2,0
78,Qadree Ollison,RB,FA,28.8,0
108,Damiere Byrd,WR,FA,28.5,0
44,Jeremy Sprinkle,TE,FA,28.3,0
109,Pharoh Cooper,WR,FA,28.1,0
38,Cairo Santos,K,CHI,28,0
44,Chase Daniel,QB,FA,28,0
111,Jarius Wright,WR,FA,27.9,0
110,DeSean Jackson,WR,FA,27.9,0
45,C.J. Uzomah,TE,FA,27.7,0
112,Greg Ward,WR,FA,27.6,0
112,Scotty Miller,WR,PIT,27.6,0
46,James O'Shaughnessy,TE,FA,27.3,0
114,Jake Kumerow,WR,FA,27.2,0
79,Mark Walton,RB,FA,27,0
39,Ryan Succop,K,FA,27,0
115,Jakeem Grant Sr.,WR,FA,26.9,0
45,Ryan Finley,QB,FA,26.7,0
116,Andy Isabella,WR,FA,26.4,0
80,Dontrell Hilliard,RB,FA,26.1,0
118,Vyncint Smith,WR,FA,26.1,0
117,Marquise Goodwin,WR,FA,26.1,0
47,Anthony Firkser,TE,DET,25.9,0
119,Trey Quinn,WR,FA,25.8,0
81,Kyle Juszczyk,RB,SF,25.7,0
82,Ito Smith,RB,FA,25.3,0
120,Justin Watson,WR,HOU,25.2,0
46,Brian Hoyer,QB,FA,25.1,0
83,Mike Boone,RB,FA,25,0
121,KeeSean Johnson,WR,FA,25,0
84,Myles Gaskin,RB,SEA,24.4,0
122,Laquon Treadwell,WR,IND,24.4,0
48,Maxx Williams,TE,FA,23.9,0
123,N'Keal Harry,WR,FA,23.6,0
124,Dante Pettis,WR,NO,23.5,0
85,Bilal Powell,RB,FA,23.5,0
125,Bennie Fowler III,WR,FA,23.3,0
47,Josh Rosen,QB,FA,23,0
126,Byron Pringle,WR,FA,23,0
127,J.J. Arcega-Whiteside,WR,FA,22.9,0
86,Ryquell Armstead,RB,FA,22.7,0
49,Rhett Ellison,TE,FA,22.7,0
128,Javon Wims,WR,FA,22.3,0
50,Logan Thomas,TE,FA,21.8,0
87,Darwin Thompson,RB,FA,21.8,0
51,Ross Dwelley,TE,DET,21.1,0
88,Justin Jackson,RB,FA,21.1,0
52,Jaeden Graham,TE,FA,20.9,0
89,Ameer Abdullah,RB,IND,20.7,0
129,Kalif Raymond,WR,DET,20.5,0
130,Tim Patrick,WR,JAC,20.4,0
130,Trevor Davis,WR,FA,20.4,0
53,Marcedes Lewis,TE,DEN,20.4,0
130,Richie James Jr.,WR,FA,20.4,0
90,C.J. Ham,RB,MIN,20.2,0
133,Parris Campbell,WR,DAL,20.1,0
134,Zay Jones,WR,ARI,19.8,0
91,Ty Montgomery II,RB,FA,19.3,0
92,Reggie Bonnafon,RB,FA,19.1,0
55,Derek Carrier,TE,FA,19.1,0
54,Matt LaCosse,TE,FA,19.1,0
135,Isaiah Ford,WR,FA,19,0
93,C.J. Prosise,RB,FA,18.8,0
94,Darrell Henderson Jr.,RB,FA,18.4,0
56,Ian Thomas,TE,LV,18.4,0
57,Vernon Davis,TE,FA,18.3,0
40,Cody Parkey,K,FA,18,0
48,Cam Newton,QB,FA,17.7,0
136,Dontrelle Inman,WR,FA,17.5,0
58,Ryan Izzo,TE,FA,17.4,0
58,Jeff Heuerman,TE,FA,17.4,0
137,Devin Smith,WR,FA,17.3,0
60,Nick O'Leary,TE,FA,16.9,0
60,Benjamin Watson,TE,FA,16.9,0
